"disease","country","Counts","lower_bound","upper_bound"
"COVID-19","AFG",1,-0.6621,-0.6531
"COVID-19","AFG",3,-0.6456,-0.6381
"COVID-19","AFG",2,-0.6231,-0.6156
"COVID-19","AFG",1,-0.6156,-0.6081
"COVID-19","AFG",1,-0.5932,-0.5857
"COVID-19","AFG",4,-0.5782,-0.5707
"COVID-19","AFG",2,-0.5707,-0.5632
"COVID-19","AFG",1,-0.5557,-0.5482
"COVID-19","AFG",1,-0.5332,-0.5258
"COVID-19","AFG",2,-0.5258,-0.5183
"COVID-19","AFG",1,-0.5183,-0.5108
"COVID-19","AFG",3,-0.5108,-0.5033
"COVID-19","AFG",1,-0.5033,-0.4958
"COVID-19","AFG",1,-0.4958,-0.4883
"COVID-19","AFG",1,0.1707,0.1782
"COVID-19","AFG",1,0.2006,0.2081
"COVID-19","AFG",2,0.2156,0.2231
"COVID-19","AFG",4,0.2231,0.2306
"COVID-19","AFG",1,0.2306,0.2381
"COVID-19","AFG",1,0.2381,0.2456
"COVID-19","AFG",3,0.2456,0.253
"COVID-19","AFG",4,0.268,0.2755
"COVID-19","AFG",1,0.2755,0.283
"COVID-19","AFG",2,0.283,0.2905
"COVID-19","AFG",5,0.2905,0.298
"COVID-19","AFG",3,0.298,0.3055
"COVID-19","AFG",4,0.3055,0.313
"COVID-19","AFG",4,0.313,0.3204
"COVID-19","AFG",2,0.3204,0.3279
"COVID-19","AFG",4,0.3279,0.3354
"COVID-19","AFG",6,0.3354,0.3429
"COVID-19","AFG",8,0.3429,0.3504
"COVID-19","AFG",6,0.3504,0.3579
"COVID-19","AFG",7,0.3579,0.3654
"COVID-19","AFG",6,0.3654,0.3729
"COVID-19","AFG",2,0.3729,0.3804
"COVID-19","AFG",4,0.3804,0.3878
"COVID-19","AFG",9,0.3878,0.3953
"COVID-19","AFG",8,0.3953,0.4028
"COVID-19","AFG",2,0.4028,0.4103
"COVID-19","AFG",14,0.4103,0.4178
"COVID-19","AFG",9,0.4178,0.4253
"COVID-19","AFG",8,0.4253,0.4328
"COVID-19","AFG",15,0.4328,0.4403
"COVID-19","AFG",11,0.4403,0.4477
"COVID-19","AFG",14,0.4477,0.4552
"COVID-19","AFG",14,0.4552,0.4627
"COVID-19","AFG",16,0.4627,0.4702
"COVID-19","AFG",19,0.4702,0.4777
"COVID-19","AFG",20,0.4777,0.4852
