"disease","subregion","Counts","lower_bound","upper_bound"
"COVID-19","Middle Africa",1,3.369,3.409
"COVID-19","Middle Africa",2,3.572,3.605
"COVID-19","Middle Africa",2,3.801,3.833
"COVID-19","Middle Africa",1,3.866,3.899
"COVID-19","Middle Africa",1,3.899,3.931
"COVID-19","Middle Africa",1,3.931,3.964
"COVID-19","Middle Africa",2,3.964,3.997
"COVID-19","Middle Africa",1,4.029,4.062
"COVID-19","Middle Africa",1,4.095,4.127
"COVID-19","Middle Africa",1,4.127,4.16
"COVID-19","Middle Africa",1,4.16,4.193
"COVID-19","Middle Africa",3,4.225,4.258
"COVID-19","Middle Africa",4,4.258,4.291
"COVID-19","Middle Africa",2,4.291,4.323
"COVID-19","Middle Africa",4,4.323,4.356
"COVID-19","Middle Africa",3,4.356,4.389
"COVID-19","Middle Africa",5,4.389,4.421
"COVID-19","Middle Africa",5,4.421,4.454
"COVID-19","Middle Africa",7,4.454,4.487
"COVID-19","Middle Africa",3,4.487,4.519
"COVID-19","Middle Africa",3,4.519,4.552
"COVID-19","Middle Africa",6,4.585,4.617
"COVID-19","Middle Africa",8,4.617,4.65
"COVID-19","Middle Africa",5,4.65,4.683
"COVID-19","Middle Africa",6,4.683,4.715
"COVID-19","Middle Africa",8,4.715,4.748
"COVID-19","Middle Africa",10,4.748,4.781
"COVID-19","Middle Africa",10,4.781,4.813
"COVID-19","Middle Africa",4,4.813,4.846
"COVID-19","Middle Africa",9,4.846,4.879
"COVID-19","Middle Africa",13,4.879,4.911
"COVID-19","Middle Africa",4,4.911,4.944
"COVID-19","Middle Africa",7,4.944,4.977
"COVID-19","Middle Africa",7,4.977,5.009
"COVID-19","Middle Africa",10,5.009,5.042
"COVID-19","Middle Africa",10,5.042,5.075
"COVID-19","Middle Africa",12,5.075,5.108
"COVID-19","Middle Africa",12,5.108,5.14
"COVID-19","Middle Africa",11,5.14,5.173
"COVID-19","Middle Africa",12,5.173,5.206
"COVID-19","Middle Africa",13,5.206,5.238
"COVID-19","Middle Africa",10,5.238,5.271
"COVID-19","Middle Africa",8,5.271,5.304
"COVID-19","Middle Africa",13,5.304,5.336
"COVID-19","Middle Africa",15,5.336,5.369
"COVID-19","Middle Africa",11,5.369,5.402
"COVID-19","Middle Africa",13,5.402,5.434
"COVID-19","Middle Africa",15,5.434,5.467
"COVID-19","Middle Africa",10,5.467,5.5
"COVID-19","Middle Africa",8,5.5,5.532
"COVID-19","Middle Africa",12,5.532,5.565
"COVID-19","Middle Africa",16,5.565,5.598
"COVID-19","Middle Africa",18,5.598,5.63
"COVID-19","Middle Africa",9,5.63,5.663
"COVID-19","Middle Africa",13,5.663,5.696
"COVID-19","Middle Africa",21,5.696,5.728
"COVID-19","Middle Africa",19,5.728,5.761
"COVID-19","Middle Africa",11,5.761,5.794
"COVID-19","Middle Africa",18,5.794,5.826
"COVID-19","Middle Africa",16,5.826,5.859
"COVID-19","Middle Africa",14,5.859,5.892
"COVID-19","Middle Africa",17,5.892,5.924
"COVID-19","Middle Africa",10,5.924,5.957
"COVID-19","Middle Africa",16,5.957,5.99
"COVID-19","Middle Africa",15,5.99,6.022
"COVID-19","Middle Africa",14,6.022,6.055
"COVID-19","Middle Africa",14,6.055,6.088
"COVID-19","Middle Africa",9,6.088,6.12
"COVID-19","Middle Africa",9,6.12,6.153
"COVID-19","Middle Africa",8,6.153,6.186
"COVID-19","Middle Africa",14,6.186,6.218
"COVID-19","Middle Africa",11,6.218,6.251
"COVID-19","Middle Africa",11,6.251,6.284
"COVID-19","Middle Africa",17,6.284,6.316
"COVID-19","Middle Africa",15,6.316,6.349
"COVID-19","Middle Africa",12,6.349,6.382
"COVID-19","Middle Africa",16,6.382,6.414
"COVID-19","Middle Africa",16,6.414,6.447
"COVID-19","Middle Africa",16,6.447,6.48
"COVID-19","Middle Africa",12,6.48,6.512
"COVID-19","Middle Africa",11,6.512,6.545
"COVID-19","Middle Africa",11,6.545,6.578
"COVID-19","Middle Africa",13,6.578,6.61
"COVID-19","Middle Africa",15,6.61,6.643
"COVID-19","Middle Africa",13,6.643,6.676
"COVID-19","Middle Africa",10,6.676,6.708
"COVID-19","Middle Africa",8,6.708,6.741
"COVID-19","Middle Africa",10,6.741,6.774
"COVID-19","Middle Africa",7,6.774,6.806
"COVID-19","Middle Africa",8,6.806,6.839
"COVID-19","Middle Africa",6,6.839,6.872
"COVID-19","Middle Africa",8,6.872,6.904
"COVID-19","Middle Africa",5,6.904,6.937
"COVID-19","Middle Africa",8,6.937,6.97
"COVID-19","Middle Africa",8,6.97,7.002
"COVID-19","Middle Africa",5,7.002,7.035
"COVID-19","Middle Africa",2,7.035,7.068
"COVID-19","Middle Africa",4,7.068,7.1
"COVID-19","Middle Africa",3,7.1,7.133
"COVID-19","Middle Africa",5,7.133,7.166
"COVID-19","Middle Africa",4,7.166,7.198
"COVID-19","Middle Africa",4,7.198,7.231
"COVID-19","Middle Africa",7,7.231,7.264
"COVID-19","Middle Africa",3,7.264,7.296
"COVID-19","Middle Africa",2,7.296,7.329
"COVID-19","Middle Africa",2,7.329,7.362
"COVID-19","Middle Africa",2,7.362,7.395
"COVID-19","Middle Africa",7,7.395,7.427
"COVID-19","Middle Africa",1,7.427,7.46
"COVID-19","Middle Africa",2,7.46,7.493
"COVID-19","Middle Africa",2,7.493,7.525
"COVID-19","Middle Africa",4,7.525,7.558
"COVID-19","Middle Africa",5,7.558,7.591
"COVID-19","Middle Africa",1,7.591,7.623
"COVID-19","Middle Africa",5,7.623,7.656
"COVID-19","Middle Africa",2,7.689,7.721
"COVID-19","Middle Africa",1,7.754,7.787
"COVID-19","Middle Africa",5,7.787,7.819
"COVID-19","Middle Africa",4,7.819,7.852
"COVID-19","Middle Africa",2,7.852,7.885
"COVID-19","Middle Africa",2,7.885,7.917
"COVID-19","Middle Africa",1,7.917,7.95
"COVID-19","Middle Africa",1,7.95,7.983
"COVID-19","Middle Africa",1,7.983,8.015
"COVID-19","Middle Africa",2,8.015,8.048
"COVID-19","Middle Africa",4,8.048,8.081
"COVID-19","Middle Africa",1,8.081,8.113
"COVID-19","Middle Africa",1,8.113,8.146
"COVID-19","Middle Africa",1,8.146,8.179
"COVID-19","Middle Africa",1,8.179,8.211
"COVID-19","Middle Africa",1,8.211,8.244
"COVID-19","Middle Africa",1,8.342,8.375
"COVID-19","Middle Africa",1,8.375,8.407
"COVID-19","Middle Africa",2,8.407,8.44
"COVID-19","Middle Africa",1,8.832,8.865
"COVID-19","Middle Africa",1,8.995,9.028
"COVID-19","Middle Africa",1,9.878,9.917
"COVID-19","Northern Africa and Western Asia",1,7.108,7.133
"COVID-19","Northern Africa and Western Asia",1,7.256,7.277
"COVID-19","Northern Africa and Western Asia",1,7.297,7.318
"COVID-19","Northern Africa and Western Asia",1,7.338,7.359
"COVID-19","Northern Africa and Western Asia",1,7.359,7.379
"COVID-19","Northern Africa and Western Asia",1,7.503,7.523
"COVID-19","Northern Africa and Western Asia",1,7.585,7.605
"COVID-19","Northern Africa and Western Asia",1,7.626,7.647
"COVID-19","Northern Africa and Western Asia",1,7.688,7.708
"COVID-19","Northern Africa and Western Asia",1,7.708,7.729
"COVID-19","Northern Africa and Western Asia",1,7.77,7.79
"COVID-19","Northern Africa and Western Asia",3,7.79,7.811
"COVID-19","Northern Africa and Western Asia",1,7.811,7.831
"COVID-19","Northern Africa and Western Asia",1,7.831,7.852
"COVID-19","Northern Africa and Western Asia",3,7.893,7.914
"COVID-19","Northern Africa and Western Asia",3,7.914,7.934
"COVID-19","Northern Africa and Western Asia",2,7.934,7.955
"COVID-19","Northern Africa and Western Asia",2,7.955,7.975
"COVID-19","Northern Africa and Western Asia",3,7.975,7.996
"COVID-19","Northern Africa and Western Asia",2,7.996,8.016
"COVID-19","Northern Africa and Western Asia",3,8.016,8.037
"COVID-19","Northern Africa and Western Asia",3,8.037,8.058
"COVID-19","Northern Africa and Western Asia",6,8.058,8.078
"COVID-19","Northern Africa and Western Asia",2,8.078,8.099
"COVID-19","Northern Africa and Western Asia",2,8.099,8.119
"COVID-19","Northern Africa and Western Asia",4,8.119,8.14
"COVID-19","Northern Africa and Western Asia",4,8.14,8.16
"COVID-19","Northern Africa and Western Asia",6,8.16,8.181
"COVID-19","Northern Africa and Western Asia",3,8.181,8.201
"COVID-19","Northern Africa and Western Asia",5,8.201,8.222
"COVID-19","Northern Africa and Western Asia",1,8.222,8.242
"COVID-19","Northern Africa and Western Asia",6,8.242,8.263
"COVID-19","Northern Africa and Western Asia",9,8.263,8.284
"COVID-19","Northern Africa and Western Asia",7,8.284,8.304
"COVID-19","Northern Africa and Western Asia",6,8.304,8.325
"COVID-19","Northern Africa and Western Asia",7,8.325,8.345
"COVID-19","Northern Africa and Western Asia",3,8.345,8.366
"COVID-19","Northern Africa and Western Asia",5,8.366,8.386
"COVID-19","Northern Africa and Western Asia",6,8.386,8.407
"COVID-19","Northern Africa and Western Asia",8,8.407,8.427
"COVID-19","Northern Africa and Western Asia",6,8.427,8.448
"COVID-19","Northern Africa and Western Asia",6,8.448,8.469
"COVID-19","Northern Africa and Western Asia",10,8.469,8.489
"COVID-19","Northern Africa and Western Asia",11,8.489,8.51
"COVID-19","Northern Africa and Western Asia",7,8.51,8.53
"COVID-19","Northern Africa and Western Asia",7,8.53,8.551
"COVID-19","Northern Africa and Western Asia",11,8.551,8.571
"COVID-19","Northern Africa and Western Asia",9,8.571,8.592
"COVID-19","Northern Africa and Western Asia",6,8.592,8.612
"COVID-19","Northern Africa and Western Asia",16,8.612,8.633
"COVID-19","Northern Africa and Western Asia",7,8.633,8.654
"COVID-19","Northern Africa and Western Asia",11,8.654,8.674
"COVID-19","Northern Africa and Western Asia",13,8.674,8.695
"COVID-19","Northern Africa and Western Asia",7,8.695,8.715
"COVID-19","Northern Africa and Western Asia",16,8.715,8.736
"COVID-19","Northern Africa and Western Asia",13,8.736,8.756
"COVID-19","Northern Africa and Western Asia",10,8.756,8.777
"COVID-19","Northern Africa and Western Asia",12,8.777,8.797
"COVID-19","Northern Africa and Western Asia",11,8.797,8.818
"COVID-19","Northern Africa and Western Asia",17,8.818,8.838
"COVID-19","Northern Africa and Western Asia",13,8.838,8.859
"COVID-19","Northern Africa and Western Asia",11,8.859,8.88
"COVID-19","Northern Africa and Western Asia",14,8.88,8.9
"COVID-19","Northern Africa and Western Asia",16,8.9,8.921
"COVID-19","Northern Africa and Western Asia",10,8.921,8.941
"COVID-19","Northern Africa and Western Asia",16,8.941,8.962
"COVID-19","Northern Africa and Western Asia",13,8.962,8.982
"COVID-19","Northern Africa and Western Asia",10,8.982,9.003
"COVID-19","Northern Africa and Western Asia",13,9.003,9.023
"COVID-19","Northern Africa and Western Asia",15,9.023,9.044
"COVID-19","Northern Africa and Western Asia",13,9.044,9.065
"COVID-19","Northern Africa and Western Asia",13,9.065,9.085
"COVID-19","Northern Africa and Western Asia",17,9.085,9.106
"COVID-19","Northern Africa and Western Asia",14,9.106,9.126
"COVID-19","Northern Africa and Western Asia",13,9.126,9.147
"COVID-19","Northern Africa and Western Asia",5,9.147,9.167
"COVID-19","Northern Africa and Western Asia",11,9.167,9.188
"COVID-19","Northern Africa and Western Asia",12,9.188,9.208
"COVID-19","Northern Africa and Western Asia",16,9.208,9.229
"COVID-19","Northern Africa and Western Asia",10,9.229,9.249
"COVID-19","Northern Africa and Western Asia",9,9.249,9.27
"COVID-19","Northern Africa and Western Asia",12,9.27,9.291
"COVID-19","Northern Africa and Western Asia",12,9.291,9.311
"COVID-19","Northern Africa and Western Asia",14,9.311,9.332
"COVID-19","Northern Africa and Western Asia",6,9.332,9.352
"COVID-19","Northern Africa and Western Asia",9,9.352,9.373
"COVID-19","Northern Africa and Western Asia",10,9.373,9.393
"COVID-19","Northern Africa and Western Asia",10,9.393,9.414
"COVID-19","Northern Africa and Western Asia",12,9.414,9.434
"COVID-19","Northern Africa and Western Asia",12,9.434,9.455
"COVID-19","Northern Africa and Western Asia",10,9.455,9.476
"COVID-19","Northern Africa and Western Asia",9,9.476,9.496
"COVID-19","Northern Africa and Western Asia",14,9.496,9.517
"COVID-19","Northern Africa and Western Asia",7,9.517,9.537
"COVID-19","Northern Africa and Western Asia",6,9.537,9.558
"COVID-19","Northern Africa and Western Asia",6,9.558,9.578
"COVID-19","Northern Africa and Western Asia",10,9.578,9.599
"COVID-19","Northern Africa and Western Asia",9,9.599,9.619
"COVID-19","Northern Africa and Western Asia",10,9.619,9.64
"COVID-19","Northern Africa and Western Asia",7,9.64,9.66
"COVID-19","Northern Africa and Western Asia",12,9.66,9.681
"COVID-19","Northern Africa and Western Asia",4,9.681,9.702
"COVID-19","Northern Africa and Western Asia",7,9.702,9.722
"COVID-19","Northern Africa and Western Asia",4,9.722,9.743
"COVID-19","Northern Africa and Western Asia",12,9.743,9.763
"COVID-19","Northern Africa and Western Asia",5,9.763,9.784
"COVID-19","Northern Africa and Western Asia",3,9.784,9.804
"COVID-19","Northern Africa and Western Asia",8,9.804,9.825
"COVID-19","Northern Africa and Western Asia",10,9.825,9.845
"COVID-19","Northern Africa and Western Asia",3,9.845,9.866
"COVID-19","Northern Africa and Western Asia",4,9.866,9.887
"COVID-19","Northern Africa and Western Asia",3,9.887,9.907
"COVID-19","Northern Africa and Western Asia",10,9.907,9.928
"COVID-19","Northern Africa and Western Asia",9,9.928,9.948
"COVID-19","Northern Africa and Western Asia",8,9.948,9.969
"COVID-19","Northern Africa and Western Asia",4,9.969,9.989
"COVID-19","Northern Africa and Western Asia",6,9.989,10.01
"COVID-19","Northern Africa and Western Asia",4,10.01,10.03
"COVID-19","Northern Africa and Western Asia",6,10.03,10.05
"COVID-19","Northern Africa and Western Asia",6,10.05,10.07
"COVID-19","Northern Africa and Western Asia",4,10.07,10.09
"COVID-19","Northern Africa and Western Asia",3,10.09,10.11
"COVID-19","Northern Africa and Western Asia",4,10.11,10.13
"COVID-19","Northern Africa and Western Asia",5,10.13,10.15
"COVID-19","Northern Africa and Western Asia",2,10.15,10.17
"COVID-19","Northern Africa and Western Asia",3,10.17,10.19
"COVID-19","Northern Africa and Western Asia",3,10.19,10.22
