"disease","subregion","activity_type","Counts","lower_bound","upper_bound"
"COVID-19","Middle Africa","campaign",1,1.054,1.084
"COVID-19","Middle Africa","campaign",1,1.108,1.133
"COVID-19","Middle Africa","campaign",1,1.232,1.257
"COVID-19","Middle Africa","campaign",2,1.257,1.281
"COVID-19","Middle Africa","campaign",1,1.281,1.306
"COVID-19","Middle Africa","campaign",5,1.355,1.38
"COVID-19","Middle Africa","campaign",2,1.38,1.405
"COVID-19","Middle Africa","campaign",5,1.405,1.429
"COVID-19","Middle Africa","campaign",6,1.479,1.503
"COVID-19","Middle Africa","campaign",5,1.503,1.528
"COVID-19","Middle Africa","campaign",2,1.528,1.553
"COVID-19","Middle Africa","campaign",4,1.577,1.602
"COVID-19","Middle Africa","campaign",2,1.602,1.627
"COVID-19","Middle Africa","campaign",3,1.627,1.651
"COVID-19","Middle Africa","campaign",1,1.651,1.676
"COVID-19","Middle Africa","campaign",5,1.676,1.701
"COVID-19","Middle Africa","campaign",1,1.701,1.726
"COVID-19","Middle Africa","campaign",3,1.726,1.75
"COVID-19","Middle Africa","campaign",4,1.75,1.775
"COVID-19","Middle Africa","campaign",2,1.775,1.8
"COVID-19","Middle Africa","campaign",3,1.8,1.824
"COVID-19","Middle Africa","campaign",1,1.824,1.849
"COVID-19","Middle Africa","campaign",4,1.849,1.874
"COVID-19","Middle Africa","campaign",6,1.874,1.898
"COVID-19","Middle Africa","campaign",8,1.898,1.923
"COVID-19","Middle Africa","campaign",4,1.923,1.948
"COVID-19","Middle Africa","campaign",7,1.948,1.972
"COVID-19","Middle Africa","campaign",5,1.972,1.997
"COVID-19","Middle Africa","campaign",5,1.997,2.022
"COVID-19","Middle Africa","campaign",5,2.022,2.046
"COVID-19","Middle Africa","campaign",13,2.046,2.071
"COVID-19","Middle Africa","campaign",5,2.071,2.096
"COVID-19","Middle Africa","campaign",5,2.096,2.12
"COVID-19","Middle Africa","campaign",13,2.12,2.145
"COVID-19","Middle Africa","campaign",6,2.145,2.17
"COVID-19","Middle Africa","campaign",4,2.17,2.194
"COVID-19","Middle Africa","campaign",8,2.194,2.219
"COVID-19","Middle Africa","campaign",16,2.219,2.244
"COVID-19","Middle Africa","campaign",3,2.244,2.269
"COVID-19","Middle Africa","campaign",5,2.269,2.293
"COVID-19","Middle Africa","campaign",14,2.293,2.318
"COVID-19","Middle Africa","campaign",14,2.318,2.343
"COVID-19","Middle Africa","campaign",10,2.343,2.367
"COVID-19","Middle Africa","campaign",10,2.367,2.392
"COVID-19","Middle Africa","campaign",14,2.392,2.417
"COVID-19","Middle Africa","campaign",10,2.417,2.441
"COVID-19","Middle Africa","campaign",8,2.441,2.466
"COVID-19","Middle Africa","campaign",9,2.466,2.491
"COVID-19","Middle Africa","campaign",12,2.491,2.515
"COVID-19","Middle Africa","campaign",7,2.515,2.54
"COVID-19","Middle Africa","campaign",15,2.54,2.565
"COVID-19","Middle Africa","campaign",15,2.565,2.589
"COVID-19","Middle Africa","campaign",15,2.589,2.614
"COVID-19","Middle Africa","campaign",15,2.614,2.639
"COVID-19","Middle Africa","campaign",9,2.639,2.663
"COVID-19","Middle Africa","campaign",18,2.663,2.688
"COVID-19","Middle Africa","campaign",9,2.688,2.713
"COVID-19","Middle Africa","campaign",17,2.713,2.737
"COVID-19","Middle Africa","campaign",17,2.737,2.762
"COVID-19","Middle Africa","campaign",10,2.762,2.787
"COVID-19","Middle Africa","campaign",12,2.787,2.812
"COVID-19","Middle Africa","campaign",7,2.812,2.836
"COVID-19","Middle Africa","campaign",11,2.836,2.861
"COVID-19","Middle Africa","campaign",13,2.861,2.886
"COVID-19","Middle Africa","campaign",18,2.886,2.91
"COVID-19","Middle Africa","campaign",17,2.91,2.935
"COVID-19","Middle Africa","campaign",7,2.935,2.96
"COVID-19","Middle Africa","campaign",8,2.96,2.984
"COVID-19","Middle Africa","campaign",16,2.984,3.009
"COVID-19","Middle Africa","campaign",11,3.009,3.034
"COVID-19","Middle Africa","campaign",14,3.034,3.058
"COVID-19","Middle Africa","campaign",11,3.058,3.083
"COVID-19","Middle Africa","campaign",7,3.083,3.108
"COVID-19","Middle Africa","campaign",9,3.108,3.132
"COVID-19","Middle Africa","campaign",7,3.132,3.157
"COVID-19","Middle Africa","campaign",10,3.157,3.182
"COVID-19","Middle Africa","campaign",11,3.182,3.206
"COVID-19","Middle Africa","campaign",11,3.206,3.231
"COVID-19","Middle Africa","campaign",11,3.231,3.256
"COVID-19","Middle Africa","campaign",12,3.256,3.28
"COVID-19","Middle Africa","campaign",10,3.28,3.305
"COVID-19","Middle Africa","campaign",4,3.305,3.33
"COVID-19","Middle Africa","campaign",12,3.33,3.355
"COVID-19","Middle Africa","campaign",6,3.355,3.379
"COVID-19","Middle Africa","campaign",9,3.379,3.404
"COVID-19","Middle Africa","campaign",7,3.404,3.429
"COVID-19","Middle Africa","campaign",13,3.429,3.453
"COVID-19","Middle Africa","campaign",4,3.453,3.478
"COVID-19","Middle Africa","campaign",4,3.478,3.503
"COVID-19","Middle Africa","campaign",11,3.503,3.527
"COVID-19","Middle Africa","campaign",6,3.527,3.552
"COVID-19","Middle Africa","campaign",11,3.552,3.577
"COVID-19","Middle Africa","campaign",5,3.577,3.601
"COVID-19","Middle Africa","campaign",6,3.601,3.626
"COVID-19","Middle Africa","campaign",6,3.626,3.651
"COVID-19","Middle Africa","campaign",5,3.651,3.675
"COVID-19","Middle Africa","campaign",4,3.675,3.7
"COVID-19","Middle Africa","campaign",6,3.7,3.725
"COVID-19","Middle Africa","campaign",9,3.725,3.749
"COVID-19","Middle Africa","campaign",7,3.749,3.774
"COVID-19","Middle Africa","campaign",6,3.774,3.799
"COVID-19","Middle Africa","campaign",9,3.799,3.823
"COVID-19","Middle Africa","campaign",4,3.823,3.848
"COVID-19","Middle Africa","campaign",4,3.848,3.873
"COVID-19","Middle Africa","campaign",8,3.873,3.898
"COVID-19","Middle Africa","campaign",10,3.898,3.922
"COVID-19","Middle Africa","campaign",5,3.922,3.947
"COVID-19","Middle Africa","campaign",12,3.947,3.972
"COVID-19","Middle Africa","campaign",5,3.972,3.996
"COVID-19","Middle Africa","campaign",5,3.996,4.021
"COVID-19","Middle Africa","campaign",7,4.021,4.046
"COVID-19","Middle Africa","campaign",6,4.046,4.07
"COVID-19","Middle Africa","campaign",8,4.07,4.095
"COVID-19","Middle Africa","campaign",5,4.095,4.12
"COVID-19","Middle Africa","campaign",4,4.12,4.144
"COVID-19","Middle Africa","campaign",6,4.144,4.169
"COVID-19","Middle Africa","campaign",9,4.169,4.194
"COVID-19","Middle Africa","campaign",3,4.194,4.218
"COVID-19","Middle Africa","campaign",4,4.218,4.243
"COVID-19","Middle Africa","campaign",1,4.243,4.268
"COVID-19","Middle Africa","campaign",2,4.268,4.292
"COVID-19","Middle Africa","campaign",7,4.292,4.317
"COVID-19","Middle Africa","campaign",6,4.317,4.342
"COVID-19","Middle Africa","campaign",3,4.342,4.366
"COVID-19","Middle Africa","campaign",4,4.366,4.391
"COVID-19","Middle Africa","campaign",2,4.416,4.441
"COVID-19","Middle Africa","campaign",1,4.441,4.465
"COVID-19","Middle Africa","campaign",2,4.465,4.49
"COVID-19","Middle Africa","campaign",2,4.49,4.515
"COVID-19","Middle Africa","campaign",2,4.515,4.539
"COVID-19","Middle Africa","campaign",1,4.539,4.564
"COVID-19","Middle Africa","campaign",2,4.564,4.589
"COVID-19","Middle Africa","campaign",2,4.663,4.687
"COVID-19","Middle Africa","campaign",1,4.687,4.712
"COVID-19","Middle Africa","campaign",2,4.712,4.737
"COVID-19","Middle Africa","campaign",2,4.737,4.761
"COVID-19","Middle Africa","campaign",4,4.761,4.786
"COVID-19","Middle Africa","campaign",4,4.786,4.811
"COVID-19","Middle Africa","campaign",4,4.811,4.835
"COVID-19","Middle Africa","campaign",2,4.835,4.86
"COVID-19","Middle Africa","campaign",1,4.885,4.91
"COVID-19","Middle Africa","campaign",1,4.91,4.934
"COVID-19","Middle Africa","campaign",2,4.934,4.959
"COVID-19","Middle Africa","campaign",2,4.959,4.984
"COVID-19","Middle Africa","campaign",3,4.984,5.008
"COVID-19","Middle Africa","campaign",1,5.058,5.082
"COVID-19","Middle Africa","campaign",1,5.107,5.132
"COVID-19","Middle Africa","campaign",1,5.132,5.156
"COVID-19","Middle Africa","campaign",1,5.206,5.23
"COVID-19","Middle Africa","campaign",2,5.23,5.255
"COVID-19","Middle Africa","campaign",1,5.329,5.354
"COVID-19","Middle Africa","campaign",1,5.428,5.453
"COVID-19","Middle Africa","campaign",1,5.527,5.551
"COVID-19","Middle Africa","campaign",1,5.551,5.576
"COVID-19","Middle Africa","campaign",1,5.576,5.601
"COVID-19","Middle Africa","campaign",1,5.625,5.65
"COVID-19","Middle Africa","campaign",1,5.749,5.773
