"disease","subregion","activity_type","Counts","lower_bound","upper_bound"
"COVID-19","Middle Africa","campaign",1,-0.485,-0.4777
"COVID-19","Middle Africa","campaign",1,-0.4474,-0.4414
"COVID-19","Middle Africa","campaign",1,-0.3808,-0.3747
"COVID-19","Middle Africa","campaign",1,-0.3262,-0.3202
"COVID-19","Middle Africa","campaign",2,-0.205,-0.1989
"COVID-19","Middle Africa","campaign",1,-0.1686,-0.1626
"COVID-19","Middle Africa","campaign",1,-0.1626,-0.1565
"COVID-19","Middle Africa","campaign",1,-0.1505,-0.1444
"COVID-19","Middle Africa","campaign",1,-0.1383,-0.1323
"COVID-19","Middle Africa","campaign",1,-0.1202,-0.1141
"COVID-19","Middle Africa","campaign",1,-0.102,-0.09591
"COVID-19","Middle Africa","campaign",1,-0.08985,-0.08379
"COVID-19","Middle Africa","campaign",1,-0.08379,-0.07773
"COVID-19","Middle Africa","campaign",1,-0.05348,-0.04742
"COVID-19","Middle Africa","campaign",2,-0.04742,-0.04136
"COVID-19","Middle Africa","campaign",2,-0.04136,-0.0353
"COVID-19","Middle Africa","campaign",1,-0.0353,-0.02924
"COVID-19","Middle Africa","campaign",1,-0.02924,-0.02318
"COVID-19","Middle Africa","campaign",2,-0.004998,0.001063
"COVID-19","Middle Africa","campaign",3,0.001063,0.007124
"COVID-19","Middle Africa","campaign",3,0.007124,0.01318
"COVID-19","Middle Africa","campaign",3,0.01318,0.01925
"COVID-19","Middle Africa","campaign",5,0.01925,0.02531
"COVID-19","Middle Africa","campaign",2,0.02531,0.03137
"COVID-19","Middle Africa","campaign",1,0.03137,0.03743
"COVID-19","Middle Africa","campaign",2,0.03743,0.04349
"COVID-19","Middle Africa","campaign",2,0.04349,0.04955
"COVID-19","Middle Africa","campaign",4,0.04955,0.05561
"COVID-19","Middle Africa","campaign",2,0.05561,0.06167
"COVID-19","Middle Africa","campaign",1,0.06167,0.06773
"COVID-19","Middle Africa","campaign",4,0.06773,0.07379
"COVID-19","Middle Africa","campaign",5,0.07379,0.07985
"COVID-19","Middle Africa","campaign",3,0.07985,0.08591
"COVID-19","Middle Africa","campaign",5,0.08591,0.09197
"COVID-19","Middle Africa","campaign",2,0.09197,0.09804
"COVID-19","Middle Africa","campaign",4,0.09804,0.1041
"COVID-19","Middle Africa","campaign",4,0.1041,0.1102
"COVID-19","Middle Africa","campaign",4,0.1102,0.1162
"COVID-19","Middle Africa","campaign",5,0.1162,0.1223
"COVID-19","Middle Africa","campaign",3,0.1223,0.1283
"COVID-19","Middle Africa","campaign",5,0.1283,0.1344
"COVID-19","Middle Africa","campaign",5,0.1344,0.1405
"COVID-19","Middle Africa","campaign",8,0.1405,0.1465
"COVID-19","Middle Africa","campaign",3,0.1465,0.1526
"COVID-19","Middle Africa","campaign",2,0.1526,0.1586
"COVID-19","Middle Africa","campaign",9,0.1586,0.1647
"COVID-19","Middle Africa","campaign",7,0.1647,0.1708
"COVID-19","Middle Africa","campaign",10,0.1708,0.1768
"COVID-19","Middle Africa","campaign",8,0.1768,0.1829
"COVID-19","Middle Africa","campaign",6,0.1829,0.1889
"COVID-19","Middle Africa","campaign",3,0.1889,0.195
"COVID-19","Middle Africa","campaign",8,0.195,0.2011
"COVID-19","Middle Africa","campaign",6,0.2011,0.2071
"COVID-19","Middle Africa","campaign",9,0.2071,0.2132
"COVID-19","Middle Africa","campaign",5,0.2132,0.2193
"COVID-19","Middle Africa","campaign",6,0.2193,0.2253
"COVID-19","Middle Africa","campaign",9,0.2253,0.2314
"COVID-19","Middle Africa","campaign",11,0.2314,0.2374
"COVID-19","Middle Africa","campaign",8,0.2374,0.2435
"COVID-19","Middle Africa","campaign",15,0.2435,0.2496
"COVID-19","Middle Africa","campaign",10,0.2496,0.2556
"COVID-19","Middle Africa","campaign",3,0.2556,0.2617
"COVID-19","Middle Africa","campaign",5,0.2617,0.2677
"COVID-19","Middle Africa","campaign",14,0.2677,0.2738
"COVID-19","Middle Africa","campaign",15,0.2738,0.2799
"COVID-19","Middle Africa","campaign",9,0.2799,0.2859
"COVID-19","Middle Africa","campaign",17,0.2859,0.292
"COVID-19","Middle Africa","campaign",15,0.292,0.298
"COVID-19","Middle Africa","campaign",12,0.298,0.3041
"COVID-19","Middle Africa","campaign",17,0.3041,0.3102
"COVID-19","Middle Africa","campaign",16,0.3102,0.3162
"COVID-19","Middle Africa","campaign",13,0.3162,0.3223
"COVID-19","Middle Africa","campaign",16,0.3223,0.3283
"COVID-19","Middle Africa","campaign",16,0.3283,0.3344
"COVID-19","Middle Africa","campaign",16,0.3344,0.3405
"COVID-19","Middle Africa","campaign",16,0.3405,0.3465
"COVID-19","Middle Africa","campaign",24,0.3465,0.3526
"COVID-19","Middle Africa","campaign",14,0.3526,0.3586
"COVID-19","Middle Africa","campaign",16,0.3586,0.3647
"COVID-19","Middle Africa","campaign",22,0.3647,0.3708
"COVID-19","Middle Africa","campaign",14,0.3708,0.3768
"COVID-19","Middle Africa","campaign",13,0.3768,0.3829
"COVID-19","Middle Africa","campaign",16,0.3829,0.389
"COVID-19","Middle Africa","campaign",14,0.389,0.395
"COVID-19","Middle Africa","campaign",16,0.395,0.4011
"COVID-19","Middle Africa","campaign",13,0.4011,0.4071
"COVID-19","Middle Africa","campaign",18,0.4071,0.4132
"COVID-19","Middle Africa","campaign",13,0.4132,0.4193
"COVID-19","Middle Africa","campaign",13,0.4193,0.4253
"COVID-19","Middle Africa","campaign",25,0.4253,0.4314
"COVID-19","Middle Africa","campaign",13,0.4314,0.4374
"COVID-19","Middle Africa","campaign",13,0.4374,0.4435
"COVID-19","Middle Africa","campaign",23,0.4435,0.4496
"COVID-19","Middle Africa","campaign",21,0.4496,0.4556
"COVID-19","Middle Africa","campaign",14,0.4556,0.4617
"COVID-19","Middle Africa","campaign",10,0.4617,0.4677
"COVID-19","Middle Africa","campaign",16,0.4677,0.4738
"COVID-19","Middle Africa","campaign",11,0.4738,0.4799
"COVID-19","Middle Africa","campaign",18,0.4799,0.4859
"COVID-19","Middle Africa","campaign",7,0.4859,0.492
"COVID-19","Middle Africa","campaign",12,0.492,0.498
"COVID-19","Middle Africa","campaign",13,0.498,0.5041
"COVID-19","Middle Africa","campaign",8,0.5041,0.5102
"COVID-19","Middle Africa","campaign",10,0.5102,0.5162
"COVID-19","Middle Africa","campaign",13,0.5162,0.5223
"COVID-19","Middle Africa","campaign",8,0.5223,0.5284
"COVID-19","Middle Africa","campaign",5,0.5284,0.5344
"COVID-19","Middle Africa","campaign",8,0.5344,0.5405
"COVID-19","Middle Africa","campaign",6,0.5405,0.5465
"COVID-19","Middle Africa","campaign",12,0.5465,0.5526
"COVID-19","Middle Africa","campaign",15,0.5526,0.5587
"COVID-19","Middle Africa","campaign",6,0.5587,0.5647
"COVID-19","Middle Africa","campaign",8,0.5647,0.5708
"COVID-19","Middle Africa","campaign",6,0.5708,0.5768
"COVID-19","Middle Africa","campaign",7,0.5768,0.5829
"COVID-19","Middle Africa","campaign",4,0.5829,0.589
"COVID-19","Middle Africa","campaign",2,0.589,0.595
"COVID-19","Middle Africa","campaign",6,0.595,0.6011
"COVID-19","Middle Africa","campaign",4,0.6011,0.6071
"COVID-19","Middle Africa","campaign",4,0.6071,0.6132
"COVID-19","Middle Africa","campaign",3,0.6132,0.6193
"COVID-19","Middle Africa","campaign",1,0.6193,0.6253
"COVID-19","Middle Africa","campaign",2,0.6253,0.6314
"COVID-19","Middle Africa","campaign",1,0.6314,0.6374
"COVID-19","Middle Africa","campaign",2,0.6374,0.6435
"COVID-19","Middle Africa","campaign",2,0.6435,0.6496
"COVID-19","Middle Africa","campaign",2,0.6496,0.6556
"COVID-19","Middle Africa","campaign",1,0.6556,0.6617
"COVID-19","Middle Africa","campaign",1,0.6617,0.6677
"COVID-19","Middle Africa","campaign",2,0.6677,0.6738
"COVID-19","Middle Africa","campaign",1,0.6738,0.6799
"COVID-19","Middle Africa","campaign",1,0.6859,0.692
"COVID-19","Middle Africa","campaign",3,0.6981,0.7041
"COVID-19","Middle Africa","campaign",1,0.7223,0.7296
"COVID-19","Middle Africa","routine",1,1.121,1.125
"COVID-19","Middle Africa","routine",1,1.178,1.182
"COVID-19","Middle Africa","routine",1,1.188,1.191
"COVID-19","Middle Africa","routine",1,1.191,1.194
"COVID-19","Middle Africa","routine",1,1.194,1.197
"COVID-19","Middle Africa","routine",1,1.201,1.204
"COVID-19","Middle Africa","routine",1,1.223,1.226
"COVID-19","Middle Africa","routine",1,1.226,1.229
"COVID-19","Middle Africa","routine",1,1.235,1.239
"COVID-19","Middle Africa","routine",1,1.239,1.242
"COVID-19","Middle Africa","routine",1,1.242,1.245
