"disease","subregion","Counts","lower_bound","upper_bound"
"COVID-19","Middle Africa",1,0.01476,0.01927
"COVID-19","Middle Africa",1,0.08314,0.0869
"COVID-19","Middle Africa",1,0.09066,0.09441
"COVID-19","Middle Africa",1,0.1245,0.1282
"COVID-19","Middle Africa",1,0.1357,0.1395
"COVID-19","Middle Africa",2,0.1545,0.1583
"COVID-19","Middle Africa",1,0.162,0.1658
"COVID-19","Middle Africa",1,0.1658,0.1696
"COVID-19","Middle Africa",1,0.1696,0.1733
"COVID-19","Middle Africa",1,0.1733,0.1771
"COVID-19","Middle Africa",1,0.1921,0.1959
"COVID-19","Middle Africa",4,0.2109,0.2146
"COVID-19","Middle Africa",1,0.2334,0.2372
"COVID-19","Middle Africa",1,0.2372,0.2409
"COVID-19","Middle Africa",1,0.2485,0.2522
"COVID-19","Middle Africa",1,0.256,0.2597
"COVID-19","Middle Africa",1,0.2597,0.2635
"COVID-19","Middle Africa",2,0.2635,0.2672
"COVID-19","Middle Africa",1,0.2672,0.271
"COVID-19","Middle Africa",1,0.271,0.2748
"COVID-19","Middle Africa",3,0.2748,0.2785
"COVID-19","Middle Africa",1,0.2785,0.2823
"COVID-19","Middle Africa",2,0.2823,0.286
"COVID-19","Middle Africa",1,0.286,0.2898
"COVID-19","Middle Africa",2,0.2898,0.2935
"COVID-19","Middle Africa",2,0.2935,0.2973
"COVID-19","Middle Africa",3,0.2973,0.3011
"COVID-19","Middle Africa",3,0.3048,0.3086
"COVID-19","Middle Africa",3,0.3123,0.3161
"COVID-19","Middle Africa",1,0.3161,0.3198
"COVID-19","Middle Africa",2,0.3274,0.3311
"COVID-19","Middle Africa",4,0.3311,0.3349
"COVID-19","Middle Africa",3,0.3349,0.3386
"COVID-19","Middle Africa",1,0.3386,0.3424
"COVID-19","Middle Africa",6,0.3424,0.3461
"COVID-19","Middle Africa",2,0.3461,0.3499
"COVID-19","Middle Africa",2,0.3499,0.3537
"COVID-19","Middle Africa",1,0.3537,0.3574
"COVID-19","Middle Africa",1,0.3574,0.3612
"COVID-19","Middle Africa",2,0.3612,0.3649
"COVID-19","Middle Africa",3,0.3649,0.3687
"COVID-19","Middle Africa",4,0.3687,0.3724
"COVID-19","Middle Africa",1,0.3724,0.3762
"COVID-19","Middle Africa",4,0.3762,0.38
"COVID-19","Middle Africa",8,0.38,0.3837
"COVID-19","Middle Africa",7,0.3837,0.3875
"COVID-19","Middle Africa",3,0.3875,0.3912
"COVID-19","Middle Africa",1,0.3912,0.395
"COVID-19","Middle Africa",4,0.395,0.3987
"COVID-19","Middle Africa",1,0.3987,0.4025
"COVID-19","Middle Africa",2,0.4025,0.4063
"COVID-19","Middle Africa",5,0.4063,0.41
"COVID-19","Middle Africa",5,0.41,0.4138
"COVID-19","Middle Africa",6,0.4138,0.4175
"COVID-19","Middle Africa",2,0.4175,0.4213
"COVID-19","Middle Africa",13,0.4213,0.425
"COVID-19","Middle Africa",8,0.425,0.4288
"COVID-19","Middle Africa",8,0.4288,0.4326
"COVID-19","Middle Africa",9,0.4326,0.4363
"COVID-19","Middle Africa",4,0.4363,0.4401
"COVID-19","Middle Africa",9,0.4401,0.4438
"COVID-19","Middle Africa",5,0.4438,0.4476
"COVID-19","Middle Africa",9,0.4476,0.4513
"COVID-19","Middle Africa",8,0.4513,0.4551
"COVID-19","Middle Africa",14,0.4551,0.4589
"COVID-19","Middle Africa",8,0.4589,0.4626
"COVID-19","Middle Africa",12,0.4626,0.4664
"COVID-19","Middle Africa",10,0.4664,0.4701
"COVID-19","Middle Africa",12,0.4701,0.4739
"COVID-19","Middle Africa",9,0.4739,0.4776
"COVID-19","Middle Africa",10,0.4776,0.4814
"COVID-19","Middle Africa",13,0.4814,0.4852
"COVID-19","Middle Africa",10,0.4852,0.4889
"COVID-19","Middle Africa",10,0.4889,0.4927
"COVID-19","Middle Africa",12,0.4927,0.4964
"COVID-19","Middle Africa",17,0.4964,0.5002
"COVID-19","Middle Africa",14,0.5002,0.5039
"COVID-19","Middle Africa",10,0.5039,0.5077
"COVID-19","Middle Africa",20,0.5077,0.5115
"COVID-19","Middle Africa",15,0.5115,0.5152
"COVID-19","Middle Africa",11,0.5152,0.519
"COVID-19","Middle Africa",17,0.519,0.5227
"COVID-19","Middle Africa",24,0.5227,0.5265
"COVID-19","Middle Africa",16,0.5265,0.5302
"COVID-19","Middle Africa",12,0.5302,0.534
"COVID-19","Middle Africa",19,0.534,0.5378
"COVID-19","Middle Africa",21,0.5378,0.5415
"COVID-19","Middle Africa",12,0.5415,0.5453
"COVID-19","Middle Africa",19,0.5453,0.549
"COVID-19","Middle Africa",17,0.549,0.5528
"COVID-19","Middle Africa",12,0.5528,0.5565
"COVID-19","Middle Africa",16,0.5565,0.5603
"COVID-19","Middle Africa",17,0.5603,0.5641
"COVID-19","Middle Africa",19,0.5641,0.5678
"COVID-19","Middle Africa",21,0.5678,0.5716
"COVID-19","Middle Africa",17,0.5716,0.5753
"COVID-19","Middle Africa",15,0.5753,0.5791
"COVID-19","Middle Africa",10,0.5791,0.5828
"COVID-19","Middle Africa",18,0.5828,0.5866
"COVID-19","Middle Africa",14,0.5866,0.5904
"COVID-19","Middle Africa",10,0.5904,0.5941
"COVID-19","Middle Africa",13,0.5941,0.5979
"COVID-19","Middle Africa",12,0.5979,0.6016
"COVID-19","Middle Africa",15,0.6016,0.6054
"COVID-19","Middle Africa",11,0.6054,0.6091
"COVID-19","Middle Africa",14,0.6091,0.6129
"COVID-19","Middle Africa",13,0.6129,0.6167
"COVID-19","Middle Africa",18,0.6167,0.6204
"COVID-19","Middle Africa",18,0.6204,0.6242
"COVID-19","Middle Africa",9,0.6242,0.6279
"COVID-19","Middle Africa",11,0.6279,0.6317
"COVID-19","Middle Africa",9,0.6317,0.6354
"COVID-19","Middle Africa",8,0.6354,0.6392
"COVID-19","Middle Africa",6,0.6392,0.643
"COVID-19","Middle Africa",15,0.643,0.6467
"COVID-19","Middle Africa",11,0.6467,0.6505
"COVID-19","Middle Africa",12,0.6505,0.6542
"COVID-19","Middle Africa",7,0.6542,0.658
"COVID-19","Middle Africa",9,0.658,0.6617
"COVID-19","Middle Africa",2,0.6617,0.6655
"COVID-19","Middle Africa",3,0.6655,0.6693
"COVID-19","Middle Africa",6,0.6693,0.673
"COVID-19","Middle Africa",4,0.673,0.6768
"COVID-19","Middle Africa",2,0.6768,0.6805
"COVID-19","Middle Africa",7,0.6805,0.6843
"COVID-19","Middle Africa",3,0.6843,0.688
"COVID-19","Middle Africa",2,0.688,0.6918
"COVID-19","Middle Africa",1,0.6918,0.6956
"COVID-19","Middle Africa",6,0.6993,0.7031
"COVID-19","Middle Africa",1,0.7031,0.7068
"COVID-19","Middle Africa",1,0.7106,0.7143
"COVID-19","Middle Africa",5,0.7143,0.7181
"COVID-19","Middle Africa",2,0.7181,0.7219
"COVID-19","Middle Africa",3,0.7219,0.7256
"COVID-19","Middle Africa",4,0.7256,0.7294
"COVID-19","Middle Africa",2,0.7294,0.7331
"COVID-19","Middle Africa",1,0.7557,0.7594
"COVID-19","Middle Africa",2,0.7632,0.7677
"COVID-19","Northern Africa and Western Asia",1,0.6389,0.6406
"COVID-19","Northern Africa and Western Asia",1,0.6476,0.649
"COVID-19","Northern Africa and Western Asia",2,0.649,0.6504
"COVID-19","Northern Africa and Western Asia",1,0.6531,0.6545
"COVID-19","Northern Africa and Western Asia",1,0.6573,0.6587
"COVID-19","Northern Africa and Western Asia",1,0.6601,0.6615
"COVID-19","Northern Africa and Western Asia",1,0.6643,0.6657
"COVID-19","Northern Africa and Western Asia",1,0.6671,0.6685
"COVID-19","Northern Africa and Western Asia",2,0.6741,0.6755
"COVID-19","Northern Africa and Western Asia",2,0.6783,0.6797
"COVID-19","Northern Africa and Western Asia",1,0.6797,0.6811
"COVID-19","Northern Africa and Western Asia",2,0.6811,0.6825
"COVID-19","Northern Africa and Western Asia",1,0.6839,0.6853
"COVID-19","Northern Africa and Western Asia",2,0.6853,0.6867
"COVID-19","Northern Africa and Western Asia",2,0.6867,0.6881
"COVID-19","Northern Africa and Western Asia",2,0.6895,0.6908
"COVID-19","Northern Africa and Western Asia",1,0.6908,0.6922
"COVID-19","Northern Africa and Western Asia",1,0.6922,0.6936
"COVID-19","Northern Africa and Western Asia",2,0.695,0.6964
"COVID-19","Northern Africa and Western Asia",3,0.6964,0.6978
"COVID-19","Northern Africa and Western Asia",4,0.6978,0.6992
"COVID-19","Northern Africa and Western Asia",1,0.7006,0.702
"COVID-19","Northern Africa and Western Asia",5,0.702,0.7034
"COVID-19","Northern Africa and Western Asia",2,0.7034,0.7048
"COVID-19","Northern Africa and Western Asia",4,0.7048,0.7062
"COVID-19","Northern Africa and Western Asia",1,0.7062,0.7076
"COVID-19","Northern Africa and Western Asia",3,0.7076,0.709
"COVID-19","Northern Africa and Western Asia",1,0.709,0.7104
"COVID-19","Northern Africa and Western Asia",2,0.7104,0.7118
"COVID-19","Northern Africa and Western Asia",6,0.7118,0.7132
"COVID-19","Northern Africa and Western Asia",1,0.7132,0.7146
"COVID-19","Northern Africa and Western Asia",3,0.716,0.7174
"COVID-19","Northern Africa and Western Asia",4,0.7174,0.7188
"COVID-19","Northern Africa and Western Asia",2,0.7188,0.7202
"COVID-19","Northern Africa and Western Asia",4,0.7202,0.7216
"COVID-19","Northern Africa and Western Asia",4,0.7216,0.723
"COVID-19","Northern Africa and Western Asia",5,0.7244,0.7258
"COVID-19","Northern Africa and Western Asia",4,0.7258,0.7272
"COVID-19","Northern Africa and Western Asia",1,0.7272,0.7286
"COVID-19","Northern Africa and Western Asia",6,0.7286,0.7299
"COVID-19","Northern Africa and Western Asia",4,0.7299,0.7313
"COVID-19","Northern Africa and Western Asia",6,0.7313,0.7327
"COVID-19","Northern Africa and Western Asia",7,0.7327,0.7341
"COVID-19","Northern Africa and Western Asia",8,0.7341,0.7355
"COVID-19","Northern Africa and Western Asia",2,0.7355,0.7369
"COVID-19","Northern Africa and Western Asia",9,0.7369,0.7383
"COVID-19","Northern Africa and Western Asia",7,0.7383,0.7397
"COVID-19","Northern Africa and Western Asia",4,0.7397,0.7411
"COVID-19","Northern Africa and Western Asia",3,0.7411,0.7425
"COVID-19","Northern Africa and Western Asia",8,0.7425,0.7439
"COVID-19","Northern Africa and Western Asia",5,0.7439,0.7453
"COVID-19","Northern Africa and Western Asia",4,0.7453,0.7467
"COVID-19","Northern Africa and Western Asia",5,0.7467,0.7481
"COVID-19","Northern Africa and Western Asia",6,0.7481,0.7495
"COVID-19","Northern Africa and Western Asia",13,0.7495,0.7509
"COVID-19","Northern Africa and Western Asia",14,0.7509,0.7523
"COVID-19","Northern Africa and Western Asia",5,0.7523,0.7537
"COVID-19","Northern Africa and Western Asia",5,0.7537,0.7551
"COVID-19","Northern Africa and Western Asia",9,0.7551,0.7565
"COVID-19","Northern Africa and Western Asia",10,0.7565,0.7579
"COVID-19","Northern Africa and Western Asia",11,0.7579,0.7593
"COVID-19","Northern Africa and Western Asia",12,0.7593,0.7607
"COVID-19","Northern Africa and Western Asia",12,0.7607,0.7621
"COVID-19","Northern Africa and Western Asia",7,0.7621,0.7635
"COVID-19","Northern Africa and Western Asia",10,0.7635,0.7649
"COVID-19","Northern Africa and Western Asia",6,0.7649,0.7663
"COVID-19","Northern Africa and Western Asia",10,0.7663,0.7677
"COVID-19","Northern Africa and Western Asia",6,0.7677,0.769
"COVID-19","Northern Africa and Western Asia",10,0.769,0.7704
"COVID-19","Northern Africa and Western Asia",10,0.7704,0.7718
