"disease","Counts","lower_bound","upper_bound"
"COVID-19",1,0.1815,0.1829
"COVID-19",1,0.1829,0.184
"COVID-19",1,0.1898,0.1909
"COVID-19",1,0.199,0.2002
"COVID-19",1,0.2002,0.2013
"COVID-19",1,0.2013,0.2025
"COVID-19",1,0.2025,0.2036
"COVID-19",1,0.2036,0.2048
"COVID-19",2,0.2048,0.2059
"COVID-19",1,0.2059,0.2071
"COVID-19",4,0.2071,0.2082
"COVID-19",4,0.2082,0.2094
"COVID-19",2,0.2094,0.2105
"COVID-19",3,0.2105,0.2117
"COVID-19",2,0.2117,0.2128
"COVID-19",6,0.2128,0.214
"COVID-19",1,0.214,0.2151
"COVID-19",6,0.2151,0.2163
"COVID-19",2,0.2163,0.2175
"COVID-19",4,0.2175,0.2186
"COVID-19",10,0.2186,0.2198
"COVID-19",4,0.2198,0.2209
"COVID-19",6,0.2209,0.2221
"COVID-19",4,0.2221,0.2232
"COVID-19",8,0.2232,0.2244
"COVID-19",7,0.2244,0.2255
"COVID-19",5,0.2255,0.2267
"COVID-19",6,0.2267,0.2278
"COVID-19",7,0.2278,0.229
"COVID-19",8,0.229,0.2301
"COVID-19",8,0.2301,0.2313
"COVID-19",11,0.2313,0.2324
"COVID-19",10,0.2324,0.2336
"COVID-19",8,0.2336,0.2347
"COVID-19",5,0.2347,0.2359
"COVID-19",2,0.2359,0.237
"COVID-19",10,0.237,0.2382
"COVID-19",19,0.2382,0.2394
"COVID-19",11,0.2394,0.2405
"COVID-19",7,0.2405,0.2417
"COVID-19",15,0.2417,0.2428
"COVID-19",13,0.2428,0.244
"COVID-19",11,0.244,0.2451
"COVID-19",16,0.2451,0.2463
"COVID-19",12,0.2463,0.2474
"COVID-19",11,0.2474,0.2486
"COVID-19",17,0.2486,0.2497
"COVID-19",16,0.2497,0.2509
"COVID-19",22,0.2509,0.252
"COVID-19",5,0.252,0.2532
"COVID-19",16,0.2532,0.2543
"COVID-19",10,0.2543,0.2555
"COVID-19",20,0.2555,0.2566
"COVID-19",15,0.2566,0.2578
"COVID-19",11,0.2578,0.2589
"COVID-19",10,0.2589,0.2601
"COVID-19",13,0.2601,0.2613
"COVID-19",15,0.2613,0.2624
"COVID-19",17,0.2624,0.2636
"COVID-19",15,0.2636,0.2647
"COVID-19",7,0.2647,0.2659
"COVID-19",9,0.2659,0.267
"COVID-19",11,0.267,0.2682
"COVID-19",16,0.2682,0.2693
"COVID-19",8,0.2693,0.2705
"COVID-19",12,0.2705,0.2716
"COVID-19",16,0.2716,0.2728
"COVID-19",16,0.2728,0.2739
"COVID-19",8,0.2739,0.2751
"COVID-19",13,0.2751,0.2762
"COVID-19",12,0.2762,0.2774
"COVID-19",10,0.2774,0.2785
"COVID-19",12,0.2785,0.2797
"COVID-19",5,0.2797,0.2808
"COVID-19",15,0.2808,0.282
"COVID-19",12,0.282,0.2832
"COVID-19",10,0.2832,0.2843
"COVID-19",6,0.2843,0.2855
"COVID-19",15,0.2855,0.2866
"COVID-19",14,0.2866,0.2878
"COVID-19",8,0.2878,0.2889
"COVID-19",9,0.2889,0.2901
"COVID-19",13,0.2901,0.2912
"COVID-19",7,0.2912,0.2924
"COVID-19",11,0.2924,0.2935
"COVID-19",9,0.2935,0.2947
"COVID-19",7,0.2947,0.2958
"COVID-19",11,0.2958,0.297
"COVID-19",9,0.297,0.2981
"COVID-19",5,0.2981,0.2993
"COVID-19",7,0.2993,0.3004
"COVID-19",4,0.3004,0.3016
"COVID-19",7,0.3016,0.3027
"COVID-19",7,0.3027,0.3039
"COVID-19",6,0.3039,0.3051
"COVID-19",6,0.3051,0.3062
"COVID-19",7,0.3062,0.3074
"COVID-19",9,0.3074,0.3085
"COVID-19",7,0.3085,0.3097
"COVID-19",2,0.3097,0.3108
"COVID-19",3,0.3108,0.312
"COVID-19",7,0.312,0.3131
"COVID-19",6,0.3131,0.3143
"COVID-19",7,0.3143,0.3154
"COVID-19",7,0.3154,0.3166
"COVID-19",3,0.3166,0.3177
"COVID-19",5,0.3177,0.3189
"COVID-19",2,0.3189,0.32
"COVID-19",5,0.32,0.3212
"COVID-19",1,0.3212,0.3223
"COVID-19",1,0.3223,0.3235
"COVID-19",6,0.3235,0.3246
"COVID-19",1,0.3246,0.3258
"COVID-19",5,0.3258,0.327
"COVID-19",3,0.327,0.3281
"COVID-19",8,0.3293,0.3304
"COVID-19",2,0.3304,0.3316
"COVID-19",2,0.3316,0.3327
"COVID-19",4,0.3327,0.3339
"COVID-19",2,0.3339,0.335
"COVID-19",2,0.335,0.3362
"COVID-19",3,0.3362,0.3373
"COVID-19",1,0.3373,0.3385
"COVID-19",1,0.3385,0.3396
"COVID-19",4,0.3396,0.3408
"COVID-19",2,0.3408,0.3419
"COVID-19",1,0.3419,0.3431
"COVID-19",2,0.3431,0.3442
"COVID-19",6,0.3442,0.3454
"COVID-19",3,0.3454,0.3465
"COVID-19",2,0.3477,0.3488
"COVID-19",4,0.3488,0.35
"COVID-19",2,0.35,0.3512
"COVID-19",4,0.3512,0.3523
"COVID-19",1,0.3523,0.3535
"COVID-19",1,0.3535,0.3546
"COVID-19",1,0.3558,0.3569
"COVID-19",2,0.3569,0.3581
"COVID-19",1,0.3581,0.3592
"COVID-19",1,0.3592,0.3604
"COVID-19",2,0.3604,0.3615
"COVID-19",1,0.3638,0.365
"COVID-19",1,0.3673,0.3684
"COVID-19",1,0.3719,0.3731
"COVID-19",1,0.3742,0.3754
"COVID-19",1,0.3754,0.3765
"COVID-19",1,0.3777,0.3788
"COVID-19",1,0.3811,0.3823
"COVID-19",1,0.3823,0.3834
"COVID-19",1,0.3846,0.3857
"COVID-19",2,0.3892,0.3903
"COVID-19",1,0.3915,0.3926
"COVID-19",1,0.3984,0.3996
"COVID-19",1,0.3996,0.4007
"COVID-19",1,0.4111,0.4125
"Cholera",1,0.05806,0.06126
"Cholera",1,0.06126,0.06392
"Cholera",1,0.06659,0.06926
"Cholera",1,0.07992,0.08259
"Cholera",3,0.08259,0.08525
"Cholera",1,0.08525,0.08792
"Cholera",6,0.08792,0.09058
"Cholera",1,0.09058,0.09325
"Cholera",5,0.09325,0.09592
"Cholera",4,0.09592,0.09858
"Cholera",7,0.09858,0.1012
"Cholera",12,0.1012,0.1039
"Cholera",15,0.1039,0.1066
"Cholera",8,0.1066,0.1092
"Cholera",18,0.1092,0.1119
"Cholera",16,0.1119,0.1146
"Cholera",16,0.1146,0.1172
"Cholera",15,0.1172,0.1199
"Cholera",17,0.1199,0.1226
"Cholera",26,0.1226,0.1252
"Cholera",22,0.1252,0.1279
"Cholera",15,0.1279,0.1306
"Cholera",20,0.1306,0.1332
"Cholera",29,0.1332,0.1359
"Cholera",23,0.1359,0.1386
"Cholera",26,0.1386,0.1412
"Cholera",24,0.1412,0.1439
"Cholera",30,0.1439,0.1466
"Cholera",27,0.1466,0.1492
"Cholera",23,0.1492,0.1519
"Cholera",30,0.1519,0.1546
"Cholera",39,0.1546,0.1572
"Cholera",23,0.1572,0.1599
"Cholera",31,0.1599,0.1626
"Cholera",19,0.1626,0.1652
"Cholera",28,0.1652,0.1679
"Cholera",24,0.1679,0.1706
"Cholera",29,0.1706,0.1732
"Cholera",27,0.1732,0.1759
"Cholera",13,0.1759,0.1786
"Cholera",19,0.1786,0.1812
"Cholera",14,0.1812,0.1839
"Cholera",19,0.1839,0.1866
"Cholera",13,0.1866,0.1892
"Cholera",11,0.1892,0.1919
"Cholera",16,0.1919,0.1946
"Cholera",13,0.1946,0.1972
"Cholera",12,0.1972,0.1999
"Cholera",7,0.1999,0.2026
"Cholera",10,0.2026,0.2052
"Cholera",14,0.2052,0.2079
"Cholera",17,0.2079,0.2106
"Cholera",7,0.2106,0.2132
"Cholera",6,0.2132,0.2159
"Cholera",8,0.2159,0.2185
"Cholera",6,0.2185,0.2212
"Cholera",5,0.2212,0.2239
"Cholera",3,0.2239,0.2265
"Cholera",2,0.2265,0.2292
"Cholera",3,0.2292,0.2319
"Cholera",5,0.2319,0.2345
"Cholera",2,0.2345,0.2372
"Cholera",5,0.2372,0.2399
"Cholera",6,0.2399,0.2425
"Cholera",2,0.2425,0.2452
"Cholera",5,0.2452,0.2479
"Cholera",3,0.2479,0.2505
"Cholera",3,0.2505,0.2532
"Cholera",2,0.2532,0.2559
"Cholera",5,0.2559,0.2585
"Cholera",5,0.2585,0.2612
"Cholera",6,0.2612,0.2639
"Cholera",2,0.2639,0.2665
"Cholera",3,0.2665,0.2692
"Cholera",1,0.2692,0.2719
"Cholera",3,0.2719,0.2745
"Cholera",1,0.2745,0.2772
"Cholera",1,0.2799,0.2825
"Cholera",2,0.2825,0.2852
"Cholera",2,0.2852,0.2879
"Cholera",1,0.2879,0.2905
"Cholera",3,0.2905,0.2932
"Cholera",3,0.2932,0.2959
"Cholera",4,0.2959,0.2985
"Cholera",2,0.2985,0.3012
"Cholera",2,0.3039,0.3065
"Cholera",3,0.3065,0.3092
"Cholera",2,0.3092,0.3119
"Cholera",2,0.3145,0.3172
"Cholera",1,0.3279,0.3305
"Cholera",1,0.3305,0.3332
"Cholera",4,0.3358,0.3385
"Cholera",1,0.3385,0.3412
"Cholera",1,0.3412,0.3438
"Cholera",1,0.3438,0.3465
"Cholera",1,0.3465,0.3492
"Cholera",1,0.3492,0.3518
"Cholera",2,0.3518,0.3545
"Cholera",1,0.3545,0.3572
"Cholera",2,0.3572,0.3598
"Cholera",1,0.3625,0.3652
"Cholera",1,0.3678,0.3705
"Cholera",1,0.3812,0.3838
"Cholera",2,0.3838,0.3865
"Cholera",2,0.3892,0.3918
"Cholera",1,0.3998,0.4025
"Cholera",1,0.4318,0.4345
"Cholera",1,0.4372,0.4398
"Cholera",1,0.4531,0.4558
"Cholera",1,0.4958,0.4985
"Cholera",1,0.4985,0.5011
"Cholera",1,0.5011,0.5038
"Cholera",1,0.5171,0.5198
"Cholera",1,0.5518,0.5545
"Cholera",1,0.5891,0.5923
"HPV",1,9.977,9.995
"HPV",1,10.01,10.02
"HPV",2,10.04,10.05
"HPV",2,10.05,10.07
"HPV",2,10.1,10.11
"HPV",1,10.14,10.15
"HPV",1,10.15,10.17
"HPV",1,10.18,10.2
"HPV",1,10.2,10.21
"HPV",3,10.22,10.24
"HPV",2,10.24,10.25
"HPV",2,10.25,10.27
"HPV",2,10.27,10.28
"HPV",3,10.28,10.3
"HPV",2,10.3,10.31
"HPV",1,10.32,10.34
"HPV",3,10.34,10.35
"HPV",1,10.35,10.37
"HPV",4,10.37,10.38
"HPV",1,10.38,10.4
"HPV",2,10.41,10.43
"HPV",3,10.43,10.44
"HPV",1,10.44,10.45
"HPV",3,10.45,10.47
"HPV",5,10.47,10.48
"HPV",4,10.48,10.5
"HPV",1,10.5,10.51
"HPV",2,10.51,10.53
"HPV",1,10.53,10.54
"HPV",5,10.54,10.55
"HPV",5,10.55,10.57
"HPV",5,10.57,10.58
"HPV",1,10.58,10.6
"HPV",7,10.6,10.61
"HPV",3,10.61,10.63
"HPV",6,10.63,10.64
"HPV",2,10.64,10.65
"HPV",9,10.65,10.67
"HPV",12,10.67,10.68
"HPV",10,10.68,10.7
"HPV",7,10.7,10.71
"HPV",6,10.71,10.73
"HPV",12,10.73,10.74
"HPV",10,10.74,10.76
"HPV",4,10.76,10.77
"HPV",6,10.77,10.78
"HPV",5,10.78,10.8
"HPV",9,10.8,10.81
"HPV",8,10.81,10.83
"HPV",12,10.83,10.84
"HPV",10,10.84,10.86
"HPV",13,10.86,10.87
"HPV",12,10.87,10.88
"HPV",10,10.88,10.9
"HPV",7,10.9,10.91
"HPV",2,10.91,10.93
"HPV",17,10.93,10.94
"HPV",8,10.94,10.96
"HPV",10,10.96,10.97
"HPV",15,10.97,10.98
"HPV",17,10.98,11
"HPV",10,11,11.01
"HPV",12,11.01,11.03
"HPV",12,11.03,11.04
"HPV",17,11.04,11.06
"HPV",11,11.06,11.07
"HPV",17,11.07,11.09
"HPV",11,11.09,11.1
