"disease","activity_type","Counts","lower_bound","upper_bound"
"COVID-19","campaign",1,0.1402,0.1422
"COVID-19","campaign",1,0.1519,0.1535
"COVID-19","campaign",3,0.1568,0.1584
"COVID-19","campaign",2,0.1584,0.16
"COVID-19","campaign",2,0.16,0.1617
"COVID-19","campaign",2,0.1649,0.1665
"COVID-19","campaign",4,0.1714,0.173
"COVID-19","campaign",5,0.173,0.1746
"COVID-19","campaign",3,0.1746,0.1763
"COVID-19","campaign",1,0.1763,0.1779
"COVID-19","campaign",2,0.1779,0.1795
"COVID-19","campaign",1,0.1795,0.1811
"COVID-19","campaign",3,0.1811,0.1828
"COVID-19","campaign",1,0.1828,0.1844
"COVID-19","campaign",3,0.1844,0.186
"COVID-19","campaign",2,0.186,0.1876
"COVID-19","campaign",5,0.1876,0.1893
"COVID-19","campaign",5,0.1893,0.1909
"COVID-19","campaign",4,0.1909,0.1925
"COVID-19","campaign",4,0.1925,0.1941
"COVID-19","campaign",2,0.1941,0.1958
"COVID-19","campaign",4,0.1958,0.1974
"COVID-19","campaign",7,0.1974,0.199
"COVID-19","campaign",6,0.199,0.2006
"COVID-19","campaign",6,0.2006,0.2023
"COVID-19","campaign",7,0.2023,0.2039
"COVID-19","campaign",6,0.2039,0.2055
"COVID-19","campaign",5,0.2055,0.2071
"COVID-19","campaign",3,0.2071,0.2087
"COVID-19","campaign",9,0.2087,0.2104
"COVID-19","campaign",6,0.2104,0.212
"COVID-19","campaign",7,0.212,0.2136
"COVID-19","campaign",8,0.2136,0.2152
"COVID-19","campaign",13,0.2152,0.2169
"COVID-19","campaign",15,0.2169,0.2185
"COVID-19","campaign",16,0.2185,0.2201
"COVID-19","campaign",14,0.2201,0.2217
"COVID-19","campaign",13,0.2217,0.2234
"COVID-19","campaign",11,0.2234,0.225
"COVID-19","campaign",13,0.225,0.2266
"COVID-19","campaign",15,0.2266,0.2282
"COVID-19","campaign",21,0.2282,0.2299
"COVID-19","campaign",13,0.2299,0.2315
"COVID-19","campaign",15,0.2315,0.2331
"COVID-19","campaign",21,0.2331,0.2347
"COVID-19","campaign",12,0.2347,0.2364
"COVID-19","campaign",10,0.2364,0.238
"COVID-19","campaign",14,0.238,0.2396
"COVID-19","campaign",14,0.2396,0.2412
"COVID-19","campaign",14,0.2412,0.2428
"COVID-19","campaign",20,0.2428,0.2445
"COVID-19","campaign",19,0.2445,0.2461
"COVID-19","campaign",14,0.2461,0.2477
"COVID-19","campaign",18,0.2477,0.2493
"COVID-19","campaign",19,0.2493,0.251
"COVID-19","campaign",20,0.251,0.2526
"COVID-19","campaign",15,0.2526,0.2542
"COVID-19","campaign",19,0.2542,0.2558
"COVID-19","campaign",12,0.2558,0.2575
"COVID-19","campaign",14,0.2575,0.2591
"COVID-19","campaign",14,0.2591,0.2607
"COVID-19","campaign",9,0.2607,0.2623
"COVID-19","campaign",15,0.2623,0.264
"COVID-19","campaign",9,0.264,0.2656
"COVID-19","campaign",15,0.2656,0.2672
"COVID-19","campaign",10,0.2672,0.2688
"COVID-19","campaign",7,0.2688,0.2705
"COVID-19","campaign",6,0.2705,0.2721
"COVID-19","campaign",9,0.2721,0.2737
"COVID-19","campaign",8,0.2737,0.2753
"COVID-19","campaign",11,0.2753,0.2769
"COVID-19","campaign",12,0.2769,0.2786
"COVID-19","campaign",8,0.2786,0.2802
"COVID-19","campaign",6,0.2802,0.2818
"COVID-19","campaign",11,0.2818,0.2834
"COVID-19","campaign",9,0.2834,0.2851
"COVID-19","campaign",7,0.2851,0.2867
"COVID-19","campaign",4,0.2867,0.2883
"COVID-19","campaign",8,0.2883,0.2899
"COVID-19","campaign",11,0.2899,0.2916
"COVID-19","campaign",6,0.2916,0.2932
"COVID-19","campaign",4,0.2932,0.2948
"COVID-19","campaign",5,0.2948,0.2964
"COVID-19","campaign",6,0.2964,0.2981
"COVID-19","campaign",6,0.2981,0.2997
"COVID-19","campaign",5,0.2997,0.3013
"COVID-19","campaign",2,0.3013,0.3029
"COVID-19","campaign",7,0.3029,0.3045
"COVID-19","campaign",8,0.3045,0.3062
"COVID-19","campaign",8,0.3062,0.3078
"COVID-19","campaign",6,0.3078,0.3094
"COVID-19","campaign",5,0.3094,0.311
"COVID-19","campaign",6,0.311,0.3127
"COVID-19","campaign",6,0.3127,0.3143
"COVID-19","campaign",8,0.3143,0.3159
"COVID-19","campaign",4,0.3159,0.3175
"COVID-19","campaign",3,0.3175,0.3192
"COVID-19","campaign",2,0.3192,0.3208
"COVID-19","campaign",7,0.3208,0.3224
"COVID-19","campaign",4,0.3224,0.324
"COVID-19","campaign",2,0.324,0.3257
"COVID-19","campaign",6,0.3257,0.3273
"COVID-19","campaign",4,0.3273,0.3289
"COVID-19","campaign",1,0.3289,0.3305
"COVID-19","campaign",5,0.3305,0.3322
"COVID-19","campaign",10,0.3322,0.3338
"COVID-19","campaign",6,0.3338,0.3354
"COVID-19","campaign",5,0.3354,0.337
"COVID-19","campaign",2,0.337,0.3386
"COVID-19","campaign",4,0.3386,0.3403
"COVID-19","campaign",11,0.3403,0.3419
"COVID-19","campaign",6,0.3419,0.3435
"COVID-19","campaign",7,0.3435,0.3451
"COVID-19","campaign",5,0.3451,0.3468
"COVID-19","campaign",4,0.3468,0.3484
"COVID-19","campaign",5,0.3484,0.35
"COVID-19","campaign",6,0.35,0.3516
"COVID-19","campaign",3,0.3516,0.3533
"COVID-19","campaign",3,0.3533,0.3549
"COVID-19","campaign",1,0.3549,0.3565
"COVID-19","campaign",4,0.3565,0.3581
"COVID-19","campaign",1,0.3581,0.3598
"COVID-19","campaign",3,0.3598,0.3614
"COVID-19","campaign",3,0.3614,0.363
"COVID-19","campaign",1,0.363,0.3646
"COVID-19","campaign",4,0.3646,0.3663
"COVID-19","campaign",1,0.3679,0.3695
"COVID-19","campaign",2,0.3695,0.3711
"COVID-19","campaign",2,0.3711,0.3727
"COVID-19","campaign",1,0.3727,0.3744
"COVID-19","campaign",3,0.3744,0.376
"COVID-19","campaign",1,0.3776,0.3792
"COVID-19","campaign",1,0.3792,0.3809
"COVID-19","campaign",3,0.3809,0.3825
"COVID-19","campaign",1,0.3841,0.3857
"COVID-19","campaign",2,0.3874,0.389
"COVID-19","campaign",1,0.3906,0.3922
"COVID-19","campaign",2,0.3939,0.3955
"COVID-19","campaign",1,0.3955,0.3971
"COVID-19","campaign",1,0.3971,0.3987
"COVID-19","campaign",1,0.3987,0.4004
"COVID-19","campaign",1,0.4036,0.4052
"COVID-19","campaign",1,0.4068,0.4085
"COVID-19","campaign",2,0.4085,0.4101
"COVID-19","campaign",3,0.4117,0.4133
"COVID-19","campaign",1,0.4133,0.415
"COVID-19","campaign",1,0.415,0.4166
"COVID-19","campaign",1,0.4166,0.4182
"COVID-19","campaign",2,0.4215,0.4231
"COVID-19","campaign",1,0.4231,0.4247
"COVID-19","campaign",1,0.4263,0.428
"COVID-19","campaign",2,0.428,0.4296
"COVID-19","campaign",1,0.4296,0.4312
"COVID-19","campaign",1,0.4312,0.4328
"COVID-19","campaign",2,0.4328,0.4345
"COVID-19","campaign",1,0.4458,0.4474
"COVID-19","campaign",1,0.4474,0.4491
"COVID-19","campaign",1,0.4523,0.4539
"COVID-19","campaign",1,0.4637,0.4656
"COVID-19","routine",1,0.3719,0.3765
"COVID-19","routine",1,0.4145,0.4182
"COVID-19","routine",1,0.4182,0.422
"COVID-19","routine",1,0.4296,0.4334
"COVID-19","routine",4,0.4372,0.441
"COVID-19","routine",3,0.4448,0.4486
"COVID-19","routine",1,0.4486,0.4524
"COVID-19","routine",2,0.4524,0.4562
"COVID-19","routine",4,0.46,0.4638
"COVID-19","routine",1,0.4676,0.4714
"COVID-19","routine",2,0.4714,0.4752
"COVID-19","routine",2,0.4752,0.479
"COVID-19","routine",2,0.479,0.4828
"COVID-19","routine",2,0.4828,0.4866
"COVID-19","routine",3,0.4866,0.4904
"COVID-19","routine",3,0.4904,0.4942
"COVID-19","routine",6,0.4942,0.498
"COVID-19","routine",7,0.498,0.5018
"COVID-19","routine",1,0.5018,0.5056
"COVID-19","routine",3,0.5056,0.5094
"COVID-19","routine",4,0.5094,0.5132
"COVID-19","routine",5,0.5132,0.517
"COVID-19","routine",5,0.517,0.5208
"COVID-19","routine",5,0.5208,0.5246
"COVID-19","routine",4,0.5246,0.5284
"COVID-19","routine",4,0.5284,0.5322
"COVID-19","routine",10,0.5322,0.536
"COVID-19","routine",8,0.536,0.5398
"COVID-19","routine",4,0.5398,0.5436
"COVID-19","routine",5,0.5436,0.5474
"COVID-19","routine",9,0.5474,0.5512
"COVID-19","routine",9,0.5512,0.555
"COVID-19","routine",11,0.555,0.5588
"COVID-19","routine",1,0.5588,0.5626
"COVID-19","routine",10,0.5626,0.5664
"COVID-19","routine",7,0.5664,0.5702
"COVID-19","routine",5,0.5702,0.574
"COVID-19","routine",10,0.574,0.5778
"COVID-19","routine",7,0.5778,0.5816
"COVID-19","routine",10,0.5816,0.5854
"COVID-19","routine",12,0.5854,0.5892
"COVID-19","routine",13,0.5892,0.593
"COVID-19","routine",17,0.593,0.5968
"COVID-19","routine",19,0.5968,0.6006
"COVID-19","routine",10,0.6006,0.6044
"COVID-19","routine",13,0.6044,0.6082
"COVID-19","routine",11,0.6082,0.612
"COVID-19","routine",13,0.612,0.6158
"COVID-19","routine",11,0.6158,0.6196
"COVID-19","routine",12,0.6196,0.6234
"COVID-19","routine",14,0.6234,0.6272
"COVID-19","routine",8,0.6272,0.631
"COVID-19","routine",22,0.631,0.6348
"COVID-19","routine",8,0.6348,0.6386
"COVID-19","routine",14,0.6386,0.6424
"COVID-19","routine",13,0.6424,0.6462
"COVID-19","routine",21,0.6462,0.65
"COVID-19","routine",15,0.65,0.6538
"COVID-19","routine",16,0.6538,0.6576
"COVID-19","routine",16,0.6576,0.6614
"COVID-19","routine",18,0.6614,0.6652
"COVID-19","routine",26,0.6652,0.669
"COVID-19","routine",16,0.669,0.6728
"COVID-19","routine",15,0.6728,0.6766
"COVID-19","routine",12,0.6766,0.6804
"COVID-19","routine",12,0.6804,0.6842
"COVID-19","routine",17,0.6842,0.688
"COVID-19","routine",17,0.688,0.6918
"COVID-19","routine",20,0.6918,0.6956
"COVID-19","routine",17,0.6956,0.6994
"COVID-19","routine",12,0.6994,0.7032
"COVID-19","routine",13,0.7032,0.707
"COVID-19","routine",12,0.707,0.7108
"COVID-19","routine",16,0.7108,0.7146
"COVID-19","routine",14,0.7146,0.7184
"COVID-19","routine",13,0.7184,0.7222
"COVID-19","routine",11,0.7222,0.726
"COVID-19","routine",15,0.726,0.7298
"COVID-19","routine",8,0.7298,0.7336
"COVID-19","routine",10,0.7336,0.7374
"COVID-19","routine",9,0.7374,0.7412
"COVID-19","routine",14,0.7412,0.745
"COVID-19","routine",13,0.745,0.7488
"COVID-19","routine",16,0.7488,0.7526
"COVID-19","routine",13,0.7526,0.7564
"COVID-19","routine",6,0.7564,0.7602
"COVID-19","routine",11,0.7602,0.764
"COVID-19","routine",5,0.764,0.7678
"COVID-19","routine",9,0.7678,0.7716
"COVID-19","routine",9,0.7716,0.7754
"COVID-19","routine",6,0.7754,0.7792
"COVID-19","routine",5,0.7792,0.783
"COVID-19","routine",5,0.783,0.7868
"COVID-19","routine",7,0.7868,0.7906
"COVID-19","routine",6,0.7906,0.7944
"COVID-19","routine",2,0.7944,0.7982
"COVID-19","routine",4,0.7982,0.802
"COVID-19","routine",3,0.802,0.8058
"COVID-19","routine",7,0.8058,0.8096
"COVID-19","routine",7,0.8096,0.8134
"COVID-19","routine",6,0.8134,0.8172
"COVID-19","routine",6,0.8172,0.821
"COVID-19","routine",5,0.821,0.8248
"COVID-19","routine",1,0.8248,0.8286
"COVID-19","routine",4,0.8286,0.8324
"COVID-19","routine",1,0.8324,0.8362
"COVID-19","routine",1,0.8362,0.84
"COVID-19","routine",2,0.84,0.8438
"COVID-19","routine",2,0.8438,0.8476
"COVID-19","routine",3,0.8476,0.8514
"COVID-19","routine",6,0.8514,0.8552
"COVID-19","routine",2,0.8552,0.859
"COVID-19","routine",5,0.859,0.8628
"COVID-19","routine",2,0.8628,0.8666
"COVID-19","routine",1,0.8704,0.8742
"COVID-19","routine",4,0.8742,0.878
"COVID-19","routine",2,0.878,0.8818
"COVID-19","routine",2,0.8856,0.8894
"COVID-19","routine",3,0.8894,0.8932
"COVID-19","routine",1,0.897,0.9008
"COVID-19","routine",1,0.9008,0.9046
"COVID-19","routine",2,0.9046,0.9084
"COVID-19","routine",1,0.9084,0.9122
"COVID-19","routine",1,0.916,0.9198
"COVID-19","routine",1,0.9198,0.9236
"COVID-19","routine",1,0.9236,0.9274
"COVID-19","routine",1,0.9312,0.935
"COVID-19","routine",1,0.9388,0.9426
"COVID-19","routine",1,0.9426,0.9464
"COVID-19","routine",2,0.954,0.9578
"COVID-19","routine",1,0.9692,0.973
"COVID-19","routine",1,0.9806,0.9844
"COVID-19","routine",1,0.9844,0.9882
"COVID-19","routine",1,0.9996,1.003
"COVID-19","routine",1,1.007,1.011
"COVID-19","routine",1,1.03,1.034
"COVID-19","routine",1,1.034,1.038
"COVID-19","routine",1,1.038,1.041
"COVID-19","routine",1,1.041,1.045
"COVID-19","routine",1,1.049,1.053
"COVID-19","routine",1,1.057,1.06
"COVID-19","routine",1,1.06,1.064
"COVID-19","routine",1,1.091,1.095
"COVID-19","routine",1,1.098,1.102
"COVID-19","routine",1,1.102,1.106
"COVID-19","routine",1,1.106,1.11
"COVID-19","routine",1,1.129,1.133
"Cholera","campaign",1,0.04672,0.05064
"Cholera","campaign",1,0.05064,0.05391
"Cholera","campaign",3,0.05718,0.06046
"Cholera","campaign",4,0.06046,0.06373
"Cholera","campaign",3,0.06373,0.067
"Cholera","campaign",9,0.067,0.07027
"Cholera","campaign",5,0.07027,0.07354
"Cholera","campaign",8,0.07354,0.07681
"Cholera","campaign",8,0.07681,0.08009
"Cholera","campaign",13,0.08009,0.08336
"Cholera","campaign",17,0.08336,0.08663
"Cholera","campaign",21,0.08663,0.0899
"Cholera","campaign",13,0.0899,0.09317
"Cholera","campaign",11,0.09317,0.09644
"Cholera","campaign",12,0.09644,0.09972
"Cholera","campaign",27,0.09972,0.103
"Cholera","campaign",30,0.103,0.1063
"Cholera","campaign",28,0.1063,0.1095
"Cholera","campaign",34,0.1095,0.1128
"Cholera","campaign",30,0.1128,0.1161
"Cholera","campaign",27,0.1161,0.1193
"Cholera","campaign",37,0.1193,0.1226
"Cholera","campaign",32,0.1226,0.1259
"Cholera","campaign",33,0.1259,0.1292
"Cholera","campaign",33,0.1292,0.1324
"Cholera","campaign",35,0.1324,0.1357
"Cholera","campaign",30,0.1357,0.139
"Cholera","campaign",30,0.139,0.1422
"Cholera","campaign",43,0.1422,0.1455
"Cholera","campaign",27,0.1455,0.1488
"Cholera","campaign",29,0.1488,0.1521
"Cholera","campaign",29,0.1521,0.1553
"Cholera","campaign",21,0.1553,0.1586
"Cholera","campaign",23,0.1586,0.1619
"Cholera","campaign",21,0.1619,0.1651
"Cholera","campaign",17,0.1651,0.1684
"Cholera","campaign",19,0.1684,0.1717
"Cholera","campaign",17,0.1717,0.175
"Cholera","campaign",15,0.175,0.1782
"Cholera","campaign",12,0.1782,0.1815
"Cholera","campaign",9,0.1815,0.1848
"Cholera","campaign",15,0.1848,0.188
"Cholera","campaign",13,0.188,0.1913
"Cholera","campaign",11,0.1913,0.1946
"Cholera","campaign",12,0.1946,0.1979
