"disease","activity_type","country","Counts","lower_bound","upper_bound"
"COVID-19","campaign","AFG",24,-1.777,-1.769
"COVID-19","campaign","AFG",35,-1.33,-1.321
"COVID-19","campaign","AFG",24,-1.124,-1.115
"COVID-19","campaign","AFG",19,-1.76,-1.752
"COVID-19","campaign","AFG",20,-1.812,-1.803
"COVID-19","campaign","AFG",20,-1.261,-1.253
"COVID-19","campaign","AFG",25,-1.253,-1.244
"COVID-19","campaign","AFG",23,-1.485,-1.476
"COVID-19","campaign","AFG",21,-1.442,-1.433
"COVID-19","campaign","AFG",41,-1.382,-1.373
"COVID-19","campaign","AFG",15,-1.364,-1.356
"COVID-19","campaign","AFG",22,-1.356,-1.347
"COVID-19","campaign","AFG",52,-1.287,-1.278
"COVID-19","campaign","AFG",45,-1.098,-1.089
"COVID-19","campaign","AFG",19,-1.072,-1.063
"COVID-19","campaign","AFG",23,-2.39,-2.38
"COVID-19","campaign","AFG",15,-1.932,-1.924
"COVID-19","campaign","AFG",14,-1.493,-1.485
"COVID-19","campaign","AFG",19,-1.924,-1.915
"COVID-19","campaign","AFG",50,-1.227,-1.218
"COVID-19","campaign","AFG",18,-1.21,-1.201
"COVID-19","campaign","AFG",26,-1.192,-1.184
"COVID-19","campaign","AFG",15,-1.175,-1.167
"COVID-19","campaign","AFG",14,-1.167,-1.158
"COVID-19","campaign","AFG",28,-1.046,-1.037
"COVID-19","campaign","AFG",14,-1.003,-0.9945
"COVID-19","campaign","AFG",18,-0.9945,-0.9859
"COVID-19","campaign","AFG",33,-0.9687,-0.9601
"COVID-19","campaign","AFG",19,-0.9515,-0.9429
"COVID-19","campaign","AFG",43,-0.9429,-0.9343
"COVID-19","campaign","AFG",18,-0.9171,-0.9085
"COVID-19","campaign","AFG",13,-0.8999,-0.8912
"COVID-19","campaign","AFG",30,-0.8826,-0.874
"COVID-19","campaign","AFG",22,-0.874,-0.8654
"COVID-19","campaign","AFG",20,-0.8224,-0.8138
"COVID-19","campaign","AFG",17,-0.788,-0.7794
"COVID-19","campaign","AFG",21,-0.6762,-0.6659
"COVID-19","campaign","AGO",23,-1.079,-1.074
"COVID-19","campaign","AGO",14,-1.024,-1.019
"COVID-19","campaign","AGO",18,-1.089,-1.084
"COVID-19","campaign","AGO",22,-1.009,-1.004
"COVID-19","campaign","AGO",17,-1.014,-1.009
"COVID-19","campaign","AGO",20,-1.244,-1.239
"COVID-19","campaign","AGO",19,-1.054,-1.049
"COVID-19","campaign","AGO",30,-1.274,-1.269
"COVID-19","campaign","AGO",20,-1.234,-1.229
"COVID-19","campaign","AGO",15,-1.114,-1.109
