"disease","country","Counts","lower_bound","upper_bound"
"COVID-19","AFG",1,0.0276,0.02919
"COVID-19","AFG",1,0.02919,0.03051
"COVID-19","AFG",1,0.03448,0.03581
"COVID-19","AFG",1,0.03978,0.0411
"COVID-19","AFG",1,0.0464,0.04772
"COVID-19","AFG",1,0.04772,0.04905
"COVID-19","AFG",3,0.04905,0.05037
"COVID-19","AFG",5,0.05037,0.05169
"COVID-19","AFG",2,0.05169,0.05302
"COVID-19","AFG",1,0.05302,0.05434
"COVID-19","AFG",3,0.05434,0.05567
"COVID-19","AFG",3,0.05567,0.05699
"COVID-19","AFG",4,0.05831,0.05964
"COVID-19","AFG",3,0.05964,0.06096
"COVID-19","AFG",5,0.06096,0.06229
"COVID-19","AFG",2,0.06229,0.06361
"COVID-19","AFG",2,0.06361,0.06493
"COVID-19","AFG",3,0.06493,0.06626
"COVID-19","AFG",1,0.06626,0.06758
"COVID-19","AFG",3,0.06758,0.0689
"COVID-19","AFG",4,0.0689,0.07023
"COVID-19","AFG",3,0.07023,0.07155
"COVID-19","AFG",4,0.07155,0.07288
"COVID-19","AFG",5,0.07288,0.0742
"COVID-19","AFG",3,0.0742,0.07552
"COVID-19","AFG",9,0.07552,0.07685
"COVID-19","AFG",6,0.07685,0.07817
"COVID-19","AFG",16,0.07817,0.0795
"COVID-19","AFG",11,0.0795,0.08082
"COVID-19","AFG",4,0.08082,0.08214
"COVID-19","AFG",13,0.08214,0.08347
"COVID-19","AFG",9,0.08347,0.08479
"COVID-19","AFG",8,0.08479,0.08611
"COVID-19","AFG",8,0.08611,0.08744
"COVID-19","AFG",9,0.08744,0.08876
"COVID-19","AFG",5,0.08876,0.09009
"COVID-19","AFG",12,0.09009,0.09141
"COVID-19","AFG",14,0.09141,0.09273
"COVID-19","AFG",8,0.09273,0.09406
"COVID-19","AFG",13,0.09406,0.09538
"COVID-19","AFG",13,0.09538,0.09671
"COVID-19","AFG",10,0.09671,0.09803
"COVID-19","AFG",8,0.09803,0.09935
"COVID-19","AFG",8,0.09935,0.1007
"COVID-19","AFG",7,0.1007,0.102
"COVID-19","AFG",14,0.102,0.1033
"COVID-19","AFG",14,0.1033,0.1046
"COVID-19","AFG",12,0.1046,0.106
"COVID-19","AFG",4,0.106,0.1073
"COVID-19","AFG",13,0.1073,0.1086
"COVID-19","AFG",20,0.1086,0.1099
"COVID-19","AFG",20,0.1099,0.1113
"COVID-19","AFG",19,0.1113,0.1126
"COVID-19","AFG",9,0.1126,0.1139
"COVID-19","AFG",12,0.1139,0.1152
