"disease","Counts","lower_bound","upper_bound"
"COVID-19",1,-0.9186,-0.9169
"COVID-19",1,-0.9155,-0.9141
"COVID-19",1,-0.9015,-0.9001
"COVID-19",1,-0.8833,-0.8819
"COVID-19",1,-0.8819,-0.8805
"COVID-19",1,-0.8805,-0.8791
"COVID-19",1,-0.8791,-0.8777
"COVID-19",1,-0.8777,-0.8763
"COVID-19",1,-0.8721,-0.8707
"COVID-19",1,-0.8665,-0.8651
"COVID-19",1,-0.8638,-0.8624
"COVID-19",2,-0.8624,-0.861
"COVID-19",1,-0.8596,-0.8582
"COVID-19",4,-0.8582,-0.8568
"COVID-19",2,-0.8568,-0.8554
"COVID-19",1,-0.8554,-0.854
"COVID-19",1,-0.854,-0.8526
"COVID-19",2,-0.8526,-0.8512
"COVID-19",3,-0.8498,-0.8484
"COVID-19",2,-0.8484,-0.847
"COVID-19",3,-0.8456,-0.8442
"COVID-19",1,-0.8442,-0.8428
"COVID-19",1,-0.8428,-0.8414
"COVID-19",5,-0.8414,-0.84
"COVID-19",1,-0.84,-0.8386
"COVID-19",1,-0.8386,-0.8372
"COVID-19",3,-0.8372,-0.8358
"COVID-19",1,-0.8358,-0.8344
"COVID-19",2,-0.8344,-0.833
"COVID-19",3,-0.833,-0.8316
"COVID-19",2,-0.8316,-0.8302
"COVID-19",2,-0.8302,-0.8288
"COVID-19",2,-0.8288,-0.8274
"COVID-19",2,-0.8274,-0.826
"COVID-19",4,-0.826,-0.8246
"COVID-19",5,-0.8246,-0.8232
"COVID-19",3,-0.8232,-0.8218
"COVID-19",3,-0.8218,-0.8204
"COVID-19",5,-0.8204,-0.819
"COVID-19",3,-0.819,-0.8176
"COVID-19",6,-0.8176,-0.8162
"COVID-19",1,-0.8162,-0.8148
"COVID-19",4,-0.8148,-0.8134
"COVID-19",4,-0.8134,-0.812
"COVID-19",8,-0.812,-0.8106
"COVID-19",4,-0.8106,-0.8092
"COVID-19",9,-0.8092,-0.8078
"COVID-19",7,-0.8078,-0.8064
"COVID-19",6,-0.8064,-0.805
"COVID-19",9,-0.805,-0.8036
"COVID-19",8,-0.8036,-0.8022
"COVID-19",6,-0.8022,-0.8008
"COVID-19",9,-0.8008,-0.7994
"COVID-19",9,-0.7994,-0.798
"COVID-19",8,-0.798,-0.7966
"COVID-19",11,-0.7966,-0.7952
"COVID-19",9,-0.7952,-0.7938
"COVID-19",12,-0.7938,-0.7924
"COVID-19",11,-0.7924,-0.791
"COVID-19",9,-0.791,-0.7896
"COVID-19",7,-0.7896,-0.7882
"COVID-19",10,-0.7882,-0.7868
"COVID-19",15,-0.7868,-0.7854
"COVID-19",9,-0.7854,-0.784
"COVID-19",8,-0.784,-0.7826
"COVID-19",13,-0.7826,-0.7812
"COVID-19",10,-0.7812,-0.7798
"COVID-19",13,-0.7798,-0.7784
"COVID-19",4,-0.7784,-0.777
"COVID-19",14,-0.777,-0.7756
"COVID-19",14,-0.7756,-0.7742
"COVID-19",17,-0.7742,-0.7728
"COVID-19",12,-0.7728,-0.7714
"COVID-19",5,-0.7714,-0.7701
"COVID-19",9,-0.7701,-0.7687
"COVID-19",12,-0.7687,-0.7673
"COVID-19",10,-0.7673,-0.7659
"COVID-19",12,-0.7659,-0.7645
"COVID-19",12,-0.7645,-0.7631
"COVID-19",15,-0.7631,-0.7617
"COVID-19",15,-0.7617,-0.7603
"COVID-19",14,-0.7603,-0.7589
"COVID-19",12,-0.7589,-0.7575
"COVID-19",15,-0.7575,-0.7561
"COVID-19",7,-0.7561,-0.7547
"COVID-19",19,-0.7547,-0.7533
"COVID-19",15,-0.7533,-0.7519
"COVID-19",13,-0.7519,-0.7505
"COVID-19",17,-0.7505,-0.7491
"COVID-19",16,-0.7491,-0.7477
"COVID-19",12,-0.7477,-0.7463
"COVID-19",13,-0.7463,-0.7449
"COVID-19",15,-0.7449,-0.7435
"COVID-19",13,-0.7435,-0.7421
"COVID-19",9,-0.7421,-0.7407
"COVID-19",18,-0.7407,-0.7393
"COVID-19",14,-0.7393,-0.7379
"COVID-19",7,-0.7379,-0.7365
"COVID-19",16,-0.7365,-0.7351
"COVID-19",12,-0.7351,-0.7337
"COVID-19",17,-0.7337,-0.7323
"COVID-19",9,-0.7323,-0.7309
"COVID-19",13,-0.7309,-0.7295
"COVID-19",7,-0.7295,-0.7281
"COVID-19",8,-0.7281,-0.7267
"COVID-19",5,-0.7267,-0.7253
"COVID-19",7,-0.7253,-0.7239
"COVID-19",13,-0.7239,-0.7225
"COVID-19",8,-0.7225,-0.7211
"COVID-19",6,-0.7211,-0.7197
"COVID-19",7,-0.7197,-0.7183
"COVID-19",7,-0.7183,-0.7169
"COVID-19",9,-0.7169,-0.7155
"COVID-19",4,-0.7155,-0.7141
"COVID-19",14,-0.7141,-0.7127
"COVID-19",12,-0.7127,-0.7113
"COVID-19",10,-0.7113,-0.7099
"COVID-19",8,-0.7099,-0.7085
"COVID-19",5,-0.7085,-0.7071
"COVID-19",7,-0.7071,-0.7057
"COVID-19",8,-0.7057,-0.7043
"COVID-19",7,-0.7043,-0.7029
"COVID-19",5,-0.7029,-0.7015
"COVID-19",3,-0.7015,-0.7001
"COVID-19",6,-0.7001,-0.6987
"COVID-19",3,-0.6987,-0.6973
"COVID-19",3,-0.6973,-0.6959
"COVID-19",7,-0.6959,-0.6945
"COVID-19",4,-0.6945,-0.6931
"COVID-19",6,-0.6931,-0.6917
"COVID-19",5,-0.6917,-0.6903
"COVID-19",4,-0.6903,-0.6889
"COVID-19",1,-0.6889,-0.6875
"COVID-19",3,-0.6875,-0.6861
"COVID-19",2,-0.6861,-0.6847
"COVID-19",2,-0.6847,-0.6833
"COVID-19",4,-0.6819,-0.6805
"COVID-19",3,-0.6805,-0.6791
"COVID-19",3,-0.6791,-0.6777
"COVID-19",1,-0.6777,-0.6763
"COVID-19",2,-0.6763,-0.675
"COVID-19",1,-0.675,-0.6736
"COVID-19",3,-0.6736,-0.6722
"COVID-19",1,-0.6722,-0.6708
"COVID-19",1,-0.6708,-0.6694
"COVID-19",2,-0.6666,-0.6652
"COVID-19",1,-0.6652,-0.6638
"COVID-19",1,-0.6638,-0.6624
"COVID-19",1,-0.661,-0.6596
"COVID-19",2,-0.6596,-0.6582
"COVID-19",1,-0.6554,-0.654
"COVID-19",1,-0.6484,-0.647
"COVID-19",1,-0.6428,-0.6414
"COVID-19",1,-0.6414,-0.64
"COVID-19",1,-0.64,-0.6383
"Cholera",1,-1.872,-1.866
"Cholera",1,-1.84,-1.835
"Cholera",1,-1.749,-1.744
"Cholera",2,-1.744,-1.739
"Cholera",1,-1.739,-1.734
"Cholera",1,-1.724,-1.719
"Cholera",1,-1.689,-1.684
"Cholera",2,-1.674,-1.669
"Cholera",2,-1.663,-1.658
"Cholera",1,-1.643,-1.638
"Cholera",2,-1.633,-1.628
"Cholera",1,-1.628,-1.623
"Cholera",2,-1.623,-1.618
"Cholera",2,-1.618,-1.613
"Cholera",4,-1.613,-1.608
"Cholera",3,-1.603,-1.598
"Cholera",2,-1.598,-1.593
"Cholera",3,-1.588,-1.583
"Cholera",2,-1.583,-1.578
"Cholera",1,-1.578,-1.573
"Cholera",1,-1.573,-1.567
"Cholera",1,-1.567,-1.562
"Cholera",1,-1.562,-1.557
"Cholera",2,-1.557,-1.552
"Cholera",1,-1.547,-1.542
"Cholera",3,-1.542,-1.537
"Cholera",4,-1.537,-1.532
"Cholera",5,-1.532,-1.527
"Cholera",4,-1.527,-1.522
"Cholera",3,-1.522,-1.517
"Cholera",1,-1.517,-1.512
"Cholera",4,-1.512,-1.507
"Cholera",4,-1.507,-1.502
"Cholera",2,-1.502,-1.497
"Cholera",5,-1.497,-1.492
"Cholera",2,-1.492,-1.487
"Cholera",1,-1.487,-1.482
"Cholera",5,-1.482,-1.477
"Cholera",4,-1.477,-1.471
"Cholera",3,-1.471,-1.466
"Cholera",4,-1.466,-1.461
"Cholera",9,-1.461,-1.456
"Cholera",4,-1.456,-1.451
"Cholera",6,-1.451,-1.446
"Cholera",4,-1.446,-1.441
