"disease","subregion","Counts","lower_bound","upper_bound"
"COVID-19","Middle Africa",1,-1.85,-1.843
"COVID-19","Middle Africa",1,-1.779,-1.774
"COVID-19","Middle Africa",1,-1.757,-1.752
"COVID-19","Middle Africa",1,-1.736,-1.731
"COVID-19","Middle Africa",1,-1.731,-1.725
"COVID-19","Middle Africa",1,-1.725,-1.72
"COVID-19","Middle Africa",2,-1.715,-1.709
"COVID-19","Middle Africa",1,-1.709,-1.704
"COVID-19","Middle Africa",2,-1.693,-1.688
"COVID-19","Middle Africa",1,-1.682,-1.677
"COVID-19","Middle Africa",1,-1.677,-1.672
"COVID-19","Middle Africa",1,-1.645,-1.639
"COVID-19","Middle Africa",4,-1.629,-1.623
"COVID-19","Middle Africa",1,-1.613,-1.607
"COVID-19","Middle Africa",1,-1.591,-1.586
"COVID-19","Middle Africa",2,-1.586,-1.58
"COVID-19","Middle Africa",3,-1.58,-1.575
"COVID-19","Middle Africa",2,-1.575,-1.57
"COVID-19","Middle Africa",2,-1.57,-1.564
"COVID-19","Middle Africa",4,-1.564,-1.559
"COVID-19","Middle Africa",2,-1.559,-1.553
"COVID-19","Middle Africa",2,-1.553,-1.548
"COVID-19","Middle Africa",2,-1.543,-1.537
"COVID-19","Middle Africa",1,-1.527,-1.521
"COVID-19","Middle Africa",2,-1.521,-1.516
"COVID-19","Middle Africa",1,-1.516,-1.511
"COVID-19","Middle Africa",2,-1.511,-1.505
"COVID-19","Middle Africa",2,-1.5,-1.494
"COVID-19","Middle Africa",2,-1.494,-1.489
"COVID-19","Middle Africa",3,-1.484,-1.478
"COVID-19","Middle Africa",1,-1.473,-1.468
"COVID-19","Middle Africa",2,-1.468,-1.462
"COVID-19","Middle Africa",4,-1.457,-1.451
"COVID-19","Middle Africa",4,-1.451,-1.446
"COVID-19","Middle Africa",5,-1.446,-1.441
"COVID-19","Middle Africa",5,-1.441,-1.435
"COVID-19","Middle Africa",2,-1.435,-1.43
