"disease","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign",0.183492,0.123322,0.276412,0.175429
"COVID-19","routine",0.278401,0.002582,0.558957,0.276538
"Cholera","campaign",0.131009,0.062217,0.287612,0.12001
"HPV","campaign",9.480472,8.329939,10.616557,9.503178
"HPV","routine",12.655417,10.861147,14.691117,12.635152
"HepB","routine",4.966107,3.751389,6.785347,4.719016
"Hib","routine",2.227412,1.679428,3.012621,2.177302
"JE","campaign",0.0571,0.00219,0.174553,0.046408
"JE","routine",0.223727,0.11279,0.379012,0.213243
"Malaria","routine",2.790462,2.215924,3.432941,2.775196
"Measles","campaign",1.294831,1.085682,1.497775,1.297334
"Measles","routine",10.918713,8.876119,13.012833,10.887029
"MenA","campaign",0.571902,0.501499,0.644829,0.57168
"MenA","routine",0.523246,0.366295,0.687736,0.519225
"MenACWYX","campaign",0.853643,0.627704,1.10204,0.849442
"MenACWYX","routine",0.627644,0.492956,0.763261,0.626798
"PCV","routine",1.515734,0.716813,2.43192,1.494121
"Rota","routine",0.790027,0.213127,1.42313,0.787513
"Rubella","campaign",0.137594,0.049829,0.26965,0.129772
"Rubella","routine",0.301312,0.214939,0.430279,0.293893
"Typhoid","campaign",0.569914,0.315986,1.206198,0.519913
"Typhoid","routine",1.091887,0.39748,3.449569,0.848224
"YF","campaign",0.383414,0.198066,0.692856,0.368271
"YF","routine",6.465091,2.520411,13.410697,5.842447
