"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","AFG",0.064345,-0.031256,0.165935,0.060115
"COVID-19","campaign","AGO",0.115699,0.026945,0.244977,0.111167
"COVID-19","campaign","ALB",0.914333,0.484778,1.525608,0.848214
"COVID-19","campaign","ARM",0.15878,-0.011388,0.39176,0.162474
"COVID-19","campaign","AZE",0.576775,0.264773,1.190076,0.506117
"COVID-19","campaign","BDI",3.193819,-22.635256,27.774971,4.270486
"COVID-19","campaign","BEN",0.024767,-0.049984,0.099844,0.020267
"COVID-19","campaign","BFA",0.041622,-0.055496,0.152211,0.035814
"COVID-19","campaign","BGD",0.136188,0.057209,0.249235,0.128523
"COVID-19","campaign","BIH",2.066768,1.192559,2.919346,1.996265
"COVID-19","campaign","BLR",0.885096,0.472827,1.377584,0.889771
"COVID-19","campaign","BLZ",0.223791,0.081374,0.414807,0.222289
"COVID-19","campaign","BOL",0.181323,0.05597,0.390911,0.168183
"COVID-19","campaign","BTN",0.496526,0.224997,0.878717,0.460631
"COVID-19","campaign","CAF",0.046127,-0.043896,0.110386,0.045617
"COVID-19","campaign","CHN",0,0,0,0
"COVID-19","campaign","CIV",0.054515,-0.015921,0.137686,0.050596
"COVID-19","campaign","CMR",0.035396,-0.071871,0.134894,0.035213
"COVID-19","campaign","COD",-0.064103,-0.33514,0.143424,-0.06245
"COVID-19","campaign","COG",0.056384,-0.015859,0.168506,0.044935
"COVID-19","campaign","COL",0.43095,0.086941,0.859957,0.351991
"COVID-19","campaign","COM",0.111147,0.040254,0.203505,0.102871
"COVID-19","campaign","CPV",0.119066,-0.05548,0.34675,0.120669
"COVID-19","campaign","CUB",0.982017,0.333357,1.964743,0.935527
"COVID-19","campaign","DJI",0.034043,0.00525,0.095811,0.023625
"COVID-19","campaign","DMA",0,0,0,0
"COVID-19","campaign","DZA",0.077294,-0.051015,0.225731,0.078349
"COVID-19","campaign","ECU",0.460539,0.063169,1.110549,0.364393
"COVID-19","campaign","EGY",0.126309,0.027804,0.234774,0.122637
"COVID-19","campaign","ERI",NA,NA,NA,NA
"COVID-19","campaign","ETH",0.038772,-0.046726,0.144986,0.04507
"COVID-19","campaign","FJI",0.198342,0.107008,0.395048,0.178835
"COVID-19","campaign","FSM",0,0,0,0
"COVID-19","campaign","GEO",0.51105,0.281733,0.751649,0.479949
"COVID-19","campaign","GHA",0.058318,-0.030129,0.175606,0.052945
"COVID-19","campaign","GIN",0.09603,0.00705,0.215837,0.090565
"COVID-19","campaign","GMB",0.06926,-0.07586,0.213846,0.058203
"COVID-19","campaign","GNB",0.085713,-0.037933,0.193536,0.085156
"COVID-19","campaign","GRD",0.079477,0,0.220085,0.044017
"COVID-19","campaign","GTM",0.457488,0.207839,0.726315,0.466362
"COVID-19","campaign","GUY",0.23224,0.081214,0.563545,0.217891
"COVID-19","campaign","HND",0.081497,0.00906,0.155936,0.087143
"COVID-19","campaign","HTI",0.038519,-0.187994,0.28761,0.040357
"COVID-19","campaign","IDN",0.22862,0.08883,0.403171,0.192751
"COVID-19","campaign","IND",0.469108,0.112324,1.024628,0.415232
"COVID-19","campaign","IRN",0.08554,-0.00184,0.183211,0.091625
