"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","AFG",0.117127,0.044678,0.192787,0.117261
"COVID-19","AGO",0.103769,0.038021,0.172576,0.101133
"COVID-19","ALB",0.853204,0.534879,1.280111,0.823775
"COVID-19","ARM",0.172223,0.022856,0.309794,0.175707
"COVID-19","AZE",0.592207,0.348872,0.965145,0.5716
"COVID-19","BDI",0.144123,-1.172748,1.277754,0.157788
"COVID-19","BEN",0.04875,-0.004773,0.107469,0.047231
"COVID-19","BFA",0.084369,0.007338,0.168904,0.084213
"COVID-19","BGD",0.156321,0.09812,0.233619,0.152023
"COVID-19","BIH",1.84512,1.247744,2.512222,1.839561
"COVID-19","BLR",0.8731,0.544012,1.211412,0.870872
"COVID-19","BLZ",0.214565,0.106093,0.335377,0.211712
"COVID-19","BOL",0.193617,0.10193,0.315173,0.188991
"COVID-19","BTN",0.519579,0.304581,0.76455,0.513556
"COVID-19","CAF",0.070469,0.010063,0.136208,0.070702
"COVID-19","CHN",0,0,0,0
"COVID-19","CIV",0.064815,0.017464,0.154734,0.060727
"COVID-19","CMR",0.051551,-0.025486,0.120616,0.053198
"COVID-19","COD",0.068808,-0.135108,0.267114,0.067447
"COVID-19","COG",0.091138,0.022254,0.175598,0.0888
"COVID-19","COL",0.397928,0.143449,0.764956,0.377513
"COVID-19","COM",0.110111,0.060048,0.176301,0.106874
"COVID-19","CPV",0.154445,0.030992,0.293234,0.152684
"COVID-19","CUB",1.022366,0.563016,1.729814,0.991227
"COVID-19","DJI",0.032793,0.007601,0.072229,0.032306
"COVID-19","DMA",0,0,0,0
"COVID-19","DZA",0.138796,0.053516,0.243696,0.136835
"COVID-19","ECU",0.43903,0.175125,0.959025,0.393801
"COVID-19","EGY",0.150491,0.083836,0.218383,0.150144
"COVID-19","ERI",NA,NA,NA,NA
"COVID-19","ETH",0.041926,-0.04046,0.12697,0.043166
"COVID-19","FJI",0.191104,0.12071,0.307891,0.185735
"COVID-19","FSM",0,0,0,0
"COVID-19","GEO",0.514569,0.354764,0.711598,0.511462
"COVID-19","GHA",0.072186,0.008651,0.140119,0.072028
"COVID-19","GIN",0.096031,0.029298,0.184988,0.092012
"COVID-19","GMB",0.058069,-0.057545,0.165678,0.057057
"COVID-19","GNB",0.089103,-0.002284,0.182444,0.090999
"COVID-19","GRD",0.077931,0,0.203964,0.074926
"COVID-19","GTM",0.436294,0.259147,0.641379,0.432321
"COVID-19","GUY",0.223245,0.117479,0.394136,0.213168
"COVID-19","HND",0.082864,0.032376,0.135326,0.08184
"COVID-19","HTI",0.035808,-0.12363,0.183004,0.036466
"COVID-19","IDN",0.239401,0.135491,0.382741,0.235458
"COVID-19","IND",0.456755,0.22943,0.78061,0.434115
"COVID-19","IRN",0.0966,0.029572,0.16523,0.096563
"COVID-19","IRQ",0.59566,0.249595,1.091246,0.57235
"COVID-19","JAM",0.572849,0.255966,0.905688,0.570292
"COVID-19","JOR",0.553836,0.226883,1.009659,0.527392
"COVID-19","KEN",0.052348,-0.001474,0.118703,0.050398
"COVID-19","KGZ",0.088484,0.020767,0.159949,0.088183
"COVID-19","KHM",0.294897,0.163838,0.476429,0.288457
"COVID-19","KIR",0,0,0,0
"COVID-19","LAO",0.275424,0.151835,0.442716,0.269036
"COVID-19","LBR",0.011182,-0.023411,0.046289,0.011207
"COVID-19","LCA",0.217468,0.131929,0.339246,0.214856
"COVID-19","LKA",0.369839,0.214187,0.656163,0.337259
"COVID-19","LSO",0.050543,0.026922,0.08955,0.047802
"COVID-19","MAR",0.203315,0.097519,0.358438,0.195224
"COVID-19","MDA",0.143126,0.073008,0.234995,0.139331
"COVID-19","MDG",0.061993,-0.198367,0.336665,0.056583
"COVID-19","MDV",0.236389,0.086625,0.416194,0.231001
"COVID-19","MHL",0,0,0,0
"COVID-19","MKD",1.062397,0.548781,1.618462,1.072128
"COVID-19","MLI",0.064003,-0.020015,0.159877,0.063532
"COVID-19","MMR",0.172631,0.100754,0.264896,0.170102
"COVID-19","MNG",0.284604,0.129253,0.508099,0.269893
"COVID-19","MOZ",0.062491,0.005793,0.117264,0.06277
"COVID-19","MRT",0.089861,0.026659,0.165063,0.086491
"COVID-19","MWI",0.032212,-0.078992,0.136885,0.033282
"COVID-19","NAM",0.353035,0.020767,0.755119,0.339932
"COVID-19","NER",0.069059,-0.031585,0.158763,0.067886
"COVID-19","NGA",0.062917,0.02479,0.103245,0.062369
"COVID-19","NIC",0.090796,0.028265,0.160485,0.089442
"COVID-19","NPL",0.139573,0.075201,0.245778,0.131643
"COVID-19","PAK",0.134066,0.067268,0.226677,0.129682
"COVID-19","PER",0.801507,0.432815,1.316813,0.760006
"COVID-19","PHL",0.099351,0.055341,0.153789,0.098511
"COVID-19","PNG",0.015106,-0.13802,0.176438,0.012923
"COVID-19","PRK",NA,NA,NA,NA
"COVID-19","PRY",0.331948,0.136542,0.607073,0.312815
"COVID-19","PSE",0.108741,0.022679,0.191559,0.110272
"COVID-19","RWA",0.057992,0.011723,0.117128,0.055857
"COVID-19","SDN",0.098018,-0.008512,0.20332,0.098101
"COVID-19","SEN",0.096875,-0.02534,0.209141,0.097181
"COVID-19","SLB",0.066642,0.022338,0.112535,0.067067
"COVID-19","SLE",0.014704,-0.031081,0.059301,0.015585
"COVID-19","SLV",0.214656,0.127549,0.325997,0.211167
"COVID-19","SOM",0.062424,0.007893,0.121399,0.061467
"COVID-19","SRB",1.441221,1.006964,1.988668,1.405282
"COVID-19","SSD",0.05618,-0.081804,0.185912,0.057676
"COVID-19","STP",0.007824,0,0.041959,0
