"disease","country","Counts","lower_bound","upper_bound"
"HPV","STP",728,-4.346,23.3
"Typhoid","BDI",282,-0.1245,0.6306
"Typhoid","PNG",256,-0.1085,0.5691
"Typhoid","LBR",228,-0.0889,0.4469
"Typhoid","SLE",205,-0.08859,0.4445
"Typhoid","COD",149,-0.0736,0.3822
"Typhoid","CAF",131,-0.04567,0.3078
"PCV","GIN",114,-0.04303,0.3253
"Typhoid","ETH",169,-0.04159,0.2093
"Typhoid","TCD",106,-0.03789,0.2227
"Typhoid","BEN",103,-0.03482,0.2541
"Typhoid","AGO",155,-0.03327,0.1735
"Typhoid","MDG",129,-0.03284,0.2365
"Typhoid","BFA",118,-0.02986,0.1517
"Typhoid","TZA",148,-0.02932,0.147
"Cholera","HTI",338,-0.02827,0.1414
"Typhoid","MRT",117,-0.02787,0.1443
"Typhoid","CIV",132,-0.02631,0.141
"Typhoid","TGO",101,-0.02299,0.1192
"YF","SLE",68,-0.02291,0.2747
"Typhoid","COG",77,-0.02274,0.1159
"Rota","GIN",7,-0.02264,0.1709
"Typhoid","YEM",115,-0.02172,0.132
"Typhoid","SLB",43,-0.02091,0.1254
"Typhoid","MOZ",99,-0.01927,0.1045
"Typhoid","ERI",72,-0.01921,0.1392
"Typhoid","NGA",73,-0.0174,0.101
"Typhoid","CMR",103,-0.01726,0.1099
"Typhoid","UGA",117,-0.01625,0.1064
"Typhoid","NER",107,-0.01581,0.07937
"Typhoid","RWA",98,-0.01469,0.07431
"Typhoid","BOL",184,-0.0146,0.08785
"Typhoid","GHA",102,-0.01354,0.06808
"Typhoid","MWI",110,-0.01326,0.07554
"Typhoid","CPV",34,-0.01197,0.09224
"HepB","DZA",6,-0.01119,0.05608
"Typhoid","MLI",107,-0.009809,0.1035
"Typhoid","SEN",41,-0.009053,0.04589
"Cholera","YEM",32,-0.008967,0.04489
"Typhoid","AFG",107,-0.008276,0.04317
"Typhoid","ZAF",210,-0.008219,0.05173
"Typhoid","ZMB",52,-0.008184,0.04309
"Typhoid","SDN",119,-0.007863,0.04371
"Typhoid","ZWE",167,-0.00759,0.04325
"Typhoid","GMB",44,-0.007304,0.04503
"YF","KEN",113,-0.006924,0.1942
"Typhoid","NPL",174,-0.006511,0.03417
"Rota","IDN",1,-0.006285,0.03294
"Cholera","SOM",218,-0.006274,0.03143
"Typhoid","UZB",197,-0.005619,0.02871
"Rubella","NER",28,-0.00511,0.03038
"Typhoid","THA",263,-0.005083,0.02633
"Typhoid","PHL",97,-0.004811,0.0289
"Typhoid","LAO",48,-0.00469,0.0259
"Rota","BTN",10,-0.004674,0.03003
"PCV","MDG",2,-0.004422,0.04279
"Typhoid","KHM",91,-0.004176,0.03197
"Cholera","CMR",150,-0.004174,0.02099
"Typhoid","KEN",74,-0.004055,0.1673
"Rubella","LBR",28,-0.004026,0.02051
"Rubella","TCD",31,-0.003777,0.01904
"Rubella","NGA",22,-0.003768,0.0192
"Rubella","MLI",23,-0.003714,0.02144
"Rubella","MWI",43,-0.0037,0.0221
"Rota","MDG",5,-0.003572,0.02968
"Rubella","UGA",45,-0.003543,0.01801
"Rubella","CAF",49,-0.003457,0.01739
"Rubella","SSD",47,-0.003071,0.0162
"Typhoid","SWZ",23,-0.003006,0.03822
"Typhoid","PER",90,-0.002992,0.01703
"PCV","SYR",494,-0.002899,0.02487
"Typhoid","GTM",93,-0.002797,0.01888
"Typhoid","GNB",33,-0.002782,0.04883
"Rubella","GIN",56,-0.00272,0.01392
"Typhoid","HND",35,-0.002651,0.01497
"Rubella","GNB",21,-0.002539,0.01616
"Rubella","SLB",19,-0.00246,0.0125
"Typhoid","MMR",51,-0.002444,0.0131
"Rubella","SWZ",37,-0.002224,0.01495
"Rubella","VUT",15,-0.002138,0.01078
"Rubella","GMB",67,-0.002115,0.0127
"Typhoid","MNG",68,-0.002076,0.02121
"Typhoid","ALB",270,-0.002024,0.01022
"HepB","NIC",33,-0.002018,0.01286
"Rubella","KIR",12,-0.001901,0.009667
"Rubella","RWA",10,-0.001899,0.01549
"Typhoid","BGD",151,-0.001873,0.01019
"Rubella","ZMB",27,-0.001826,0.01661
"PCV","GMB",4,-0.001809,0.03174
"Hib","CHN",3,-0.001593,0.01952
"Rubella","WSM",33,-0.001525,0.008425
"Rota","CMR",9,-0.001509,0.03551
"Rubella","LCA",43,-0.001444,0.00729
"PCV","ZWE",22,-0.001422,0.0134
"Rubella","GRD",16,-0.001415,0.007151
"Rubella","COD",14,-0.001382,0.01652
"Rubella","ZWE",43,-0.001358,0.009279
"Rubella","MHL",14,-0.001346,0.006834
"Rubella","ARM",31,-0.001343,0.008785
"Rota","UZB",340,-0.001315,0.008684
"Rubella","MDG",5,-0.001312,0.007066
"Rubella","VCT",24,-0.001273,0.006476
"Rubella","TGO",32,-0.001272,0.02162
"Rota","IRN",1,-0.00118,0.01013
"Rubella","TON",12,-0.001169,0.005961
"Rubella","HND",81,-0.00115,0.008372
"Rubella","DJI",15,-0.001109,0.008526
"Rubella","BLZ",8,-0.001094,0.006408
"Rubella","ALB",49,-0.001092,0.006966
"Rubella","BDI",21,-0.001047,0.0104
"Rubella","CUB",15,-0.000998,0.005095
"Rubella","SLE",39,-0.0009947,0.01857
"Rubella","MKD",13,-0.0009857,0.005252
"Rubella","PRY",15,-0.000985,0.006257
"Rubella","DMA",23,-0.0009752,0.005025
"Rubella","MMR",8,-0.0009685,0.004913
"Typhoid","HTI",14,-0.0009556,0.01838
"Rubella","ERI",18,-0.0009401,0.01687
"Hib","NAM",4,-0.0009355,0.009922
"Rubella","AGO",36,-0.0009318,0.01186
"Rubella","PER",22,-0.0009156,0.005714
"Rubella","TUV",7,-0.0009089,0.007963
"Rubella","COG",16,-0.000903,0.01636
"Rota","ZWE",11,-0.0008993,0.005623
"Rubella","FSM",10,-0.0008847,0.004504
"Rubella","NIC",36,-0.0008252,0.006903
"PCV","COG",3,-0.0008054,0.03841
"Rubella","CPV",19,-0.0007962,0.01269
"Rubella","XK",16,-0.0007623,0.005235
"PCV","COD",6,-0.0007462,0.08595
"Cholera","NGA",153,-0.0006903,0.003659
"Rubella","BFA",13,-0.0006836,0.003799
"Rubella","TZA",10,-0.0006763,0.01275
"Rubella","COM",50,-0.0006715,0.01395
"Typhoid","MAR",54,-0.0006521,0.004301
"Rubella","GTM",34,-0.0006067,0.008452
"Rubella","MNG",21,-0.0006022,0.007398
"Typhoid","LKA",34,-0.0005739,0.006168
"JE","LKA",24,-0.00056,0.003667
"Rota","TGO",16,-0.0005019,0.02997
"Rota","BLR",160,-0.0004913,0.00321
"YF","ETH",38,-0.0004257,0.009235
"Rubella","JAM",6,-0.0003859,0.004755
"Rubella","BEN",5,-0.0003536,0.009301
"PCV","PHL",11,-0.000333,0.02412
"JE","LAO",16,-0.000318,0.005089
"Typhoid","IND",15,-0.0003169,0.005079
"Rubella","MRT",48,-0.0003083,0.01812
"Typhoid","GUY",68,-0.0002916,0.03926
"Typhoid","VEN",41,-0.0002727,0.003321
"Rota","DZA",11,-0.0002693,0.0255
"Cholera","MWI",158,-0.0002428,0.00131
"Typhoid","IDN",34,-0.0002368,0.002506
"PCV","MDA",5,-0.0002148,0.005197
"Typhoid","PAK",24,-0.0002117,0.001593
"Rubella","SEN",15,-0.0002093,0.003452
"Cholera","MOZ",171,-0.0002087,0.001104
"Rubella","HTI",18,-0.0002084,0.00161
"Rubella","GUY",6,-0.0001453,0.006624
"Rubella","CHN",26,-0.0001387,0.0007539
"Rubella","PNG",15,-9.706e-05,0.009968
"Cholera","AFG",32,-8.638e-05,0.0005195
"Rubella","NPL",10,-5.864e-05,0.001491
"Hib","SRB",2,-3.423e-05,0.007714
"COVID-19","MDG",44,-3.128e-05,0.001463
"Typhoid","PRY",28,-2.37e-05,0.009195
"Rubella","MAR",1,3.624e-05,0.004437
"COVID-19","SLE",32,3.83e-05,0.0003005
"JE","PNG",1,4.223e-05,0.001638
"Rubella","SOM",33,5.776e-05,0.008418
"Rota","BLZ",2,6.291e-05,0.004019
"Typhoid","AZE",39,8.508e-05,0.001939
"Rota","SRB",222,0.000105,0.002711
"Rubella","AFG",23,0.0001055,0.01344
"Typhoid","ARM",42,0.0001139,0.0009523
"Rubella","YEM",3,0.0001175,0.00228
"Typhoid","GEO",5,0.0001356,0.0001754
"Rubella","PHL",15,0.0001398,0.007916
"Typhoid","NAM",41,0.0001527,0.03695
"Rubella","TLS",18,0.0001557,0.007723
"Typhoid","GEO",5,0.0001754,0.0002085
"Rubella","ETH",13,0.0001888,0.01645
"Rubella","MDA",21,0.0001892,0.007293
"COVID-19","CMR",21,0.0002073,0.0007322
"Typhoid","GEO",3,0.0002085,0.0002417
"COVID-19","AGO",18,0.0002297,0.0006669
"Typhoid","GEO",9,0.0002417,0.0002749
"HepB","JAM",54,0.0002637,0.00439
"Rubella","MDV",26,0.0002711,0.005509
"Typhoid","GEO",1,0.0002749,0.000308
"COVID-19","SLE",21,0.0003005,0.0005191
"Typhoid","GEO",4,0.000308,0.0003412
"Typhoid","GEO",2,0.0003412,0.0003744
"COVID-19","BDI",15,0.0003434,0.0006867
"JE","THA",12,0.0003631,0.002244
"Typhoid","GEO",6,0.0003744,0.0004075
"Typhoid","GEO",10,0.0004075,0.0004407
"Rubella","CMR",22,0.0004129,0.007982
"Rubella","AZE",14,0.0004164,0.01425
"Typhoid","GEO",2,0.0004407,0.0004739
"Rubella","TUN",14,0.0004474,0.002022
"COVID-19","GHA",23,0.000474,0.001238
"COVID-19","HTI",22,0.0004765,0.0006672
"Typhoid","GEO",1,0.0005071,0.0005402
"Cholera","AFG",17,0.0005195,0.001024
"Typhoid","GEO",1,0.0005402,0.0005734
"Typhoid","GEO",5,0.0005734,0.0006066
"Rota","GHA",7,0.0005871,0.01448
"Typhoid","GEO",4,0.0006066,0.0006397
"COVID-19","LBR",26,0.0006291,0.0008683
"Typhoid","GEO",9,0.0006397,0.0006729
"Rubella","SLV",5,0.0006483,0.005499
"YF","ERI",52,0.0006685,0.07543
"Typhoid","GEO",4,0.0006729,0.0007061
"Rota","KGZ",2,0.0006808,0.01336
"Rubella","NAM",1,0.0006866,0.001934
"Rota","MWI",8,0.0007016,0.0111
"Typhoid","GEO",3,0.0007061,0.0007392
"Rota","MDA",3,0.0007125,0.002341
"Rubella","FJI",6,0.0007184,0.008073
"Rubella","BIH",20,0.0007198,0.00632
"Rubella","BLR",6,0.0007198,0.009148
"COVID-19","ARM",23,0.0007204,0.002471
"Rota","XK",18,0.0007226,0.0007473
"Rubella","ECU",26,0.0007275,0.007987
"Rubella","IRQ",24,0.000734,0.006816
"Typhoid","GEO",2,0.0007392,0.0007724
"Rota","XK",23,0.0007473,0.000768
"Rubella","KEN",9,0.0007523,0.01606
"Rubella","CHN",2,0.0007539,0.001498
"Rubella","GEO",4,0.0007585,0.007385
"Rota","XK",19,0.000768,0.0007886
"COVID-19","PSE",29,0.0007755,0.001921
"Rota","XK",43,0.0007886,0.0008092
"Typhoid","GEO",2,0.0008056,0.0008388
"Rota","XK",40,0.0008092,0.0008298
"Rota","XK",61,0.0008298,0.0008504
"Typhoid","GEO",4,0.0008388,0.0008719
"Rota","XK",60,0.0008504,0.0008711
"Rota","XK",35,0.0008711,0.0008917
"Typhoid","GEO",4,0.0008719,0.0009051
"Rota","XK",42,0.0008917,0.0009123
"Rota","XK",54,0.0009123,0.0009329
"PCV","LKA",16,0.0009238,0.01035
"Rota","XK",30,0.0009329,0.0009535
"Typhoid","GEO",2,0.0009383,0.0009714
