"disease","subregion","Counts","lower_bound","upper_bound"
"Typhoid","Oceania",212,-0.08386,0.5026
"Cholera","Latin America and the Caribbean",338,-0.02827,0.1414
"Typhoid","Northern Africa and Western Asia",75,-0.01958,0.1101
"Cholera","Northern Africa and Western Asia",32,-0.008967,0.04489
"Typhoid","Southern Africa",128,-0.006275,0.05229
"Cholera","Eastern Africa",119,-0.004418,0.02277
"Typhoid","Eastern and Southern Europe",270,-0.002024,0.01022
"Cholera","Western Africa",153,-0.0006903,0.003659
"Rubella","Southern Africa",2,-0.0002796,0.005228
"Cholera","Central and Southern Asia",32,-8.638e-05,0.0005195
"JE","Oceania",1,4.223e-05,0.001638
"Cholera","Central and Southern Asia",17,0.0005195,0.001024
"Cholera","Central and Southern Asia",11,0.002034,0.002539
"Rota","Eastern and Southern Europe",3,0.002589,0.005427
"JE","Oceania",1,0.002969,0.004299
"Cholera","Central and Southern Asia",2,0.003044,0.003549
"Cholera","Western Africa",70,0.003659,0.007283
"Cholera","Middle Africa",14,0.004275,0.01242
"JE","Oceania",2,0.004299,0.005629
"Rubella","Middle Africa",2,0.004328,0.02109
"YF","Northern Africa and Western Asia",79,0.004789,0.07733
"Cholera","Central and Southern Asia",2,0.005064,0.005569
"Rubella","Southern Africa",1,0.005228,0.009817
"Rota","Eastern and Southern Europe",9,0.005427,0.007792
"JE","Oceania",7,0.005629,0.006959
"Cholera","Western Africa",30,0.007283,0.01091
"Rota","Eastern and Southern Europe",65,0.007792,0.01016
"JE","Oceania",5,0.008289,0.009619
"Cholera","Central and Southern Asia",1,0.009103,0.009608
"COVID-19","Middle Africa",1,0.009279,0.009872
"Cholera","Central and Southern Asia",5,0.009608,0.01011
"JE","Oceania",5,0.009619,0.01095
"Rubella","Southern Africa",3,0.009817,0.01441
"Rota","Eastern and Southern Europe",95,0.01016,0.01252
"Typhoid","Eastern and Southern Europe",83,0.01022,0.02041
"COVID-19","Middle Africa",2,0.01037,0.01086
"Cholera","Western Africa",13,0.01091,0.01453
"COVID-19","Middle Africa",1,0.01135,0.01185
"Typhoid","Latin America and the Caribbean",4,0.01139,0.03245
"Cholera","Central and Southern Asia",1,0.01163,0.01213
"COVID-19","Middle Africa",1,0.01185,0.01234
"JE","Oceania",10,0.01228,0.01361
"Cholera","Middle Africa",44,0.01242,0.0192
"Rota","Eastern and Southern Europe",96,0.01252,0.01489
"Cholera","Central and Southern Asia",6,0.01264,0.01314
"Typhoid","Eastern and South-Eastern Asia",13,0.01349,0.02861
"JE","Oceania",18,0.01361,0.01494
"Typhoid","Central and Southern Asia",4,0.01362,0.01773
"COVID-19","Middle Africa",1,0.01432,0.01481
"Rubella","Southern Africa",9,0.01441,0.019
"Cholera","Western Africa",30,0.01453,0.01816
"Rota","Eastern and Southern Europe",53,0.01489,0.01725
"JE","Oceania",5,0.01494,0.01627
"COVID-19","Middle Africa",1,0.0158,0.0163
"JE","Oceania",19,0.01627,0.0176
"COVID-19","Middle Africa",2,0.0163,0.01679
"Cholera","Central and Southern Asia",3,0.01668,0.01718
"COVID-19","Middle Africa",1,0.01679,0.01728
"Rota","Eastern and Southern Europe",48,0.01725,0.01962
"COVID-19","Middle Africa",2,0.01728,0.01778
"JE","Oceania",17,0.0176,0.01893
"Typhoid","Central and Southern Asia",1,0.01773,0.02115
"COVID-19","Middle Africa",2,0.01778,0.01827
"COVID-19","Eastern Africa",1,0.01799,0.01836
"Cholera","Western Africa",10,0.01816,0.02178
"COVID-19","Middle Africa",3,0.01827,0.01877
"COVID-19","Western Africa",1,0.01843,0.01888
"COVID-19","Middle Africa",1,0.01877,0.01926
"Rubella","Southern Africa",6,0.019,0.02359
"Cholera","Middle Africa",27,0.0192,0.02599
"COVID-19","Middle Africa",4,0.01926,0.01976
"Rota","Eastern and Southern Europe",42,0.01962,0.02198
"Cholera","Central and Southern Asia",5,0.01971,0.02021
"COVID-19","Middle Africa",3,0.01976,0.02025
"COVID-19","Middle Africa",4,0.02025,0.02074
"JE","Oceania",18,0.02026,0.02159
"Typhoid","Eastern and Southern Europe",36,0.02041,0.03061
"COVID-19","Eastern Africa",2,0.02051,0.02081
"COVID-19","Western Africa",1,0.02072,0.02109
"COVID-19","Middle Africa",3,0.02074,0.02124
"Rubella","Middle Africa",4,0.02109,0.03506
"Typhoid","Central and Southern Asia",5,0.02115,0.02457
"COVID-19","Middle Africa",3,0.02124,0.02173
"JE","Oceania",5,0.02159,0.02292
"COVID-19","Middle Africa",2,0.02173,0.02223
"Cholera","Western Africa",25,0.02178,0.0254
"Rota","Southern Africa",2,0.02182,0.03385
"Rota","Eastern and Southern Europe",59,0.02198,0.02435
"COVID-19","Eastern Africa",1,0.02204,0.02235
"COVID-19","Western Africa",1,0.02219,0.02256
"COVID-19","Middle Africa",9,0.02223,0.02272
"COVID-19","Eastern Africa",1,0.02235,0.02265
"COVID-19","Eastern Africa",1,0.02265,0.02296
"COVID-19","Middle Africa",4,0.02272,0.02321
"Cholera","Eastern Africa",139,0.02277,0.04542
"JE","Oceania",5,0.02292,0.02425
"COVID-19","Western Africa",2,0.02293,0.0233
"COVID-19","Eastern Africa",2,0.02296,0.02327
"COVID-19","Middle Africa",8,0.02321,0.02371
"Cholera","Central and Southern Asia",4,0.02324,0.02375
"COVID-19","Eastern Africa",1,0.02327,0.02358
"COVID-19","Western Africa",1,0.0233,0.02367
"COVID-19","Oceania",1,0.02332,0.02447
"Rubella","Southern Africa",4,0.02359,0.02817
"COVID-19","Western Africa",2,0.02367,0.02404
"COVID-19","Middle Africa",10,0.02371,0.0242
"COVID-19","Western Africa",3,0.02404,0.0244
"COVID-19","Eastern Africa",1,0.02419,0.0245
"COVID-19","Middle Africa",4,0.0242,0.0247
"JE","Oceania",18,0.02425,0.02558
"Rota","Eastern and Southern Europe",42,0.02435,0.02671
"COVID-19","Western Africa",3,0.0244,0.02477
"COVID-19","Eastern Africa",1,0.0245,0.0248
"Typhoid","Central and Southern Asia",11,0.02457,0.02799
"COVID-19","Middle Africa",6,0.0247,0.02519
"COVID-19","Western Africa",1,0.02477,0.02514
"COVID-19","Middle Africa",3,0.02519,0.02568
"Cholera","Western Africa",15,0.0254,0.02903
"COVID-19","Eastern Africa",1,0.02542,0.02572
"COVID-19","Oceania",1,0.02543,0.02638
"COVID-19","Western Africa",1,0.02551,0.02588
"JE","Oceania",14,0.02558,0.02691
"COVID-19","Middle Africa",14,0.02568,0.02618
"COVID-19","Eastern Africa",1,0.02572,0.02603
"Cholera","Middle Africa",24,0.02599,0.03277
"COVID-19","Middle Africa",10,0.02618,0.02667
"COVID-19","Eastern Africa",3,0.02634,0.02664
"COVID-19","Oceania",1,0.02638,0.02734
"COVID-19","Western Africa",1,0.02662,0.02698
"COVID-19","Eastern Africa",2,0.02664,0.02695
"COVID-19","Middle Africa",9,0.02667,0.02717
"Rota","Eastern and Southern Europe",38,0.02671,0.02907
"JE","Oceania",7,0.02691,0.02824
"COVID-19","Eastern Africa",2,0.02695,0.02726
"COVID-19","Western Africa",3,0.02698,0.02735
"COVID-19","Middle Africa",11,0.02717,0.02766
"COVID-19","Eastern Africa",1,0.02726,0.02756
"COVID-19","Oceania",2,0.02734,0.02829
"COVID-19","Western Africa",1,0.02735,0.02772
"COVID-19","Eastern Africa",1,0.02756,0.02787
"COVID-19","Middle Africa",7,0.02766,0.02816
"COVID-19","Eastern Africa",2,0.02787,0.02818
"Typhoid","Central and Southern Asia",10,0.02799,0.03141
"COVID-19","Middle Africa",11,0.02816,0.02865
"Rubella","Southern Africa",7,0.02817,0.03276
"COVID-19","Eastern Africa",3,0.02818,0.02848
"JE","Oceania",12,0.02824,0.02957
"COVID-19","Oceania",3,0.02829,0.02925
"COVID-19","Western Africa",1,0.02846,0.02883
"COVID-19","Eastern Africa",5,0.02848,0.02879
"Typhoid","Eastern and South-Eastern Asia",30,0.02861,0.04121
"COVID-19","Middle Africa",10,0.02865,0.02914
"COVID-19","Eastern Africa",3,0.02879,0.0291
"Cholera","Western Africa",11,0.02903,0.03265
"Rota","Eastern and Southern Europe",24,0.02907,0.03144
"COVID-19","Eastern Africa",4,0.0291,0.0294
"COVID-19","Middle Africa",13,0.02914,0.02964
"COVID-19","Western Africa",1,0.02919,0.02956
"COVID-19","Oceania",3,0.02925,0.03021
"COVID-19","Eastern Africa",3,0.0294,0.02971
"COVID-19","Western Africa",2,0.02956,0.02993
"JE","Oceania",14,0.02957,0.0309
"COVID-19","Middle Africa",13,0.02964,0.03013
"COVID-19","Eastern Africa",2,0.02971,0.03002
"COVID-19","Western Africa",1,0.02993,0.0303
"COVID-19","Eastern Africa",6,0.03002,0.03033
"COVID-19","Middle Africa",8,0.03013,0.03063
"COVID-19","Oceania",3,0.03021,0.03116
"COVID-19","Western Africa",3,0.0303,0.03067
"COVID-19","Eastern Africa",2,0.03033,0.03063
"Typhoid","Eastern and Southern Europe",36,0.03061,0.04081
"COVID-19","Middle Africa",12,0.03063,0.03112
"COVID-19","Eastern Africa",3,0.03063,0.03094
"COVID-19","Western Africa",3,0.03067,0.03104
"JE","Oceania",7,0.0309,0.03223
"COVID-19","Eastern Africa",4,0.03094,0.03125
"COVID-19","Western Africa",7,0.03104,0.03141
"COVID-19","Middle Africa",13,0.03112,0.03161
"COVID-19","Oceania",4,0.03116,0.03212
"COVID-19","Eastern Africa",8,0.03125,0.03155
"COVID-19","Western Africa",2,0.03141,0.03177
"Typhoid","Central and Southern Asia",8,0.03141,0.03483
"Rota","Eastern and Southern Europe",38,0.03144,0.0338
"COVID-19","Eastern Africa",3,0.03155,0.03186
"COVID-19","Middle Africa",8,0.03161,0.03211
"COVID-19","Western Africa",5,0.03177,0.03214
"COVID-19","Eastern Africa",12,0.03186,0.03217
"COVID-19","Middle Africa",15,0.03211,0.0326
"COVID-19","Oceania",3,0.03212,0.03308
"COVID-19","Western Africa",5,0.03214,0.03251
"COVID-19","Eastern Africa",9,0.03217,0.03247
"JE","Oceania",5,0.03223,0.03356
"Typhoid","Latin America and the Caribbean",14,0.03245,0.04999
"COVID-19","Eastern Africa",6,0.03247,0.03278
"COVID-19","Western Africa",7,0.03251,0.03288
"COVID-19","Middle Africa",20,0.0326,0.0331
"Cholera","Western Africa",6,0.03265,0.03628
"Rubella","Southern Africa",6,0.03276,0.03735
"Cholera","Middle Africa",31,0.03277,0.03956
"COVID-19","Eastern Africa",7,0.03278,0.03309
"Rubella","Eastern and South-Eastern Asia",1,0.03282,0.03606
"COVID-19","Western Africa",3,0.03288,0.03325
"COVID-19","Oceania",3,0.03308,0.03403
"COVID-19","Eastern Africa",8,0.03309,0.03339
"COVID-19","Middle Africa",26,0.0331,0.03359
"COVID-19","Western Africa",9,0.03325,0.03362
"COVID-19","Eastern Africa",7,0.03339,0.0337
"JE","Oceania",12,0.03356,0.03489
"COVID-19","Middle Africa",12,0.03359,0.03409
"COVID-19","Western Africa",4,0.03362,0.03399
"COVID-19","Eastern Africa",13,0.0337,0.03401
"Rota","Eastern and Southern Europe",39,0.0338,0.03617
"COVID-19","Western Africa",4,0.03399,0.03435
"COVID-19","Eastern Africa",11,0.03401,0.03431
"COVID-19","Oceania",7,0.03403,0.03499
"COVID-19","Middle Africa",13,0.03409,0.03458
"COVID-19","Eastern Africa",7,0.03431,0.03462
"COVID-19","Western Africa",7,0.03435,0.03472
"Rubella","Eastern and Southern Europe",2,0.03453,0.03869
"COVID-19","Middle Africa",15,0.03458,0.03507
"COVID-19","Eastern Africa",9,0.03462,0.03493
"COVID-19","Western Africa",8,0.03472,0.03509
"Typhoid","Central and Southern Asia",14,0.03483,0.03825
"JE","Oceania",9,0.03489,0.03622
"COVID-19","Eastern Africa",10,0.03493,0.03523
"COVID-19","Oceania",3,0.03499,0.03595
"Rubella","Middle Africa",8,0.03506,0.04902
"COVID-19","Middle Africa",16,0.03507,0.03557
"COVID-19","Western Africa",3,0.03509,0.03546
"COVID-19","Eastern Africa",10,0.03523,0.03554
"COVID-19","Western Africa",2,0.03546,0.03583
"COVID-19","Eastern Africa",10,0.03554,0.03585
"COVID-19","Middle Africa",15,0.03557,0.03606
"COVID-19","Western Africa",5,0.03583,0.0362
"COVID-19","Eastern Africa",16,0.03585,0.03615
"COVID-19","Oceania",7,0.03595,0.0369
"COVID-19","Middle Africa",11,0.03606,0.03656
"COVID-19","Eastern Africa",10,0.03615,0.03646
"Rota","Eastern and Southern Europe",20,0.03617,0.03853
"COVID-19","Western Africa",5,0.0362,0.03656
"JE","Oceania",14,0.03622,0.03755
"Cholera","Western Africa",18,0.03628,0.0399
"COVID-19","Eastern Africa",10,0.03646,0.03677
"COVID-19","Middle Africa",11,0.03656,0.03705
"COVID-19","Western Africa",6,0.03656,0.03693
"COVID-19","Eastern Africa",16,0.03677,0.03707
"COVID-19","Oceania",4,0.0369,0.03786
"COVID-19","Western Africa",6,0.03693,0.0373
"COVID-19","Middle Africa",16,0.03705,0.03754
"COVID-19","Eastern Africa",13,0.03707,0.03738
"COVID-19","Western Africa",17,0.0373,0.03767
"Rubella","Southern Africa",13,0.03735,0.04194
"COVID-19","Eastern Africa",13,0.03738,0.03769
"COVID-19","Middle Africa",10,0.03754,0.03804
"JE","Oceania",20,0.03755,0.03888
"COVID-19","Western Africa",6,0.03767,0.03804
"COVID-19","Eastern Africa",13,0.03769,0.038
"COVID-19","Southern Africa",10,0.03772,0.04445
"COVID-19","Oceania",5,0.03786,0.03881
"COVID-19","Eastern Africa",6,0.038,0.0383
"COVID-19","Middle Africa",17,0.03804,0.03853
"COVID-19","Western Africa",5,0.03804,0.03841
"Typhoid","Central and Southern Asia",12,0.03825,0.04167
"COVID-19","Eastern Africa",13,0.0383,0.03861
"COVID-19","Western Africa",6,0.03841,0.03878
"COVID-19","Middle Africa",17,0.03853,0.03903
"Rota","Eastern and Southern Europe",16,0.03853,0.0409
"COVID-19","Eastern Africa",12,0.03861,0.03892
"Rubella","Northern Africa and Western Asia",1,0.03869,0.04124
"COVID-19","Western Africa",8,0.03878,0.03914
"COVID-19","Oceania",8,0.03881,0.03977
"JE","Oceania",16,0.03888,0.04021
"COVID-19","Eastern Africa",7,0.03892,0.03922
"COVID-19","Middle Africa",21,0.03903,0.03952
"COVID-19","Western Africa",11,0.03914,0.03951
"COVID-19","Eastern Africa",11,0.03922,0.03953
"COVID-19","Western Africa",13,0.03951,0.03988
"COVID-19","Middle Africa",16,0.03952,0.04002
"COVID-19","Eastern Africa",14,0.03953,0.03984
"Cholera","Middle Africa",17,0.03956,0.04635
"COVID-19","Oceania",7,0.03977,0.04073
"COVID-19","Eastern Africa",8,0.03984,0.04014
"COVID-19","Western Africa",5,0.03988,0.04025
"Cholera","Western Africa",5,0.0399,0.04353
"COVID-19","Middle Africa",14,0.04002,0.04051
"COVID-19","Eastern Africa",14,0.04014,0.04045
"JE","Oceania",20,0.04021,0.04154
"COVID-19","Western Africa",8,0.04025,0.04062
"COVID-19","Eastern Africa",18,0.04045,0.04076
"COVID-19","Middle Africa",11,0.04051,0.041
"COVID-19","Western Africa",9,0.04062,0.04099
"COVID-19","Oceania",8,0.04073,0.04168
"COVID-19","Eastern Africa",7,0.04076,0.04106
"Typhoid","Eastern and Southern Europe",18,0.04081,0.05101
"Rota","Eastern and Southern Europe",17,0.0409,0.04326
"COVID-19","Western Africa",7,0.04099,0.04136
"COVID-19","Middle Africa",11,0.041,0.0415
"COVID-19","Eastern Africa",14,0.04106,0.04137
"Typhoid","Eastern and South-Eastern Asia",45,0.04121,0.05381
"COVID-19","Western Africa",11,0.04136,0.04172
"COVID-19","Eastern Africa",17,0.04137,0.04168
"Rubella","Eastern and South-Eastern Asia",4,0.04147,0.04417
"COVID-19","Middle Africa",14,0.0415,0.04199
"JE","Oceania",38,0.04154,0.04287
"Typhoid","Central and Southern Asia",14,0.04167,0.04509
"COVID-19","Eastern Africa",18,0.04168,0.04198
"COVID-19","Oceania",12,0.04168,0.04264
"COVID-19","Western Africa",9,0.04172,0.04209
"Rubella","Southern Africa",3,0.04194,0.04653
