"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","AFG",0.091163,0.030975,0.142294,0.092616
"COVID-19","AGO",0.038467,0.013744,0.073057,0.03789
"COVID-19","ALB",0.701226,0.370869,1.203738,0.663756
"COVID-19","ARM",0.114176,0.001012,0.269219,0.129549
"COVID-19","AZE",0.232185,0.119804,0.470034,0.205401
"COVID-19","BDI",0.005217,-0.045437,0.055552,0.00661
"COVID-19","BEN",0.0348,-0.013183,0.091104,0.032866
"COVID-19","BFA",0.061569,0.014261,0.132424,0.056986
"COVID-19","BGD",0.096345,0.059114,0.17727,0.087997
"COVID-19","BIH",1.754559,1.0939,2.545243,1.661906
"COVID-19","BLR",0.48757,0.266254,0.762339,0.489293
"COVID-19","BLZ",0.146486,0.053031,0.270331,0.148747
"COVID-19","BOL",0.125773,0.050166,0.263392,0.115662
"COVID-19","BTN",0.287085,0.133017,0.4765,0.276974
"COVID-19","CAF",0.058919,0.008592,0.11422,0.05711
"COVID-19","CHN",0,0,0,0
"COVID-19","CIV",0.048847,0.007912,0.101758,0.046426
"COVID-19","CMR",0.03114,-0.02309,0.080225,0.0338
"COVID-19","COD",0.042098,-0.123709,0.207902,0.031889
"COVID-19","COG",0.02755,0.005177,0.057903,0.025692
"COVID-19","COL",0.300862,0.05363,0.598743,0.244615
"COVID-19","COM",0.082241,0.029736,0.15033,0.075991
"COVID-19","CPV",0.096092,-0.00963,0.226732,0.091043
"COVID-19","CUB",0.413556,0.164404,0.781297,0.400813
"COVID-19","DJI",0.0127,0.001898,0.034633,0.00854
"COVID-19","DMA",0,0,0,0
"COVID-19","DZA",0.045973,0.004023,0.101124,0.046198
"COVID-19","ECU",0.313639,0.069631,0.749114,0.261782
"COVID-19","EGY",0.060821,0.026944,0.095656,0.060427
"COVID-19","ERI",NA,NA,NA,NA
"COVID-19","ETH",0.034116,-0.039987,0.130896,0.032722
"COVID-19","FJI",0.129031,0.071342,0.26338,0.118008
"COVID-19","FSM",0,0,0,0
"COVID-19","GEO",0.351143,0.208804,0.502702,0.331465
"COVID-19","GHA",0.0534,0.000601,0.119909,0.04728
"COVID-19","GIN",0.073179,0.013727,0.186667,0.071427
"COVID-19","GMB",0.046691,-0.063113,0.163814,0.048263
"COVID-19","GNB",0.068216,-0.034118,0.171725,0.063117
"COVID-19","GRD",0.031251,0,0.084207,0.016841
"COVID-19","GTM",0.303708,0.135938,0.476656,0.293826
"COVID-19","GUY",0.15236,0.053282,0.357686,0.14425
"COVID-19","HND",0.051205,0.011235,0.088918,0.050642
"COVID-19","HTI",0.005614,-0.021095,0.028847,0.00521
"COVID-19","IDN",0.150674,0.074877,0.253248,0.130888
"COVID-19","IND",0.378938,0.102753,0.798121,0.333352
"COVID-19","IRN",0.061596,0.009395,0.118401,0.06617
"COVID-19","IRQ",0.581954,0.14489,1.343787,0.524206
"COVID-19","JAM",0.56255,0.22178,1.035398,0.55255
"COVID-19","JOR",0.521528,0.149985,1.187858,0.48125
"COVID-19","KEN",0.037547,-0.012118,0.102452,0.034136
"COVID-19","KGZ",0.059896,0.010467,0.128665,0.061837
"COVID-19","KHM",0.174769,0.081251,0.341877,0.149584
"COVID-19","KIR",0,0,0,0
"COVID-19","LAO",0.18267,0.08105,0.384436,0.162023
"COVID-19","LBR",0.007888,-0.018827,0.040235,0.005543
"COVID-19","LCA",0.082633,0.046895,0.131893,0.084998
"COVID-19","LKA",0.230271,0.117592,0.507952,0.196258
"COVID-19","LSO",0.037862,0.020849,0.077877,0.03112
"COVID-19","MAR",0.087018,0.035072,0.204647,0.076091
"COVID-19","MDA",0.093324,0.024283,0.169777,0.085394
"COVID-19","MDG",0.036195,-0.128585,0.206085,0.047748
"COVID-19","MDV",0.15492,0.042445,0.400781,0.137131
"COVID-19","MHL",0,0,0,0
"COVID-19","MKD",0.933169,0.350836,1.76731,0.950394
"COVID-19","MLI",0.047451,-0.019546,0.123187,0.050614
"COVID-19","MMR",0.07022,0.034396,0.124745,0.064336
"COVID-19","MNG",0.171017,0.072908,0.373842,0.148228
"COVID-19","MOZ",0.049055,-0.013548,0.105596,0.048139
"COVID-19","MRT",0.034724,0.012405,0.083145,0.030928
"COVID-19","MWI",0.022798,-0.096905,0.115354,0.022083
"COVID-19","NAM",0.276689,-0.081486,0.666583,0.240451
"COVID-19","NER",0.053864,-0.031683,0.122511,0.056536
"COVID-19","NGA",0.049845,0.007703,0.093774,0.045529
