"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa",0.035746,-0.004794,0.076897,0.03519
"COVID-19","Northern Africa and Western Asia",0.086181,0.060317,0.115542,0.0859
"COVID-19","Eastern Africa",0.036263,0.013902,0.060869,0.035808
"COVID-19","Western Africa",0.049351,0.027668,0.073785,0.048611
"COVID-19","Southern Africa",0.408793,0.140499,1.013652,0.356045
"COVID-19","Central and Southern Asia",0.223161,0.093182,0.418387,0.203107
"COVID-19","Eastern and South-Eastern Asia",0.067712,0.045147,0.097874,0.066243
"COVID-19","Eastern and Southern Europe",0.358919,0.258924,0.507145,0.352244
"COVID-19","Latin America and the Caribbean",0.247624,0.172373,0.352182,0.243337
"COVID-19","Oceania",0.037983,-0.005826,0.091506,0.038513
"Cholera","Middle Africa",0.19392,0.014125,0.486997,0.224108
"Cholera","Northern Africa and Western Asia",0.429725,0,0.786755,0.655985
"Cholera","Eastern Africa",0.390377,0.003906,1.181461,0.510062
"Cholera","Western Africa",0.174169,0.000113,0.347887,0.270166
"Cholera","Central and Southern Asia",0.043065,0,0.099737,0.063126
"Cholera","Latin America and the Caribbean",0.46288,0,4.011603,0.141718
"HPV","Middle Africa",14.218532,8.954557,21.314065,13.914533
"HPV","Northern Africa and Western Asia",7.150591,3.631319,10.930186,7.139878
"HPV","Eastern Africa",22.195569,15.449019,28.853646,22.076787
"HPV","Western Africa",11.524889,8.869412,14.546454,11.424079
"HPV","Southern Africa",12.701831,7.242877,17.400518,15.309402
"HPV","Central and Southern Asia",9.412767,7.328091,11.037904,9.478551
"HPV","Eastern and South-Eastern Asia",8.20464,5.821424,11.319681,8.118697
"HPV","Eastern and Southern Europe",6.769415,4.149023,9.615636,6.76412
"HPV","Latin America and the Caribbean",12.860935,10.969342,14.948092,12.839528
"HPV","Oceania",11.705353,3.68607,34.826154,7.652706
"HepB","Middle Africa",5.889937,2.331421,9.243486,6.010745
