"disease","Counts","lower_bound","upper_bound"
"Cholera",1,0.3374,0.5193
"Cholera",6,0.6709,0.8224
"Cholera",5,0.8224,0.974
"Cholera",4,0.974,1.126
"Cholera",5,1.126,1.277
"Cholera",3,1.277,1.429
"Cholera",7,1.429,1.58
"Cholera",5,1.58,1.732
"Cholera",2,1.732,1.884
"Cholera",11,1.884,2.035
"Cholera",7,2.035,2.187
"Cholera",6,2.187,2.338
"Cholera",11,2.338,2.49
"Cholera",9,2.49,2.641
"Cholera",10,2.641,2.793
"Cholera",11,2.793,2.945
"Cholera",13,2.945,3.096
"Cholera",10,3.096,3.248
"Cholera",14,3.248,3.399
"Cholera",15,3.399,3.551
"COVID-19",2,3.504,3.536
"Cholera",16,3.551,3.703
"COVID-19",1,3.563,3.59
"Cholera",14,3.703,3.854
"COVID-19",4,3.753,3.78
"COVID-19",3,3.78,3.807
"COVID-19",4,3.807,3.834
"COVID-19",4,3.834,3.861
"Cholera",18,3.854,4.006
"COVID-19",2,3.861,3.888
"COVID-19",1,3.888,3.916
"COVID-19",3,3.916,3.943
"COVID-19",1,3.943,3.97
"COVID-19",2,3.97,3.997
"COVID-19",4,3.997,4.024
"Cholera",21,4.006,4.157
"COVID-19",1,4.024,4.051
"COVID-19",2,4.051,4.078
"COVID-19",6,4.078,4.105
"COVID-19",5,4.105,4.132
"Cholera",20,4.157,4.309
"COVID-19",4,4.159,4.187
"COVID-19",7,4.187,4.214
"COVID-19",4,4.214,4.241
"COVID-19",5,4.241,4.268
"COVID-19",4,4.268,4.295
"COVID-19",3,4.295,4.322
"Cholera",14,4.309,4.46
"COVID-19",4,4.322,4.349
"COVID-19",7,4.349,4.376
"COVID-19",9,4.376,4.403
"COVID-19",7,4.403,4.43
"COVID-19",3,4.43,4.458
"COVID-19",13,4.458,4.485
"Cholera",19,4.46,4.612
"COVID-19",4,4.485,4.512
"COVID-19",7,4.512,4.539
"COVID-19",9,4.539,4.566
"COVID-19",8,4.566,4.593
"COVID-19",6,4.593,4.62
"Cholera",23,4.612,4.764
"COVID-19",12,4.62,4.647
"COVID-19",10,4.647,4.674
"COVID-19",16,4.674,4.701
"COVID-19",10,4.701,4.729
