"disease","activity_type","Counts","lower_bound","upper_bound"
"JE","campaign",9,0.1504,0.288
"JE","campaign",21,0.288,0.4027
"JE","campaign",16,0.4027,0.5174
"JE","campaign",18,0.5174,0.6321
"JE","campaign",21,0.6321,0.7468
"JE","campaign",31,0.7468,0.8615
"JE","campaign",14,0.8615,0.9762
"JE","campaign",17,0.9762,1.091
"JE","campaign",17,1.091,1.206
"JE","campaign",17,1.206,1.32
"JE","campaign",20,1.32,1.435
"JE","campaign",15,1.435,1.55
"COVID-19","routine",1,1.528,1.535
"COVID-19","routine",1,1.54,1.545
"COVID-19","routine",1,1.545,1.55
"COVID-19","routine",1,1.55,1.555
"JE","campaign",15,1.55,1.664
"Cholera","campaign",2,1.568,1.625
"COVID-19","routine",1,1.571,1.576
"COVID-19","routine",3,1.586,1.592
"COVID-19","routine",1,1.592,1.597
"COVID-19","routine",1,1.607,1.612
"COVID-19","routine",4,1.617,1.623
"COVID-19","routine",1,1.623,1.628
"Cholera","campaign",1,1.625,1.673
"COVID-19","routine",2,1.628,1.633
"COVID-19","routine",1,1.633,1.638
"COVID-19","routine",1,1.643,1.649
"COVID-19","routine",3,1.649,1.654
"COVID-19","routine",4,1.654,1.659
"COVID-19","routine",1,1.659,1.664
"COVID-19","routine",1,1.664,1.669
"JE","campaign",18,1.664,1.779
"COVID-19","routine",3,1.669,1.674
"Cholera","campaign",1,1.673,1.721
"COVID-19","routine",4,1.674,1.68
"COVID-19","routine",1,1.68,1.685
"COVID-19","routine",8,1.685,1.69
"COVID-19","routine",3,1.69,1.695
"COVID-19","routine",4,1.695,1.7
"COVID-19","routine",4,1.7,1.706
"COVID-19","routine",8,1.706,1.711
"COVID-19","routine",6,1.711,1.716
"COVID-19","routine",3,1.716,1.721
"COVID-19","routine",4,1.721,1.726
"Cholera","campaign",2,1.721,1.769
"COVID-19","routine",3,1.726,1.731
"COVID-19","routine",6,1.731,1.737
"COVID-19","routine",7,1.737,1.742
"COVID-19","routine",6,1.742,1.747
"COVID-19","routine",5,1.747,1.752
"COVID-19","routine",5,1.752,1.757
"COVID-19","routine",4,1.757,1.762
"COVID-19","routine",9,1.762,1.768
"COVID-19","routine",4,1.768,1.773
"Cholera","campaign",4,1.769,1.817
"COVID-19","routine",5,1.773,1.778
"COVID-19","routine",7,1.778,1.783
"JE","campaign",17,1.779,1.894
"COVID-19","routine",13,1.783,1.788
"COVID-19","routine",8,1.788,1.794
"COVID-19","routine",9,1.794,1.799
"COVID-19","routine",14,1.799,1.804
"COVID-19","routine",15,1.804,1.809
"COVID-19","routine",8,1.809,1.814
"COVID-19","routine",8,1.814,1.819
"Cholera","campaign",3,1.817,1.865
"COVID-19","routine",14,1.819,1.825
"COVID-19","routine",14,1.825,1.83
"COVID-19","routine",14,1.83,1.835
"COVID-19","routine",8,1.835,1.84
"COVID-19","routine",12,1.84,1.845
"COVID-19","routine",11,1.845,1.851
"COVID-19","routine",10,1.851,1.856
"COVID-19","routine",11,1.856,1.861
"COVID-19","routine",11,1.861,1.866
"Cholera","campaign",5,1.865,1.913
"COVID-19","routine",11,1.866,1.871
"COVID-19","routine",17,1.871,1.876
"COVID-19","routine",9,1.876,1.882
"COVID-19","routine",18,1.882,1.887
"COVID-19","routine",13,1.887,1.892
"COVID-19","routine",14,1.892,1.897
"JE","campaign",16,1.894,2.008
"COVID-19","routine",13,1.897,1.902
"COVID-19","routine",21,1.902,1.907
"COVID-19","routine",12,1.907,1.913
"COVID-19","routine",10,1.913,1.918
"Cholera","campaign",2,1.913,1.961
"COVID-19","routine",7,1.918,1.923
"COVID-19","routine",11,1.923,1.928
"COVID-19","routine",7,1.928,1.933
"COVID-19","routine",11,1.933,1.939
"COVID-19","routine",13,1.939,1.944
"COVID-19","routine",15,1.944,1.949
"COVID-19","routine",22,1.949,1.954
"COVID-19","routine",16,1.954,1.959
"COVID-19","routine",13,1.959,1.964
"Cholera","campaign",6,1.961,2.009
"COVID-19","routine",7,1.964,1.97
"COVID-19","routine",14,1.97,1.975
"COVID-19","routine",11,1.975,1.98
"COVID-19","routine",11,1.98,1.985
"COVID-19","routine",10,1.985,1.99
"COVID-19","routine",7,1.99,1.996
"COVID-19","routine",15,1.996,2.001
"COVID-19","routine",12,2.001,2.006
"COVID-19","routine",14,2.006,2.011
"JE","campaign",19,2.008,2.123
"Cholera","campaign",3,2.009,2.057
"COVID-19","routine",6,2.011,2.016
"COVID-19","routine",17,2.016,2.021
"COVID-19","routine",8,2.021,2.027
"COVID-19","routine",13,2.027,2.032
"COVID-19","routine",7,2.032,2.037
"COVID-19","routine",10,2.037,2.042
"COVID-19","routine",17,2.042,2.047
"COVID-19","routine",7,2.047,2.052
"COVID-19","routine",11,2.052,2.058
"Cholera","campaign",2,2.057,2.105
"COVID-19","routine",9,2.058,2.063
"COVID-19","routine",6,2.063,2.068
"COVID-19","routine",4,2.068,2.073
"COVID-19","routine",4,2.073,2.078
"COVID-19","routine",9,2.078,2.084
"COVID-19","routine",5,2.084,2.089
"COVID-19","routine",7,2.089,2.094
"COVID-19","routine",5,2.094,2.099
"COVID-19","routine",5,2.099,2.104
"COVID-19","routine",5,2.104,2.109
"Cholera","campaign",6,2.105,2.153
"COVID-19","routine",9,2.109,2.115
"COVID-19","routine",6,2.115,2.12
"COVID-19","routine",9,2.12,2.125
"JE","campaign",20,2.123,2.238
"COVID-19","routine",6,2.125,2.13
"COVID-19","routine",5,2.13,2.135
"COVID-19","routine",4,2.135,2.141
"COVID-19","routine",1,2.141,2.146
"COVID-19","routine",3,2.146,2.151
"COVID-19","routine",1,2.151,2.156
"Cholera","campaign",4,2.153,2.201
"COVID-19","routine",1,2.156,2.161
"COVID-19","routine",7,2.161,2.166
"COVID-19","routine",7,2.166,2.172
"COVID-19","routine",6,2.172,2.177
"COVID-19","routine",2,2.177,2.182
"COVID-19","routine",5,2.182,2.187
"COVID-19","routine",3,2.187,2.192
"COVID-19","routine",3,2.192,2.197
"COVID-19","routine",2,2.197,2.203
"Cholera","campaign",5,2.201,2.249
"COVID-19","routine",4,2.203,2.208
"COVID-19","routine",2,2.208,2.213
"COVID-19","routine",1,2.213,2.218
"COVID-19","routine",3,2.218,2.223
"COVID-19","routine",6,2.223,2.229
"COVID-19","routine",6,2.229,2.234
"COVID-19","routine",4,2.234,2.239
"JE","campaign",10,2.238,2.352
"COVID-19","routine",4,2.239,2.244
"COVID-19","routine",4,2.244,2.249
"COVID-19","routine",3,2.249,2.254
"Cholera","campaign",3,2.249,2.297
"COVID-19","routine",2,2.254,2.26
"COVID-19","routine",1,2.26,2.265
"COVID-19","routine",2,2.265,2.27
"COVID-19","routine",2,2.27,2.275
"COVID-19","routine",2,2.275,2.28
"COVID-19","routine",3,2.28,2.285
"COVID-19","routine",1,2.285,2.291
"COVID-19","routine",3,2.291,2.296
"COVID-19","routine",5,2.296,2.301
"Cholera","campaign",12,2.297,2.344
"COVID-19","routine",2,2.301,2.306
"COVID-19","routine",2,2.306,2.311
"COVID-19","routine",5,2.311,2.317
"COVID-19","routine",1,2.322,2.327
"COVID-19","routine",2,2.327,2.332
"COVID-19","routine",1,2.332,2.337
"COVID-19","routine",2,2.337,2.342
"Cholera","campaign",10,2.344,2.392
"JE","campaign",15,2.352,2.467
"COVID-19","routine",1,2.353,2.358
"COVID-19","routine",2,2.358,2.363
"COVID-19","routine",1,2.363,2.368
"COVID-19","routine",1,2.368,2.374
"COVID-19","routine",1,2.379,2.384
"COVID-19","routine",2,2.389,2.394
"Cholera","campaign",11,2.392,2.44
"COVID-19","routine",1,2.394,2.399
"COVID-19","routine",1,2.405,2.41
"COVID-19","routine",2,2.41,2.415
"COVID-19","routine",1,2.425,2.43
"COVID-19","routine",1,2.43,2.436
"Cholera","campaign",6,2.44,2.488
"COVID-19","routine",2,2.441,2.446
"COVID-19","routine",1,2.446,2.451
"COVID-19","routine",1,2.456,2.462
"COVID-19","routine",1,2.467,2.472
"JE","campaign",18,2.467,2.582
"COVID-19","routine",1,2.477,2.482
"Cholera","campaign",16,2.488,2.536
"Cholera","campaign",7,2.536,2.584
"COVID-19","routine",1,2.56,2.566
"JE","campaign",16,2.582,2.697
"Cholera","campaign",10,2.584,2.632
"Cholera","campaign",7,2.632,2.68
"Cholera","campaign",16,2.68,2.728
"JE","campaign",20,2.697,2.811
"Cholera","campaign",12,2.728,2.776
"Cholera","campaign",15,2.776,2.824
"JE","campaign",15,2.811,2.926
"Cholera","campaign",12,2.824,2.872
"Cholera","campaign",12,2.872,2.92
"Cholera","campaign",14,2.92,2.968
