"disease","activity_type","country","Counts","lower_bound","upper_bound"
"HPV","campaign","SRB",501,-314.4,2724
"HPV","campaign","XK",482,-95.25,622.4
"HPV","campaign","STP",733,-76.54,388.4
"HPV","routine","STP",216,-69.71,386
"Rubella","campaign","VCT",127,-11.16,56.51
"Typhoid","routine","ETH",659,-7.613,38.83
"Typhoid","routine","BEN",300,-6.916,44.39
"Typhoid","routine","COD",176,-6.892,37.61
"Typhoid","campaign","BDI",427,-6.58,33.45
"Typhoid","routine","BDI",473,-5.98,32.48
"Typhoid","routine","SLE",351,-4.671,28.78
"Typhoid","campaign","SLE",308,-4.196,22.05
"Typhoid","routine","YEM",302,-4.029,23.28
"Typhoid","campaign","COD",207,-3.634,18.6
"Typhoid","routine","LBR",357,-3.591,26.99
"Typhoid","routine","COG",204,-3.373,17.89
"Typhoid","routine","MDG",408,-3.216,19.38
"Typhoid","campaign","PNG",292,-2.941,14.88
"Rubella","campaign","GUY",60,-2.746,14.02
"Typhoid","campaign","LBR",235,-2.599,17.57
"Typhoid","routine","BFA",266,-2.598,19.71
"Typhoid","routine","CAF",131,-2.551,14.47
"Typhoid","routine","TCD",75,-2.303,13.54
"Typhoid","routine","CIV",240,-2.128,11.97
"Typhoid","routine","MRT",310,-2.12,10.81
"Typhoid","routine","UGA",630,-2.107,13.4
"Typhoid","routine","TZA",461,-2.096,11.55
"Typhoid","routine","ERI",574,-2.059,13.18
"Typhoid","routine","RWA",615,-1.937,10.38
"Typhoid","campaign","TCD",142,-1.9,10.26
"Typhoid","routine","ZAF",593,-1.892,9.642
"Typhoid","routine","DJI",586,-1.843,9.287
"Typhoid","routine","CPV",342,-1.762,10.41
"Typhoid","routine","TGO",200,-1.733,8.891
"Typhoid","routine","SDN",533,-1.692,9.508
"Typhoid","campaign","TZA",334,-1.667,8.362
"Typhoid","campaign","AGO",201,-1.653,9.191
"Typhoid","routine","MWI",611,-1.646,9.36
"Typhoid","routine","MLI",208,-1.613,9.734
"Typhoid","routine","STP",120,-1.607,9.136
"Typhoid","campaign","MDG",194,-1.451,8.272
"Typhoid","routine","BOL",522,-1.441,7.292
"Typhoid","routine","KEN",311,-1.412,10.63
"YF","routine","SLE",81,-1.361,14.66
