"disease","activity_type","country","Counts","lower_bound","upper_bound"
"Measles","campaign","THA",2,-5.004,-4.965
"Measles","campaign","TON",1,-4.997,-4.963
"Rubella","routine","HTI",6,-4.994,-4.955
"Rubella","routine","GMB",2,-4.991,-4.948
"Rubella","routine","ALB",2,-4.987,-4.947
"Rubella","routine","COL",3,-4.979,-4.944
"Rubella","routine","ECU",1,-4.971,-4.932
"Measles","campaign","IRQ",3,-4.97,-4.929
"Rubella","routine","GTM",1,-4.97,-4.932
"Rubella","routine","AGO",1,-4.965,-4.923
"Measles","campaign","TON",3,-4.963,-4.934
"Rubella","routine","HND",1,-4.958,-4.92
"Rubella","routine","CAF",1,-4.939,-4.894
"Rubella","routine","PHL",1,-4.931,-4.89
"Measles","campaign","ZMB",2,-4.928,-4.887
"Rubella","routine","BOL",1,-4.925,-4.885
"Rubella","routine","AGO",4,-4.923,-4.887
"Rubella","routine","HTI",5,-4.923,-4.89
"Rubella","campaign","COD",2,-4.92,-4.878
"Rubella","routine","BFA",1,-4.919,-4.878
"Rubella","routine","IRQ",2,-4.918,-4.877
"Rubella","routine","COL",2,-4.914,-4.884
"Measles","campaign","TON",1,-4.905,-4.877
"Measles","campaign","LSO",2,-4.896,-4.858
"Rubella","routine","HND",2,-4.889,-4.858
"Rubella","routine","TON",2,-4.888,-4.847
"Rubella","routine","SLV",1,-4.886,-4.846
"Rubella","routine","BOL",6,-4.885,-4.851
"Rubella","routine","COG",10,-4.879,-4.838
"Rubella","routine","BFA",1,-4.878,-4.845
"Measles","campaign","TON",4,-4.877,-4.848
"Rubella","routine","IRQ",5,-4.877,-4.843
"Rubella","routine","AZE",2,-4.871,-4.83
"Measles","campaign","THA",4,-4.868,-4.835
"Rubella","routine","ECU",1,-4.866,-4.834
"Measles","campaign","IRQ",1,-4.86,-4.826
"Rubella","campaign","NPL",4,-4.859,-4.824
"Measles","campaign","LSO",5,-4.858,-4.826
"Rubella","routine","COL",1,-4.855,-4.825
"Rubella","routine","BOL",1,-4.851,-4.818
"Rubella","routine","SSD",1,-4.849,-4.805
"Measles","campaign","TON",7,-4.848,-4.82
"Rubella","routine","BFA",2,-4.845,-4.811
"Rubella","routine","VEN",3,-4.844,-4.804
"Rubella","routine","NIC",3,-4.842,-4.805
"Measles","campaign","THA",3,-4.835,-4.803
"Rubella","routine","ECU",1,-4.834,-4.801
"Rubella","routine","RWA",7,-4.833,-4.79
"Rubella","routine","HTI",4,-4.825,-4.793
"Rubella","routine","PHL",1,-4.823,-4.789
"Rubella","routine","SOM",1,-4.822,-4.778
"Rubella","routine","ERI",3,-4.807,-4.767
"Rubella","routine","LCA",2,-4.805,-4.767
"Rubella","routine","PRY",1,-4.804,-4.769
"Measles","campaign","THA",8,-4.803,-4.771
"Rubella","routine","UGA",4,-4.803,-4.765
"Rubella","routine","SDN",2,-4.796,-4.75
"Measles","campaign","LSO",8,-4.795,-4.763
"Rubella","routine","COL",1,-4.795,-4.766
"Rubella","routine","MKD",1,-4.794,-4.755
"Measles","campaign","TON",3,-4.791,-4.762
"Measles","campaign","ZMB",3,-4.786,-4.752
"Rubella","routine","PER",1,-4.783,-4.749
"Rubella","routine","BFA",2,-4.777,-4.743
"Measles","campaign","SWZ",3,-4.775,-4.738
"Measles","campaign","THA",6,-4.771,-4.738
"Rubella","routine","LAO",2,-4.771,-4.734
"Rubella","routine","PRY",1,-4.769,-4.739
"Measles","campaign","TON",3,-4.762,-4.734
"Rubella","routine","HTI",5,-4.761,-4.728
"Measles","campaign","ZMB",3,-4.752,-4.718
"Rubella","routine","BOL",1,-4.751,-4.718
"Rubella","routine","SYR",2,-4.749,-4.711
"Rubella","routine","LBR",1,-4.742,-4.696
"Rubella","campaign","IND",8,-4.741,-4.7
"Measles","campaign","THA",10,-4.738,-4.706
"Rubella","routine","VEN",1,-4.738,-4.705
"Rubella","routine","COL",2,-4.736,-4.706
"Rubella","routine","ECU",1,-4.736,-4.703
"Measles","campaign","TON",2,-4.734,-4.705
"Rubella","routine","SLB",2,-4.73,-4.69
"Rubella","routine","HTI",1,-4.728,-4.696
"Measles","campaign","ZMB",2,-4.718,-4.684
"Rubella","routine","NIC",2,-4.714,-4.684
"Rubella","routine","MRT",2,-4.712,-4.673
"Rubella","routine","BFA",1,-4.709,-4.675
"Rubella","routine","PAK",2,-4.709,-4.668
"Measles","campaign","THA",7,-4.706,-4.674
"Rubella","routine","COL",1,-4.706,-4.677
"Measles","campaign","TON",6,-4.705,-4.676
"Rubella","campaign","COD",3,-4.703,-4.668
"Rubella","routine","HND",1,-4.701,-4.67
"Rubella","routine","ZWE",5,-4.701,-4.663
"Measles","campaign","LSO",2,-4.7,-4.668
"Measles","campaign","VCT",2,-4.7,-4.654
"Rubella","routine","CHN",1,-4.7,-4.666
"Rubella","routine","HTI",5,-4.696,-4.663
"Rubella","routine","NPL",2,-4.685,-4.648
"Rubella","routine","PRY",2,-4.68,-4.651
"Measles","campaign","PHL",2,-4.678,-4.639
"Rubella","routine","GTM",1,-4.678,-4.647
"Measles","campaign","TON",3,-4.676,-4.648
"Rubella","routine","WSM",1,-4.676,-4.637
"Measles","campaign","UZB",1,-4.675,-4.639
"Rubella","routine","BFA",2,-4.675,-4.641
"Measles","campaign","THA",2,-4.674,-4.641
"Rubella","routine","IRQ",1,-4.671,-4.637
"Rubella","routine","UGA",3,-4.669,-4.637
"Measles","campaign","LSO",4,-4.668,-4.637
"Rubella","routine","BDI",4,-4.666,-4.626
"Rubella","routine","CHN",4,-4.666,-4.638
"Measles","campaign","IRQ",1,-4.654,-4.62
"Rubella","routine","PHL",2,-4.654,-4.621
"Rubella","routine","BOL",3,-4.651,-4.618
"Measles","campaign","TON",6,-4.648,-4.619
"Measles","campaign","SWZ",2,-4.646,-4.615
"Measles","campaign","UZB",1,-4.639,-4.608
"Rubella","routine","ECU",1,-4.638,-4.605
"Rubella","routine","HND",3,-4.638,-4.607
"Measles","campaign","CUB",3,-4.632,-4.594
"Rubella","routine","ZWE",1,-4.631,-4.6
"Rubella","routine","AZE",1,-4.627,-4.594
"Measles","campaign","SRB",4,-4.625,-4.587
"Rubella","routine","SLB",1,-4.624,-4.591
"Rubella","routine","BIH",1,-4.622,-4.584
"Measles","campaign","TON",2,-4.619,-4.59
"Measles","campaign","SWZ",2,-4.615,-4.584
"Rubella","routine","RWA",1,-4.612,-4.576
"Measles","campaign","THA",6,-4.609,-4.576
"Rubella","routine","MRT",3,-4.608,-4.575
"Rubella","routine","ECU",2,-4.605,-4.572
"Rubella","routine","MDA",3,-4.605,-4.567
"Rubella","routine","VEN",2,-4.605,-4.572
"Rubella","routine","COG",6,-4.599,-4.565
"Rubella","routine","TLS",2,-4.597,-4.558
"Rubella","routine","VUT",1,-4.592,-4.553
"Measles","campaign","TON",2,-4.59,-4.562
"Rubella","routine","COL",1,-4.588,-4.558
"Measles","campaign","TZA",2,-4.587,-4.548
"Rubella","routine","PHL",1,-4.587,-4.553
"Measles","campaign","IRQ",5,-4.586,-4.551
"Measles","campaign","SWZ",5,-4.584,-4.553
"Measles","campaign","ZMB",2,-4.582,-4.548
"Rubella","routine","CHN",3,-4.582,-4.554
"Measles","campaign","ZWE",4,-4.58,-4.542
"Rubella","routine","SLV",1,-4.579,-4.546
"Measles","campaign","THA",15,-4.576,-4.544
"Measles","campaign","VCT",4,-4.576,-4.538
"Rubella","routine","RWA",1,-4.576,-4.54
"Rubella","routine","BFA",2,-4.573,-4.539
"Rubella","routine","MWI",2,-4.572,-4.533
"Rubella","routine","VEN",3,-4.572,-4.538
"Rubella","routine","ZWE",3,-4.568,-4.536
"Measles","campaign","TON",7,-4.562,-4.533
"Rubella","routine","ZAF",2,-4.561,-4.52
"Rubella","routine","SLB",2,-4.558,-4.525
"Rubella","routine","NPL",4,-4.556,-4.526
"Rubella","routine","CHN",3,-4.554,-4.526
"Rubella","routine","BIH",1,-4.553,-4.521
"Rubella","routine","PHL",3,-4.553,-4.52
"Rubella","routine","SYR",1,-4.553,-4.522
"Measles","campaign","IRQ",6,-4.551,-4.517
"Rubella","routine","CAF",1,-4.551,-4.513
"Rubella","routine","LAO",1,-4.549,-4.518
"Measles","campaign","ZMB",1,-4.548,-4.514
"Measles","campaign","THA",15,-4.544,-4.512
"Measles","campaign","LSO",4,-4.542,-4.51
"Rubella","routine","LBR",1,-4.542,-4.504
"Rubella","routine","BFA",3,-4.539,-4.505
"Measles","campaign","VCT",4,-4.538,-4.499
"Rubella","routine","ZWE",4,-4.536,-4.504
"Measles","campaign","TON",10,-4.533,-4.504
"Rubella","routine","ERI",2,-4.529,-4.494
"Rubella","routine","COL",1,-4.528,-4.499
"Rubella","routine","SLB",2,-4.525,-4.492
"Measles","campaign","SWZ",4,-4.523,-4.492
"Rubella","routine","LAO",1,-4.518,-4.488
"Rubella","routine","PER",1,-4.518,-4.489
"Measles","campaign","IRQ",7,-4.517,-4.483
"Measles","campaign","UZB",5,-4.517,-4.486
"Rubella","routine","SWZ",4,-4.516,-4.478
"Rubella","routine","ALB",5,-4.515,-4.481
"Measles","campaign","ZMB",4,-4.514,-4.48
"Measles","campaign","THA",8,-4.512,-4.479
"Measles","campaign","LSO",2,-4.51,-4.479
"Rubella","routine","SSD",5,-4.506,-4.468
"Measles","campaign","MNG",4,-4.505,-4.47
"Rubella","routine","SLE",5,-4.505,-4.466
"Measles","campaign","TON",10,-4.504,-4.476
"Rubella","campaign","ETH",2,-4.502,-4.462
"Rubella","routine","HTI",4,-4.501,-4.469
"Rubella","routine","CMR",1,-4.5,-4.462
"Rubella","routine","MDV",3,-4.5,-4.461
"Measles","campaign","CUB",2,-4.499,-4.467
"Measles","campaign","VCT",7,-4.499,-4.461
"Rubella","campaign","IND",3,-4.498,-4.465
"Measles","campaign","SWZ",3,-4.492,-4.461
"Rubella","routine","LAO",1,-4.488,-4.457
"Rubella","routine","VUT",2,-4.488,-4.456
"Measles","campaign","UZB",6,-4.486,-4.456
"Measles","campaign","IRQ",7,-4.483,-4.449
"Rubella","routine","SLV",1,-4.48,-4.446
"Measles","campaign","LSO",4,-4.479,-4.447
"Measles","campaign","THA",6,-4.479,-4.447
"Measles","campaign","TON",14,-4.476,-4.447
"Rubella","routine","PRY",1,-4.475,-4.446
"Rubella","routine","ZWE",1,-4.472,-4.44
"Rubella","routine","CHN",4,-4.47,-4.442
"Rubella","routine","COL",2,-4.469,-4.439
"Rubella","routine","HTI",7,-4.469,-4.436
"Rubella","routine","BDI",3,-4.462,-4.429
"Rubella","routine","CMR",1,-4.462,-4.43
"Measles","campaign","VCT",5,-4.461,-4.422
"Rubella","routine","PER",2,-4.461,-4.432
"Rubella","routine","AZE",1,-4.459,-4.425
"Rubella","routine","LAO",2,-4.457,-4.426
"Measles","campaign","UZB",2,-4.456,-4.426
"Rubella","routine","GTM",1,-4.456,-4.424
"Rubella","campaign","UZB",1,-4.452,-4.412
"Measles","campaign","IRQ",5,-4.449,-4.414
"Measles","campaign","THA",12,-4.447,-4.414
"Measles","campaign","TON",13,-4.447,-4.418
"Measles","campaign","ZMB",1,-4.446,-4.412
"Rubella","routine","UGA",2,-4.445,-4.413
"Rubella","routine","CHN",7,-4.442,-4.414
"Rubella","routine","ECU",3,-4.442,-4.409
"Rubella","routine","KEN",1,-4.44,-4.404
"Rubella","routine","COL",2,-4.439,-4.41
"Rubella","campaign","NPL",2,-4.437,-4.407
"Rubella","routine","BFA",1,-4.437,-4.403
"Rubella","routine","HTI",2,-4.436,-4.404
"Rubella","routine","SSD",1,-4.431,-4.394
"Measles","campaign","SWZ",2,-4.43,-4.399
"Rubella","routine","COG",4,-4.428,-4.394
"Rubella","routine","LBR",1,-4.427,-4.389
"Measles","campaign","UZB",2,-4.426,-4.395
"Rubella","routine","LAO",1,-4.426,-4.395
"Measles","campaign","VCT",7,-4.422,-4.383
"Measles","campaign","TON",5,-4.418,-4.39
"Measles","campaign","THA",17,-4.414,-4.382
"Rubella","routine","GMB",2,-4.413,-4.378
"Measles","campaign","PHL",2,-4.412,-4.38
"Measles","campaign","ZMB",3,-4.412,-4.378
"Rubella","routine","NIC",1,-4.411,-4.38
"Rubella","routine","COL",2,-4.41,-4.38
"Rubella","routine","ECU",1,-4.409,-4.377
"Rubella","routine","SEN",1,-4.407,-4.371
"Measles","campaign","KEN",2,-4.405,-4.367
"Rubella","campaign","GIN",4,-4.405,-4.364
"Measles","campaign","CUB",2,-4.404,-4.372
"Rubella","routine","HTI",11,-4.404,-4.371
"Rubella","routine","BFA",2,-4.403,-4.369
"Rubella","routine","PER",2,-4.403,-4.374
"Rubella","routine","MWI",1,-4.401,-4.368
"Measles","campaign","SWZ",4,-4.399,-4.369
"Rubella","routine","CAF",3,-4.399,-4.361
"Measles","campaign","UZB",11,-4.395,-4.365
"Rubella","routine","AGO",1,-4.393,-4.357
"Rubella","routine","GTM",1,-4.393,-4.361
"Rubella","routine","SLB",2,-4.393,-4.36
"Rubella","routine","TGO",1,-4.391,-4.353
"Measles","campaign","TON",3,-4.39,-4.361
"Rubella","routine","HND",2,-4.388,-4.357
"Rubella","routine","PRY",1,-4.387,-4.358
"Rubella","routine","PHL",1,-4.385,-4.351
"Measles","campaign","LSO",8,-4.384,-4.352
"Measles","campaign","VCT",2,-4.383,-4.345
"Measles","campaign","THA",22,-4.382,-4.35
"Rubella","routine","ALB",1,-4.381,-4.348
"Rubella","routine","COL",2,-4.38,-4.35
"Rubella","routine","SLV",4,-4.38,-4.346
"Measles","campaign","EGY",4,-4.377,-4.342
"Rubella","routine","ECU",1,-4.377,-4.344
"Rubella","routine","HTI",6,-4.371,-4.339
"Rubella","routine","BFA",2,-4.369,-4.335
"Measles","campaign","UZB",15,-4.365,-4.334
"Measles","campaign","SRB",2,-4.364,-4.332
"Rubella","routine","BIH",1,-4.363,-4.332
"Measles","campaign","TON",5,-4.361,-4.332
