"disease","activity_type","Counts","lower_bound","upper_bound"
"JE","campaign",1,-0.7632,-0.7505
"JE","campaign",1,-0.7186,-0.708
"JE","campaign",1,-0.6442,-0.6336
"JE","campaign",1,-0.6336,-0.623
"JE","campaign",1,-0.5911,-0.5805
"JE","campaign",1,-0.5805,-0.5698
"JE","campaign",1,-0.5698,-0.5592
"JE","campaign",2,-0.5486,-0.538
"JE","campaign",2,-0.5167,-0.5061
"JE","campaign",2,-0.5061,-0.4955
"JE","campaign",1,-0.4955,-0.4848
"JE","campaign",3,-0.4848,-0.4742
"JE","campaign",3,-0.4742,-0.4636
"JE","campaign",1,-0.4636,-0.453
"JE","campaign",2,-0.453,-0.4423
"JE","campaign",4,-0.4423,-0.4317
"JE","campaign",1,-0.4211,-0.4105
"JE","campaign",2,-0.4105,-0.3998
"JE","campaign",3,-0.3786,-0.368
"JE","campaign",2,-0.368,-0.3574
"JE","campaign",1,-0.3574,-0.3467
"JE","campaign",4,-0.3361,-0.3255
"JE","campaign",2,-0.3149,-0.3042
"JE","campaign",3,-0.3042,-0.2936
"JE","campaign",2,-0.2936,-0.283
"JE","campaign",1,-0.283,-0.2724
"JE","campaign",3,-0.2724,-0.2617
"JE","campaign",4,-0.2617,-0.2511
"JE","campaign",4,-0.2511,-0.2405
"JE","campaign",1,-0.2405,-0.2299
"JE","campaign",2,-0.2299,-0.2192
"JE","campaign",1,-0.2192,-0.2086
"JE","campaign",1,-0.2086,-0.198
"JE","campaign",3,-0.198,-0.1874
"JE","campaign",3,-0.1874,-0.1767
"JE","campaign",3,-0.1767,-0.1661
"JE","campaign",2,-0.1661,-0.1555
"JE","campaign",5,-0.1555,-0.1449
"JE","campaign",3,-0.1449,-0.1342
"JE","campaign",3,-0.1342,-0.1236
"JE","campaign",3,-0.1236,-0.113
"JE","campaign",5,-0.113,-0.1024
"JE","campaign",7,-0.1024,-0.09174
"JE","campaign",7,-0.09174,-0.08111
"JE","campaign",3,-0.08111,-0.07049
"JE","campaign",6,-0.07049,-0.05986
"JE","campaign",3,-0.05986,-0.04924
"JE","campaign",5,-0.04924,-0.03861
"JE","campaign",2,-0.03861,-0.02799
"JE","campaign",3,-0.01736,-0.00674
"JE","campaign",2,-0.00674,0.003885
"JE","campaign",8,0.003885,0.01451
"JE","campaign",2,0.01451,0.02513
"JE","campaign",2,0.02513,0.03576
"JE","campaign",8,0.03576,0.04638
"JE","campaign",3,0.04638,0.05701
"JE","campaign",2,0.05701,0.06763
"JE","campaign",4,0.06763,0.07826
"JE","campaign",8,0.07826,0.08888
"JE","campaign",5,0.08888,0.09951
"JE","campaign",1,0.09951,0.1101
"JE","campaign",6,0.1101,0.1208
"JE","campaign",5,0.1208,0.1314
"JE","campaign",4,0.1314,0.142
"JE","campaign",6,0.142,0.1526
"JE","campaign",9,0.1526,0.1633
"JE","campaign",6,0.1633,0.1739
"JE","campaign",3,0.1739,0.1845
"COVID-19","routine",1,0.1843,0.1857
"JE","campaign",3,0.1845,0.1951
"COVID-19","routine",1,0.1879,0.189
"COVID-19","routine",2,0.1901,0.1913
"JE","campaign",6,0.1951,0.2058
"COVID-19","routine",1,0.1969,0.198
"Cholera","campaign",1,0.1971,0.2022
"COVID-19","routine",3,0.2003,0.2014
"COVID-19","routine",1,0.2014,0.2025
"Cholera","campaign",1,0.2022,0.2065
"JE","campaign",2,0.2058,0.2164
"COVID-19","routine",1,0.207,0.2081
"COVID-19","routine",1,0.2081,0.2092
"COVID-19","routine",3,0.2092,0.2104
"COVID-19","routine",1,0.2104,0.2115
"COVID-19","routine",2,0.2115,0.2126
"COVID-19","routine",1,0.2126,0.2137
"COVID-19","routine",1,0.216,0.2171
"JE","campaign",11,0.2164,0.227
"COVID-19","routine",2,0.2171,0.2182
"COVID-19","routine",4,0.2182,0.2193
"Cholera","campaign",1,0.2192,0.2235
"COVID-19","routine",1,0.2193,0.2205
"COVID-19","routine",2,0.2205,0.2216
"COVID-19","routine",1,0.2216,0.2227
"COVID-19","routine",2,0.2227,0.2238
"COVID-19","routine",3,0.2238,0.225
"COVID-19","routine",2,0.225,0.2261
"COVID-19","routine",7,0.2261,0.2272
"JE","campaign",5,0.227,0.2376
"COVID-19","routine",3,0.2272,0.2283
"Cholera","campaign",1,0.2277,0.232
