"disease","country","Counts","lower_bound","upper_bound"
"HPV","STP",719,-70.29,390.8
"Typhoid","BDI",381,-6.244,33.38
"Typhoid","SLE",305,-4.686,23.52
"Typhoid","COD",150,-3.418,19.41
"Typhoid","LBR",250,-2.491,21.75
"Typhoid","PNG",151,-2.409,13.14
"Typhoid","CAF",153,-2.182,14.38
"Typhoid","MDG",203,-1.933,11.27
"Typhoid","BEN",111,-1.791,13.17
"Typhoid","TCD",112,-1.759,10.51
"Typhoid","ETH",281,-1.628,9.989
"Typhoid","TZA",308,-1.61,8.104
"Typhoid","YEM",125,-1.36,6.837
"Typhoid","AGO",159,-1.313,8.93
"Typhoid","ERI",219,-1.29,6.544
"Typhoid","CIV",163,-1.268,7.202
"Typhoid","TGO",123,-1.076,5.673
"Typhoid","COG",123,-1.046,6.163
"HepB","MRT",8,-1.015,5.218
"Typhoid","CMR",123,-0.9272,5.313
"Typhoid","MOZ",158,-0.8852,5.014
"Typhoid","STP",106,-0.8724,4.785
"Typhoid","BOL",393,-0.8269,4.173
"YF","SLE",61,-0.8177,10.79
"Typhoid","MLI",119,-0.7808,4.876
"Typhoid","NER",134,-0.7714,5.128
"Typhoid","CPV",156,-0.7348,3.868
"Typhoid","RWA",125,-0.7069,3.835
"Typhoid","DJI",201,-0.6652,3.418
"Typhoid","MRT",164,-0.653,4.948
"Rota","CAF",3,-0.6299,8.251
"Typhoid","MWI",189,-0.616,4.091
"Typhoid","BFA",115,-0.5887,8.462
"Typhoid","NGA",93,-0.5788,4.721
"Typhoid","ZAF",283,-0.5489,2.866
"Typhoid","UGA",250,-0.5317,5.511
"Typhoid","SDN",157,-0.501,2.78
"Cholera","HTI",345,-0.461,2.344
"Typhoid","SLB",110,-0.4528,2.974
"Typhoid","AFG",156,-0.4444,2.269
"Typhoid","GHA",126,-0.4239,4.101
"Typhoid","NPL",303,-0.4071,2.101
"Rota","BEN",15,-0.3999,2.459
"HepB","DZA",12,-0.3906,1.963
"Rubella","NER",62,-0.3881,1.941
"PCV","GIN",103,-0.3773,22.33
"Typhoid","SWZ",183,-0.3569,1.843
"PCV","SYR",504,-0.3286,2.688
"Typhoid","GUY",351,-0.3286,1.738
"Typhoid","ZWE",214,-0.3036,1.994
"Rubella","MWI",53,-0.2821,1.411
"Typhoid","UZB",385,-0.2802,1.513
"Typhoid","GNB",109,-0.2727,2.018
"Typhoid","PHL",76,-0.27,1.6
"JE","LKA",362,-0.2565,1.368
"Rubella","TCD",36,-0.2493,1.248
"Rubella","TJK",20,-0.2409,1.206
"Rubella","UGA",61,-0.2357,1.179
"Typhoid","THA",508,-0.2346,1.518
"Rubella","LBR",48,-0.2309,1.379
"Typhoid","NAM",180,-0.2302,1.523
"Rubella","SDN",11,-0.228,1.141
"Rubella","NGA",35,-0.2275,1.138
"JE","THA",91,-0.2186,1.575
"Rota","SYR",14,-0.2176,1.117
"Rubella","CAF",37,-0.2146,1.153
"Rubella","AGO",51,-0.2111,1.056
"Rubella","SSD",53,-0.2103,1.054
"Rubella","STP",25,-0.2076,1.038
"Rubella","COD",52,-0.2074,1.037
"Typhoid","GTM",219,-0.2068,1.107
"Rubella","SLE",38,-0.2046,1.08
"Rubella","AFG",21,-0.2014,1.008
"JE","LAO",168,-0.1999,1.333
"Rubella","MLI",31,-0.1927,0.964
"Typhoid","PER",223,-0.1894,0.9634
"Rubella","ZWE",43,-0.183,0.934
"Typhoid","MNG",243,-0.178,0.93
"Typhoid","KHM",76,-0.176,1.864
"Rubella","ZMB",15,-0.1752,0.878
"Rubella","ETH",57,-0.1736,0.8683
"Rubella","GIN",42,-0.1732,0.8666
"Typhoid","ZMB",79,-0.1691,2.621
"Rubella","RWA",23,-0.169,0.8483
"Typhoid","BLZ",99,-0.1675,0.9362
"Rubella","SOM",32,-0.1655,0.8292
"Rubella","VUT",27,-0.1654,0.8273
"Rubella","GNB",3,-0.1629,1.064
"Rubella","ERI",24,-0.1624,1.007
"Rubella","LSO",11,-0.1557,0.9224
"Rubella","SWZ",38,-0.1534,0.9198
"Typhoid","GMB",84,-0.1523,2.346
"Typhoid","KIR",80,-0.152,1.24
"Rubella","UZB",10,-0.1502,0.7521
"Rubella","SLB",25,-0.1492,0.7608
"Rubella","COM",33,-0.148,0.7661
"Cholera","YEM",416,-0.1472,0.7897
"PCV","MDG",8,-0.1435,3.057
"Rubella","KIR",20,-0.1435,0.718
"Rota","GHA",3,-0.1422,0.7516
"Typhoid","HND",237,-0.1412,0.7078
"Rubella","GHA",13,-0.1407,0.7046
"Rota","WSM",10,-0.1349,0.8181
"Rubella","GMB",45,-0.1348,0.8375
"JE","KHM",2,-0.1347,1.277
"Rota","LAO",3,-0.1312,7.893
"Rubella","TZA",21,-0.1299,0.6501
"Typhoid","MMR",79,-0.1281,0.9134
"Typhoid","LAO",70,-0.1268,1.556
"Rubella","PRK",11,-0.126,0.6331
"PCV","ZWE",6,-0.1188,0.8269
"Typhoid","BTN",65,-0.1173,0.6737
"Rubella","BDI",32,-0.1166,0.9297
"Rubella","WSM",23,-0.1141,0.6216
"Rubella","MDG",27,-0.1099,0.5503
"Cholera","SOM",267,-0.1082,0.5592
"Typhoid","ALB",519,-0.1065,0.5405
"Rubella","CPV",18,-0.09774,0.7449
"Rubella","PHL",12,-0.09527,0.4778
"Typhoid","LKA",145,-0.09314,0.6229
"Rubella","IND",16,-0.09284,0.4644
"Typhoid","FJI",79,-0.09202,0.4894
"Rubella","HND",50,-0.09078,0.4552
"Rubella","MDA",35,-0.08623,0.4519
"PCV","ARM",10,-0.08569,1.029
"Rubella","CMR",22,-0.08569,0.4305
"JE","TLS",313,-0.08565,0.4323
"JE","BTN",351,-0.08418,0.4263
"Rota","LSO",4,-0.08122,0.6374
"Rubella","PSE",23,-0.08062,0.4168
"Rubella","MMR",15,-0.07578,0.3801
"Rubella","MHL",5,-0.07576,0.3806
"Rubella","COG",31,-0.07551,1.127
"Rubella","UKR",3,-0.07512,0.3764
"Rubella","IRQ",41,-0.07384,0.3699
"Rubella","ALB",42,-0.0723,0.363
"Rubella","GTM",16,-0.07118,0.3568
"Typhoid","VUT",56,-0.07108,0.4071
"Cholera","CMR",156,-0.06975,0.3608
"Rubella","BLZ",18,-0.06899,0.3454
"Rota","MWI",3,-0.06833,0.5678
"Rubella","NIC",32,-0.06774,0.4956
"Typhoid","PRY",175,-0.06623,0.3432
"Rubella","LCA",36,-0.06613,0.3314
"Rubella","BFA",27,-0.0651,0.3257
"Rubella","LKA",12,-0.06503,0.3264
"Rubella","GRD",15,-0.06418,0.3218
"Rubella","TON",18,-0.06281,0.3164
"Rubella","VEN",11,-0.05985,0.2995
"Rubella","VCT",14,-0.05958,0.3017
"Rubella","GUY",2,-0.05758,0.2912
"Rubella","ECU",17,-0.05713,0.2862
"Rubella","DMA",25,-0.05665,0.2839
"Rubella","SYR",18,-0.05655,0.2834
"Rubella","MKD",16,-0.05597,0.281
"Rubella","CUB",17,-0.05575,0.2791
"Rubella","PER",8,-0.05422,0.355
"Rubella","FSM",15,-0.05411,0.2748
"Rubella","BTN",24,-0.05343,0.2841
"Rubella","MOZ",7,-0.05139,0.258
"Rota","UKR",18,-0.05103,0.2743
"Rubella","FJI",6,-0.05068,0.3383
"Typhoid","FSM",114,-0.0488,0.5914
"Rubella","COL",6,-0.04774,0.239
"Rubella","MDV",31,-0.04722,0.2365
"Rubella","ZAF",4,-0.04717,0.2452
"Rubella","MAR",10,-0.04595,0.2326
"Rubella","TLS",18,-0.04563,0.4988
"Rubella","XK",23,-0.04431,0.2797
"Rota","BLR",15,-0.04319,0.2276
"Typhoid","MAR",142,-0.04242,0.2126
"PCV","THA",7,-0.04175,0.6676
"Typhoid","HTI",105,-0.04136,0.3682
"Typhoid","WSM",26,-0.03683,0.2168
"Rota","BIH",8,-0.03477,0.1923
"Rota","SRB",17,-0.03234,0.1647
"Rubella","JAM",20,-0.03152,0.2422
"Rubella","SEN",40,-0.0292,0.1467
"Rota","ZWE",14,-0.02832,0.3823
"Rota","CIV",7,-0.0273,0.5836
"Rubella","EGY",3,-0.02675,0.1339
"Typhoid","SLV",137,-0.02523,0.148
"Typhoid","AZE",232,-0.02439,0.1276
"PCV","PRY",5,-0.02437,0.6346
"Rota","THA",3,-0.02272,0.3189
"YF","ETH",33,-0.02184,0.3518
"Typhoid","VEN",199,-0.02087,0.1539
"Typhoid","KEN",132,-0.02017,8.494
"Rota","MDA",7,-0.01883,0.09721
"Typhoid","ARM",231,-0.01543,0.08753
"Rubella","NPL",44,-0.0132,0.06615
"Cholera","NGA",175,-0.01157,0.0602
"JE","PNG",16,-0.00969,0.1947
"Cholera","MOZ",316,-0.006859,0.03529
"Hib","VNM",3,-0.006064,0.4385
"PCV","SRB",20,-0.005351,0.3977
"Rubella","CHN",168,-0.005254,0.02635
"Cholera","MWI",182,-0.004433,0.02305
"Cholera","AFG",437,-0.003894,0.02125
"Typhoid","GEO",129,-0.003612,0.02614
"Rubella","HTI",5,-0.00347,0.09039
"COVID-19","TCD",19,-0.002329,0.01206
"Rubella","BEN",5,-0.001096,0.6767
"Rubella","ARM",27,0.0004052,0.5471
"Typhoid","IDN",12,0.00141,0.06063
"PCV","MDA",2,0.001414,0.3592
"Rubella","MRT",37,0.005112,1.156
"Rubella","PRY",18,0.005222,0.4384
"Rota","CUB",7,0.006153,0.07595
"Rubella","PNG",14,0.006464,0.6881
"Rubella","YEM",2,0.01219,0.1076
"Rubella","MNG",10,0.01417,0.6241
"Rubella","SLV",4,0.0148,0.297
"COVID-19","HTI",22,0.01549,0.02053
"Typhoid","SEN",73,0.01774,2.778
"Cholera","AFG",20,0.02125,0.04221
"Cholera","MWI",68,0.02305,0.04596
"COVID-19","SLE",17,0.02504,0.03571
"Typhoid","GEO",124,0.02614,0.05094
"Rubella","CHN",7,0.02635,0.05268
"COVID-19","HTI",13,0.03312,0.03732
"Cholera","MOZ",46,0.03529,0.07042
"COVID-19","TCD",21,0.03603,0.04802
"Typhoid","IND",6,0.03649,0.3326
"Typhoid","PAK",15,0.03786,0.1554
"Rubella","BIH",13,0.03802,0.3406
"COVID-19","KIR",18,0.03998,0.04462
"Rubella","TUN",7,0.0401,0.09229
"Cholera","AFG",23,0.04221,0.06317
"Rota","TUN",2,0.0437,0.6239
"Cholera","MWI",43,0.04596,0.06886
