"disease","country","Counts","lower_bound","upper_bound"
"Rubella","CHN",2,-4.9,-4.866
"Rubella","CHN",2,-4.866,-4.838
"Rubella","CHN",2,-4.838,-4.81
"Rubella","CHN",1,-4.81,-4.782
"Rubella","SDN",2,-4.762,-4.719
"Rubella","CHN",3,-4.753,-4.725
"Rubella","NPL",1,-4.701,-4.666
"Rubella","CHN",1,-4.669,-4.641
"Rubella","CHN",3,-4.641,-4.613
"Rubella","BFA",2,-4.636,-4.597
"Rubella","STP",2,-4.601,-4.56
"Rubella","CHN",5,-4.585,-4.557
"Rubella","AGO",3,-4.581,-4.54
"Rubella","CHN",2,-4.557,-4.529
"Rubella","COD",4,-4.552,-4.511
"Rubella","BFA",4,-4.533,-4.5
"Rubella","EGY",2,-4.502,-4.467
"Rubella","IND",1,-4.485,-4.446
"Rubella","CHN",8,-4.473,-4.445
"Rubella","CHN",3,-4.445,-4.417
"Rubella","VEN",3,-4.428,-4.39
"Rubella","CHN",2,-4.417,-4.388
"Rubella","COD",4,-4.408,-4.374
"Rubella","CHN",16,-4.36,-4.332
"Rubella","UGA",3,-4.352,-4.312
"Rubella","CHN",5,-4.332,-4.304
"Rubella","COL",9,-4.315,-4.279
"Rubella","CUB",3,-4.279,-4.243
"Rubella","CHN",3,-4.276,-4.248
"Rubella","MLI",1,-4.252,-4.212
"Rubella","TON",1,-4.252,-4.215
"Rubella","UGA",7,-4.245,-4.211
"Rubella","COD",2,-4.202,-4.168
"Rubella","MDV",3,-4.198,-4.163
"Rubella","CHN",18,-4.192,-4.164
"Rubella","KIR",3,-4.177,-4.139
"Rubella","BLZ",4,-4.169,-4.133
"COVID-19","TCD",26,-4.168,-4.14
"Rubella","COD",4,-4.168,-4.134
"Rubella","CHN",6,-4.164,-4.136
"Rubella","MWI",2,-4.146,-4.107
"Rubella","MLI",3,-4.145,-4.112
"Rubella","CHN",10,-4.136,-4.108
"Rubella","IND",3,-4.124,-4.092
"Rubella","VUT",6,-4.116,-4.077
"Rubella","CHN",6,-4.108,-4.08
"Rubella","CHN",6,-4.08,-4.052
"Rubella","NGA",8,-4.076,-4.038
"Rubella","ETH",2,-4.072,-4.034
"Rubella","ECU",4,-4.069,-4.035
"Typhoid","MAR",5,-4.068,-4.034
"Rubella","COD",1,-4.065,-4.031
"Rubella","GIN",4,-4.065,-4.027
"Rubella","IND",9,-4.059,-4.027
"Cholera","MOZ",2,-4.05,-4.021
"Rubella","TCD",2,-4.04,-4.002
"Rubella","CHN",9,-4.023,-3.995
"Rubella","MLI",4,-4.012,-3.978
"Rubella","TZA",4,-4.012,-3.976
"Rubella","DMA",2,-4.01,-3.975
"Rubella","COD",5,-3.996,-3.962
"Rubella","CHN",6,-3.995,-3.967
"Rubella","MLI",5,-3.978,-3.945
"Rubella","AFG",5,-3.973,-3.935
"Rubella","NER",2,-3.969,-3.93
"Rubella","NPL",2,-3.968,-3.939
"Rubella","CHN",5,-3.967,-3.939
"Rubella","GIN",5,-3.964,-3.933
"Rubella","COD",3,-3.962,-3.928
"Rubella","COL",2,-3.95,-3.92
"Rubella","TZA",4,-3.945,-3.914
"Rubella","SEN",3,-3.944,-3.912
"Rubella","CHN",4,-3.939,-3.911
"Rubella","NPL",1,-3.939,-3.91
"Rubella","MDG",1,-3.932,-3.896
"Rubella","SYR",4,-3.932,-3.898
"Rubella","NER",1,-3.93,-3.897
"Rubella","IRQ",4,-3.919,-3.885
"Rubella","CHN",5,-3.911,-3.883
"Rubella","LCA",5,-3.9,-3.866
"Rubella","UKR",4,-3.897,-3.862
"Rubella","COD",3,-3.893,-3.859
"Rubella","CHN",8,-3.883,-3.855
"Rubella","NPL",2,-3.881,-3.852
"Rubella","SDN",3,-3.865,-3.83
"Rubella","CHN",19,-3.855,-3.827
"Rubella","GRD",4,-3.85,-3.816
"Rubella","CMR",2,-3.836,-3.801
"Rubella","NER",4,-3.832,-3.799
"Rubella","COL",4,-3.83,-3.8
"Rubella","UZB",8,-3.829,-3.793
"Rubella","CHN",4,-3.827,-3.799
"Rubella","GTM",2,-3.81,-3.776
"Rubella","VEN",3,-3.802,-3.771
"Cholera","MOZ",3,-3.801,-3.776
"Rubella","CHN",5,-3.799,-3.771
"Rubella","NER",2,-3.799,-3.766
"Rubella","ECU",3,-3.773,-3.743
"Rubella","CHN",4,-3.771,-3.743
"Rubella","UZB",4,-3.763,-3.733
"Rubella","TZA",2,-3.761,-3.731
"Rubella","BLZ",5,-3.743,-3.713
"Cholera","MWI",1,-3.737,-3.712
"Rubella","LCA",6,-3.723,-3.694
"Rubella","COD",4,-3.722,-3.688
"Rubella","MDG",5,-3.717,-3.687
"Rubella","MKD",5,-3.71,-3.678
"Rubella","MMR",5,-3.71,-3.677
"Rubella","BOL",2,-3.709,-3.675
"Rubella","VEN",2,-3.709,-3.678
"Rubella","BFA",3,-3.695,-3.663
"Rubella","LCA",1,-3.694,-3.665
"Rubella","GTM",2,-3.691,-3.663
"Cholera","MWI",4,-3.69,-3.669
"Rubella","CHN",3,-3.687,-3.658
"Rubella","MDG",4,-3.687,-3.657
"Rubella","GHA",6,-3.686,-3.651
"Cholera","MOZ",6,-3.678,-3.654
"Rubella","LKA",2,-3.678,-3.646
"Rubella","TJK",3,-3.676,-3.641
"Rubella","DMA",3,-3.659,-3.63
"Rubella","CHN",4,-3.658,-3.63
"Rubella","MDG",4,-3.657,-3.628
"Cholera","MOZ",4,-3.654,-3.629
"Rubella","NPL",4,-3.648,-3.619
"Rubella","VUT",4,-3.629,-3.597
"Rubella","ETH",6,-3.625,-3.593
"Rubella","PHL",3,-3.625,-3.591
"Rubella","IRQ",5,-3.624,-3.595
"Rubella","TCD",2,-3.624,-3.592
"Rubella","ALB",1,-3.61,-3.578
"Rubella","MLI",3,-3.61,-3.577
"Cholera","MOZ",5,-3.605,-3.581
"Rubella","CHN",1,-3.602,-3.574
"Rubella","MDG",1,-3.598,-3.568
"Rubella","SOM",2,-3.598,-3.563
"Rubella","TCD",2,-3.592,-3.56
"Cholera","MOZ",1,-3.581,-3.556
"Rubella","SDN",7,-3.581,-3.545
"Rubella","NER",1,-3.57,-3.537
"Rubella","KIR",4,-3.569,-3.538
"Rubella","CUB",2,-3.55,-3.52
"Typhoid","HND",2,-3.55,-3.518
"Rubella","TZA",1,-3.547,-3.517
"Rubella","CHN",3,-3.546,-3.518
"Rubella","SDN",3,-3.545,-3.51
"Rubella","IND",2,-3.544,-3.511
"Cholera","MWI",2,-3.543,-3.522
"Cholera","MOZ",2,-3.532,-3.507
"Rubella","NPL",6,-3.532,-3.503
"Cholera","AFG",3,-3.53,-3.505
"Rubella","MHL",4,-3.524,-3.492
"Rubella","COD",2,-3.516,-3.482
"Cholera","MOZ",3,-3.507,-3.483
"Rubella","BFA",7,-3.502,-3.469
"Cholera","MWI",5,-3.501,-3.48
"Rubella","LCA",5,-3.494,-3.465
"Rubella","CHN",4,-3.49,-3.462
"Rubella","LKA",3,-3.481,-3.453
"Rubella","SEN",5,-3.479,-3.452
"Rubella","SOM",2,-3.476,-3.447
"Rubella","UZB",5,-3.463,-3.433
"Rubella","ZMB",3,-3.45,-3.416
"Rubella","COD",2,-3.447,-3.413
"Rubella","NER",2,-3.439,-3.406
"Cholera","MWI",1,-3.438,-3.416
"Rubella","ETH",2,-3.435,-3.404
"Cholera","MOZ",4,-3.434,-3.409
