"disease","Counts","lower_bound","upper_bound"
"Cholera",1,-1.296,-1.282
"Cholera",1,-1.248,-1.236
"Cholera",1,-1.111,-1.1
"Cholera",1,-1.054,-1.043
"Cholera",1,-1.043,-1.031
"Cholera",3,-1.031,-1.02
"Cholera",1,-1.02,-1.008
"Cholera",2,-0.9969,-0.9855
"Cholera",1,-0.9855,-0.9741
"Cholera",1,-0.9741,-0.9628
"Cholera",1,-0.9628,-0.9514
"Cholera",1,-0.94,-0.9286
"Cholera",2,-0.9286,-0.9172
"Cholera",1,-0.9172,-0.9058
"Cholera",1,-0.9058,-0.8944
"Cholera",1,-0.883,-0.8716
"Cholera",1,-0.8602,-0.8488
"Cholera",3,-0.826,-0.8146
"Cholera",1,-0.8146,-0.8032
"Cholera",2,-0.8032,-0.7918
"Rubella",1,-0.7938,-0.7815
"Cholera",4,-0.7918,-0.7804
"Cholera",3,-0.7804,-0.769
"Cholera",3,-0.769,-0.7576
"Cholera",2,-0.7576,-0.7462
"Cholera",5,-0.7348,-0.7234
"Cholera",4,-0.7234,-0.712
"Cholera",5,-0.712,-0.7006
"Cholera",3,-0.7006,-0.6892
"Cholera",2,-0.6892,-0.6778
"Cholera",5,-0.6778,-0.6664
"Cholera",3,-0.6664,-0.655
"Cholera",3,-0.655,-0.6436
"Rubella",1,-0.6483,-0.638
"Cholera",2,-0.6436,-0.6322
"Cholera",5,-0.6322,-0.6208
"Cholera",2,-0.6208,-0.6094
"Cholera",1,-0.6094,-0.598
"Cholera",7,-0.598,-0.5866
"Cholera",4,-0.5866,-0.5753
"Cholera",6,-0.5753,-0.5639
"Rubella",1,-0.5663,-0.556
"Cholera",3,-0.5639,-0.5525
"Cholera",7,-0.5525,-0.5411
"Rubella",1,-0.5458,-0.5355
"Cholera",4,-0.5411,-0.5297
"Cholera",4,-0.5297,-0.5183
"Cholera",6,-0.5183,-0.5069
"Cholera",6,-0.5069,-0.4955
"Cholera",10,-0.4955,-0.4841
"Cholera",4,-0.4841,-0.4727
"Cholera",5,-0.4727,-0.4613
"Cholera",7,-0.4613,-0.4499
"Cholera",5,-0.4499,-0.4385
"Cholera",6,-0.4385,-0.4271
"Cholera",8,-0.4271,-0.4157
"Cholera",3,-0.4157,-0.4043
"Cholera",6,-0.4043,-0.3929
"Cholera",14,-0.3929,-0.3815
"Cholera",7,-0.3815,-0.3701
"Cholera",12,-0.3701,-0.3587
"Cholera",9,-0.3587,-0.3473
"Cholera",9,-0.3473,-0.3359
"Cholera",6,-0.3359,-0.3245
"Cholera",3,-0.3245,-0.3131
"Cholera",7,-0.3131,-0.3017
"Cholera",6,-0.3017,-0.2903
"Cholera",5,-0.2903,-0.2789
"Cholera",5,-0.2789,-0.2675
"Cholera",10,-0.2675,-0.2561
"Rubella",1,-0.2588,-0.2486
"Cholera",14,-0.2561,-0.2447
"Cholera",8,-0.2447,-0.2333
"Rubella",2,-0.2383,-0.2281
"Cholera",6,-0.2333,-0.2219
"Cholera",12,-0.2219,-0.2105
"Cholera",5,-0.2105,-0.1991
"Rubella",1,-0.2076,-0.1973
"Cholera",9,-0.1991,-0.1878
"Cholera",3,-0.1878,-0.1764
"Rubella",1,-0.1871,-0.1768
"Cholera",9,-0.1764,-0.165
"Cholera",9,-0.165,-0.1536
"Rubella",1,-0.1563,-0.1461
"Cholera",10,-0.1536,-0.1422
"Rubella",1,-0.1461,-0.1358
"Cholera",10,-0.1422,-0.1308
"Cholera",6,-0.1308,-0.1194
"Cholera",9,-0.1194,-0.108
"Cholera",6,-0.108,-0.09657
"Rubella",1,-0.1051,-0.09484
"Cholera",6,-0.09657,-0.08518
"Rubella",1,-0.09484,-0.08459
"Cholera",11,-0.08518,-0.07378
"Rubella",1,-0.08459,-0.07434
"Cholera",6,-0.07378,-0.06238
"Cholera",6,-0.06238,-0.05099
"Cholera",8,-0.05099,-0.03959
"Cholera",6,-0.03959,-0.02819
"Cholera",8,-0.02819,-0.01679
"Cholera",10,-0.01679,-0.005397
"Cholera",14,-0.005397,0.006
"Cholera",9,0.006,0.0174
"Rubella",1,0.007653,0.0179
"Cholera",6,0.0174,0.02879
"Cholera",13,0.02879,0.04019
"Cholera",5,0.04019,0.05159
"Cholera",6,0.05159,0.06299
"Cholera",12,0.06299,0.07438
"Cholera",10,0.07438,0.08578
"Cholera",10,0.08578,0.09718
"Cholera",6,0.09718,0.1086
"Cholera",10,0.1086,0.12
"Rubella",1,0.1101,0.1204
"Cholera",11,0.12,0.1314
"Cholera",8,0.1314,0.1428
"Cholera",6,0.1428,0.1542
"Cholera",11,0.1542,0.1656
"Cholera",10,0.1656,0.177
"Rubella",1,0.1716,0.1819
"Cholera",4,0.177,0.1884
"Rubella",2,0.1819,0.1921
"Cholera",11,0.1884,0.1998
"Typhoid",1,0.1995,0.2055
"Cholera",10,0.1998,0.2111
"Rubella",2,0.2024,0.2126
"Cholera",9,0.2111,0.2225
"Cholera",8,0.2225,0.2339
"Rubella",2,0.2229,0.2331
"Rubella",2,0.2331,0.2434
"Cholera",8,0.2339,0.2453
"Rubella",1,0.2434,0.2536
"Cholera",3,0.2453,0.2567
"Typhoid",1,0.2505,0.2555
"Cholera",4,0.2567,0.2681
"Rubella",3,0.2639,0.2741
"Cholera",8,0.2681,0.2795
"Rubella",2,0.2741,0.2844
"Cholera",9,0.2795,0.2909
"Rubella",3,0.2844,0.2946
"Cholera",7,0.2909,0.3023
"Rubella",5,0.2946,0.3049
"Cholera",11,0.3023,0.3137
"Rubella",3,0.3049,0.3151
"Cholera",10,0.3137,0.3251
"Rubella",1,0.3151,0.3254
"Cholera",11,0.3251,0.3365
"Rubella",2,0.3254,0.3356
"Typhoid",1,0.3304,0.3354
"Rubella",1,0.3356,0.3459
"Cholera",8,0.3365,0.3479
"Rubella",3,0.3459,0.3561
"Cholera",8,0.3479,0.3593
"Rubella",9,0.3561,0.3664
"Cholera",9,0.3593,0.3707
"Typhoid",1,0.3654,0.3704
"Rubella",4,0.3664,0.3766
"Typhoid",3,0.3704,0.3754
"Cholera",5,0.3707,0.3821
"Typhoid",1,0.3754,0.3804
"Rubella",1,0.3766,0.3869
"Typhoid",1,0.3804,0.3854
"Cholera",9,0.3821,0.3935
"Rubella",5,0.3869,0.3971
"Cholera",5,0.3935,0.4049
"Rubella",6,0.3971,0.4074
"Cholera",6,0.4049,0.4163
"Rubella",6,0.4074,0.4176
"Typhoid",1,0.4103,0.4153
"Cholera",9,0.4163,0.4277
"Rubella",5,0.4176,0.4279
"Typhoid",1,0.4203,0.4253
"Cholera",11,0.4277,0.4391
"Rubella",8,0.4279,0.4381
"Typhoid",2,0.4303,0.4353
"Rubella",3,0.4381,0.4484
"Cholera",8,0.4391,0.4505
"Typhoid",1,0.4403,0.4453
"Typhoid",1,0.4453,0.4503
"Rubella",3,0.4484,0.4586
"Cholera",4,0.4505,0.4619
"Typhoid",1,0.4553,0.4603
"COVID-19",1,0.4566,0.4584
"YF",1,0.457,0.4663
"Rubella",6,0.4586,0.4689
"Typhoid",1,0.4603,0.4653
"Cholera",9,0.4619,0.4733
"Typhoid",1,0.4653,0.4703
"COVID-19",1,0.4672,0.4686
"Rubella",8,0.4689,0.4791
"Typhoid",1,0.4703,0.4753
"Cholera",11,0.4733,0.4847
"YF",1,0.474,0.4817
"Typhoid",2,0.4753,0.4803
"COVID-19",1,0.4759,0.4774
"COVID-19",1,0.4774,0.4788
"Rubella",2,0.4791,0.4894
"Cholera",8,0.4847,0.4961
"Typhoid",1,0.4853,0.4903
"COVID-19",1,0.4861,0.4876
"Rubella",3,0.4894,0.4996
"COVID-19",1,0.492,0.4934
"COVID-19",1,0.4934,0.4949
"COVID-19",4,0.4949,0.4963
"Typhoid",2,0.4953,0.5003
"Cholera",10,0.4961,0.5075
"COVID-19",1,0.4963,0.4978
"COVID-19",1,0.4978,0.4993
"Rubella",2,0.4996,0.5099
"Typhoid",2,0.5003,0.5053
"COVID-19",1,0.5022,0.5036
"Typhoid",3,0.5053,0.5103
"COVID-19",1,0.5066,0.508
"Cholera",9,0.5075,0.5189
"COVID-19",2,0.508,0.5095
"COVID-19",3,0.5095,0.5109
"Rubella",4,0.5099,0.5201
"Typhoid",2,0.5103,0.5153
"COVID-19",2,0.5109,0.5124
"COVID-19",3,0.5124,0.5139
"COVID-19",2,0.5139,0.5153
"Typhoid",1,0.5153,0.5203
"COVID-19",2,0.5168,0.5182
"COVID-19",2,0.5182,0.5197
"Cholera",8,0.5189,0.5303
"COVID-19",1,0.5197,0.5212
"Rubella",6,0.5201,0.5304
"Typhoid",2,0.5203,0.5253
"COVID-19",2,0.5212,0.5226
"COVID-19",3,0.5226,0.5241
"Typhoid",3,0.5253,0.5303
"COVID-19",2,0.5255,0.527
"COVID-19",1,0.527,0.5285
"COVID-19",3,0.5285,0.5299
"COVID-19",1,0.5299,0.5314
"Cholera",8,0.5303,0.5417
"Typhoid",3,0.5303,0.5353
"Rubella",5,0.5304,0.5406
"COVID-19",1,0.5328,0.5343
"COVID-19",3,0.5343,0.5358
"Typhoid",3,0.5353,0.5403
"COVID-19",3,0.5358,0.5372
"COVID-19",4,0.5372,0.5387
"COVID-19",4,0.5387,0.5401
"COVID-19",2,0.5401,0.5416
"Typhoid",3,0.5403,0.5453
"Rubella",4,0.5406,0.5509
"COVID-19",7,0.5416,0.5431
"Cholera",4,0.5417,0.5531
"COVID-19",6,0.5431,0.5445
"COVID-19",4,0.5445,0.546
"Typhoid",4,0.5453,0.5503
"COVID-19",3,0.546,0.5474
"COVID-19",2,0.5474,0.5489
"COVID-19",4,0.5489,0.5504
"Typhoid",5,0.5503,0.5553
"COVID-19",4,0.5504,0.5518
"Rubella",4,0.5509,0.5611
"COVID-19",6,0.5518,0.5533
"Cholera",4,0.5531,0.5645
"COVID-19",6,0.5533,0.5547
"COVID-19",8,0.5547,0.5562
"Typhoid",6,0.5553,0.5602
"COVID-19",5,0.5562,0.5576
"COVID-19",6,0.5576,0.5591
"COVID-19",9,0.5591,0.5606
"Typhoid",5,0.5602,0.5652
"COVID-19",8,0.5606,0.562
"Rubella",6,0.5611,0.5714
"COVID-19",9,0.562,0.5635
"COVID-19",6,0.5635,0.5649
"Cholera",10,0.5645,0.5759
"COVID-19",7,0.5649,0.5664
"Typhoid",4,0.5652,0.5702
"COVID-19",7,0.5664,0.5679
"COVID-19",12,0.5679,0.5693
"COVID-19",7,0.5693,0.5708
"Typhoid",5,0.5702,0.5752
"COVID-19",13,0.5708,0.5722
"Rubella",3,0.5714,0.5816
"COVID-19",12,0.5722,0.5737
"COVID-19",14,0.5737,0.5752
"COVID-19",10,0.5752,0.5766
"Typhoid",7,0.5752,0.5802
"Cholera",5,0.5759,0.5873
"COVID-19",11,0.5766,0.5781
"COVID-19",7,0.5781,0.5795
"COVID-19",7,0.5795,0.581
"Typhoid",5,0.5802,0.5852
"COVID-19",6,0.581,0.5825
"Rubella",5,0.5816,0.5918
"COVID-19",13,0.5825,0.5839
"COVID-19",7,0.5839,0.5854
"Typhoid",5,0.5852,0.5902
"COVID-19",12,0.5854,0.5868
"COVID-19",8,0.5868,0.5883
"Cholera",7,0.5873,0.5986
"COVID-19",10,0.5883,0.5898
"COVID-19",14,0.5898,0.5912
"Typhoid",5,0.5902,0.5952
"COVID-19",11,0.5912,0.5927
"Rubella",1,0.5918,0.6021
"COVID-19",14,0.5927,0.5941
"COVID-19",15,0.5941,0.5956
"Typhoid",4,0.5952,0.6002
"COVID-19",10,0.5956,0.5971
"COVID-19",11,0.5971,0.5985
"COVID-19",12,0.5985,0.6
"Cholera",7,0.5986,0.61
"COVID-19",11,0.6,0.6014
"Typhoid",5,0.6002,0.6052
"COVID-19",12,0.6014,0.6029
"Rubella",1,0.6021,0.6123
"COVID-19",13,0.6029,0.6044
"COVID-19",21,0.6044,0.6058
"Typhoid",5,0.6052,0.6102
"COVID-19",14,0.6058,0.6073
"COVID-19",13,0.6073,0.6087
"COVID-19",13,0.6087,0.6102
"Cholera",7,0.61,0.6214
"COVID-19",12,0.6102,0.6117
"Typhoid",4,0.6102,0.6152
"COVID-19",16,0.6117,0.6131
"Rubella",5,0.6123,0.6226
"COVID-19",9,0.6131,0.6146
"YF",1,0.6134,0.6211
"COVID-19",13,0.6146,0.616
"Typhoid",2,0.6152,0.6202
"COVID-19",7,0.616,0.6175
"COVID-19",11,0.6175,0.6189
"COVID-19",13,0.6189,0.6204
"Typhoid",6,0.6202,0.6252
"COVID-19",12,0.6204,0.6219
"Cholera",9,0.6214,0.6328
"COVID-19",14,0.6219,0.6233
"Rubella",5,0.6226,0.6328
"COVID-19",14,0.6233,0.6248
"COVID-19",7,0.6248,0.6262
"Typhoid",6,0.6252,0.6302
"COVID-19",8,0.6262,0.6277
"COVID-19",9,0.6277,0.6292
"COVID-19",10,0.6292,0.6306
"Typhoid",7,0.6302,0.6352
"COVID-19",12,0.6306,0.6321
"COVID-19",12,0.6321,0.6335
