"disease","subregion","Counts","lower_bound","upper_bound"
"Typhoid","Oceania",84,-0.4945,10.06
"Cholera","Latin America and the Caribbean",345,-0.461,2.344
"Typhoid","Southern Africa",210,-0.4251,2.693
"Malaria","Northern Africa and Western Asia",2,-0.1794,4.032
"Cholera","Northern Africa and Western Asia",416,-0.1472,0.7897
"Typhoid","Eastern and Southern Europe",519,-0.1065,0.5405
"Cholera","Eastern Africa",111,-0.07273,0.4129
"Rubella","Southern Africa",4,-0.0629,0.4682
"Typhoid","Northern Africa and Western Asia",20,-0.03232,1.963
"Cholera","Western Africa",175,-0.01157,0.0602
"JE","Oceania",16,-0.00969,0.1947
"Cholera","Central and Southern Asia",437,-0.003894,0.02125
"Cholera","Central and Southern Asia",20,0.02125,0.04221
"Cholera","Central and Southern Asia",23,0.04221,0.06317
"Cholera","Western Africa",67,0.0602,0.12
"Cholera","Middle Africa",5,0.06576,0.209
"Cholera","Central and Southern Asia",2,0.08412,0.1051
"Cholera","Central and Southern Asia",2,0.1051,0.126
"Cholera","Western Africa",34,0.12,0.1798
"YF","Northern Africa and Western Asia",96,0.128,2.889
"Cholera","Central and Southern Asia",6,0.1679,0.1889
"Cholera","Western Africa",28,0.1798,0.2396
"Cholera","Central and Southern Asia",1,0.1889,0.2099
"Cholera","Middle Africa",10,0.209,0.3284
"Cholera","Central and Southern Asia",2,0.2308,0.2518
"Cholera","Western Africa",24,0.2396,0.2995
"Cholera","Central and Southern Asia",3,0.2937,0.3146
"Cholera","Western Africa",8,0.2995,0.3593
"Cholera","Middle Africa",20,0.3284,0.4478
"Cholera","Central and Southern Asia",3,0.3356,0.3566
"Cholera","Western Africa",29,0.3593,0.4191
"JE","Oceania",8,0.365,0.5353
"Typhoid","Central and Southern Asia",1,0.3958,0.615
"Cholera","Eastern Africa",57,0.4129,0.8177
"Cholera","Western Africa",12,0.4191,0.4789
"Cholera","Middle Africa",31,0.4478,0.5672
"Rubella","Southern Africa",8,0.4682,0.9108
"Rota","Eastern and Southern Europe",1,0.4728,0.6334
"Cholera","Western Africa",15,0.4789,0.5387
"Rubella","Middle Africa",3,0.5176,1.566
"JE","Oceania",5,0.5353,0.7057
"Cholera","Western Africa",4,0.5387,0.5985
"Typhoid","Eastern and Southern Europe",137,0.5405,1.08
"Cholera","Middle Africa",29,0.5672,0.6866
"Cholera","Western Africa",17,0.5985,0.6583
"Typhoid","Central and Southern Asia",1,0.615,0.7977
"Typhoid","Eastern and South-Eastern Asia",13,0.6463,1.495
"Cholera","Western Africa",6,0.6583,0.7181
"COVID-19","Oceania",2,0.6677,0.6908
"Cholera","Middle Africa",37,0.6866,0.806
"JE","Oceania",3,0.7057,0.876
"Cholera","Western Africa",18,0.7181,0.778
"Typhoid","Latin America and the Caribbean",10,0.7492,1.247
"Rota","Eastern and Southern Europe",3,0.7672,0.9011
"COVID-19","Oceania",1,0.7677,0.7869
"Cholera","Central and Southern Asia",3,0.7757,0.7966
"Cholera","Western Africa",4,0.778,0.8378
"COVID-19","Oceania",1,0.7869,0.8061
"Cholera","Northern Africa and Western Asia",20,0.7897,1.571
"Typhoid","Central and Southern Asia",4,0.7977,0.9803
"Cholera","Middle Africa",25,0.806,0.9254
