"disease","subregion","activity_type","Counts","lower_bound","upper_bound"
"Typhoid","Oceania","campaign",172,-1.377,11.72
"Typhoid","Southern Africa","routine",525,-1.201,9.198
"Typhoid","Northern Africa and Western Asia","routine",136,-0.8755,6.488
"Typhoid","Eastern and Southern Europe","routine",612,-0.4609,2.307
"YF","Northern Africa and Western Asia","routine",148,-0.3497,8.859
"Rubella","Southern Africa","campaign",64,-0.2644,1.382
"Rubella","Middle Africa","campaign",42,-0.2615,1.553
"JE","Oceania","routine",13,-0.2158,1.323
"Cholera","Latin America and the Caribbean","campaign",93,-0.132,0.7477
"Typhoid","Southern Africa","campaign",190,-0.1189,1.755
"Typhoid","Eastern and Southern Europe","campaign",472,-0.06814,0.3492
"Typhoid","Middle Africa","campaign",20,-0.05512,13.47
"Rubella","Eastern and Southern Europe","campaign",6,-0.0509,0.4184
"JE","Eastern and South-Eastern Asia","campaign",249,-0.0502,0.4347
"Cholera","Northern Africa and Western Asia","campaign",77,-0.02666,0.2969
"Cholera","Central and Southern Asia","campaign",98,-0.002043,0.0135
"Cholera","Western Africa","campaign",20,-0.0008273,0.03968
"JE","Oceania","campaign",518,-0.000386,0.1292
"Cholera","Central and Southern Asia","campaign",7,0.0135,0.02646
"Cholera","Eastern Africa","campaign",3,0.0243,0.2127
"Cholera","Central and Southern Asia","campaign",5,0.02646,0.03941
"Cholera","Central and Southern Asia","campaign",2,0.03941,0.05237
"Cholera","Western Africa","campaign",11,0.03968,0.07344
"Cholera","Central and Southern Asia","campaign",2,0.05237,0.06532
"Cholera","Central and Southern Asia","campaign",1,0.06532,0.07828
"Cholera","Western Africa","campaign",10,0.07344,0.1072
"Rubella","Oceania","routine",1,0.08724,0.6137
"Cholera","Central and Southern Asia","campaign",2,0.1042,0.1171
"Rubella","Northern Africa and Western Asia","campaign",2,0.1052,0.6115
"Cholera","Western Africa","campaign",8,0.1072,0.141
"COVID-19","Eastern and Southern Europe","routine",2,0.1152,0.1295
"JE","Oceania","campaign",9,0.1292,0.2372
"COVID-19","Eastern and Southern Europe","routine",1,0.1295,0.1415
"YF","Eastern Africa","campaign",5,0.1325,0.3564
"Cholera","Western Africa","campaign",7,0.141,0.1747
"COVID-19","Eastern and Southern Europe","routine",3,0.1415,0.1535
"Cholera","Central and Southern Asia","campaign",1,0.1431,0.156
"COVID-19","Eastern and Southern Europe","routine",2,0.1535,0.1654
"JE","Central and Southern Asia","campaign",70,0.1568,0.3295
"COVID-19","Eastern and Southern Europe","routine",7,0.1654,0.1774
"Cholera","Western Africa","campaign",2,0.1747,0.2085
"COVID-19","Eastern and Southern Europe","routine",5,0.1774,0.1893
"COVID-19","Eastern and Southern Europe","routine",5,0.1893,0.2013
"COVID-19","Oceania","routine",1,0.1944,0.2119
"COVID-19","Eastern and Southern Europe","routine",6,0.2013,0.2133
"YF","Northern Africa and Western Asia","campaign",79,0.2051,1.916
"Cholera","Central and Southern Asia","campaign",37,0.2078,0.2208
"Cholera","Western Africa","campaign",8,0.2085,0.2422
"Cholera","Eastern Africa","campaign",10,0.2127,0.3697
"COVID-19","Eastern and Southern Europe","routine",7,0.2133,0.2252
"Cholera","Central and Southern Asia","campaign",13,0.2208,0.2337
"COVID-19","Eastern and Southern Europe","routine",5,0.2252,0.2372
"COVID-19","Oceania","routine",2,0.2265,0.2411
"Typhoid","Northern Africa and Western Asia","campaign",23,0.2274,1.512
"Cholera","Middle Africa","campaign",1,0.2336,0.293
"Cholera","Central and Southern Asia","campaign",3,0.2337,0.2467
"COVID-19","Eastern and Southern Europe","routine",2,0.2372,0.2491
"JE","Oceania","campaign",1,0.2372,0.3451
"COVID-19","Oceania","routine",2,0.2411,0.2557
"Cholera","Western Africa","campaign",5,0.2422,0.276
"Cholera","Central and Southern Asia","campaign",2,0.2467,0.2597
"COVID-19","Eastern and Southern Europe","routine",10,0.2491,0.2611
"COVID-19","Oceania","routine",1,0.2557,0.2703
"Cholera","Central and Southern Asia","campaign",1,0.2597,0.2726
"COVID-19","Eastern and Southern Europe","routine",16,0.2611,0.2731
"COVID-19","Oceania","routine",1,0.2703,0.2849
"COVID-19","Eastern and Southern Europe","routine",10,0.2731,0.285
"Cholera","Western Africa","campaign",6,0.276,0.3098
"COVID-19","Oceania","routine",1,0.2849,0.2995
"COVID-19","Eastern and Southern Europe","routine",17,0.285,0.297
"Cholera","Central and Southern Asia","campaign",1,0.2856,0.2985
"Cholera","Northern Africa and Western Asia","campaign",8,0.2969,0.5665
"COVID-19","Eastern and Southern Europe","routine",17,0.297,0.309
"COVID-19","Oceania","routine",1,0.2995,0.3141
"COVID-19","Eastern and Southern Europe","routine",9,0.309,0.3209
"Cholera","Western Africa","campaign",1,0.3098,0.3435
"Cholera","Central and Southern Asia","campaign",1,0.3115,0.3244
"COVID-19","Oceania","routine",3,0.3141,0.3287
"Typhoid","Eastern and South-Eastern Asia","routine",56,0.3168,1.782
"COVID-19","Eastern and Southern Europe","routine",14,0.3209,0.3329
"Cholera","Central and Southern Asia","campaign",38,0.3244,0.3374
"COVID-19","Oceania","routine",5,0.3287,0.3433
"JE","Central and Southern Asia","campaign",46,0.3295,0.4734
"COVID-19","Eastern and Southern Europe","routine",12,0.3329,0.3448
"Cholera","Central and Southern Asia","campaign",20,0.3374,0.3503
"Cholera","Middle Africa","campaign",2,0.3425,0.392
"COVID-19","Oceania","routine",3,0.3433,0.3579
"Cholera","Western Africa","campaign",5,0.3435,0.3773
"COVID-19","Eastern and Southern Europe","routine",12,0.3448,0.3568
"JE","Oceania","campaign",7,0.3451,0.4531
"Typhoid","Eastern and Southern Europe","campaign",150,0.3492,0.6971
"Cholera","Central and Southern Asia","campaign",4,0.3503,0.3633
"YF","Eastern Africa","campaign",8,0.3564,0.5429
"COVID-19","Eastern and Southern Europe","routine",15,0.3568,0.3688
"COVID-19","Oceania","routine",6,0.3579,0.3725
"Cholera","Central and Southern Asia","campaign",1,0.3633,0.3763
"COVID-19","Eastern and Southern Europe","routine",8,0.3688,0.3807
"Cholera","Eastern Africa","campaign",16,0.3697,0.5267
"COVID-19","Oceania","routine",6,0.3725,0.3871
"Cholera","Central and Southern Asia","campaign",1,0.3763,0.3892
"Cholera","Western Africa","campaign",4,0.3773,0.411
"COVID-19","Eastern and Southern Europe","routine",7,0.3807,0.3927
"COVID-19","Oceania","routine",4,0.3871,0.4017
"COVID-19","Eastern and Southern Europe","routine",14,0.3927,0.4046
"COVID-19","Oceania","routine",9,0.4017,0.4162
"COVID-19","Eastern and Southern Europe","routine",13,0.4046,0.4166
"Cholera","Western Africa","campaign",1,0.411,0.4448
"Cholera","Central and Southern Asia","campaign",1,0.4151,0.4281
"COVID-19","Oceania","routine",6,0.4162,0.4308
"COVID-19","Eastern and Southern Europe","routine",10,0.4166,0.4286
"COVID-19","Eastern and Southern Europe","routine",9,0.4286,0.4405
"Typhoid","Latin America and the Caribbean","campaign",10,0.4288,0.9356
"COVID-19","Oceania","routine",6,0.4308,0.4454
"JE","Eastern and South-Eastern Asia","campaign",35,0.4347,0.8387
"COVID-19","Eastern and Southern Europe","routine",15,0.4405,0.4525
"Cholera","Middle Africa","campaign",1,0.4414,0.4909
"Typhoid","Eastern and South-Eastern Asia","campaign",7,0.4445,0.8011
"Cholera","Western Africa","campaign",4,0.4448,0.4785
"COVID-19","Oceania","routine",4,0.4454,0.46
"COVID-19","Eastern and Southern Europe","routine",8,0.4525,0.4645
"COVID-19","Oceania","routine",6,0.46,0.4746
"COVID-19","Eastern and Southern Europe","routine",15,0.4645,0.4764
"JE","Central and Southern Asia","campaign",48,0.4734,0.6173
"COVID-19","Oceania","routine",4,0.4746,0.4892
"COVID-19","Eastern and Southern Europe","routine",9,0.4764,0.4884
"Cholera","Western Africa","campaign",1,0.4785,0.5123
"COVID-19","Eastern and Southern Europe","routine",7,0.4884,0.5003
"COVID-19","Oceania","routine",4,0.4892,0.5038
"Cholera","Middle Africa","campaign",2,0.4909,0.5404
"COVID-19","Eastern and Southern Europe","routine",3,0.5003,0.5123
"Rota","Eastern and Southern Europe","routine",2,0.5029,0.6797
"COVID-19","Oceania","routine",7,0.5038,0.5184
"COVID-19","Eastern and Southern Europe","routine",10,0.5123,0.5243
"Cholera","Western Africa","campaign",3,0.5123,0.5461
"COVID-19","Oceania","routine",7,0.5184,0.533
"COVID-19","Eastern and Southern Europe","routine",6,0.5243,0.5362
"Cholera","Eastern Africa","campaign",13,0.5267,0.6837
"Cholera","Central and Southern Asia","campaign",1,0.5317,0.5447
"COVID-19","Oceania","routine",6,0.533,0.5476
"COVID-19","Eastern and Southern Europe","routine",8,0.5362,0.5482
"Cholera","Middle Africa","campaign",3,0.5404,0.5899
"YF","Eastern Africa","campaign",9,0.5429,0.7294
"Cholera","Western Africa","campaign",7,0.5461,0.5798
"COVID-19","Oceania","routine",8,0.5476,0.5622
"COVID-19","Eastern and Southern Europe","routine",12,0.5482,0.5601
"COVID-19","Eastern and Southern Europe","routine",7,0.5601,0.5721
"JE","Oceania","campaign",10,0.5611,0.6691
"COVID-19","Oceania","routine",7,0.5622,0.5768
"Cholera","Northern Africa and Western Asia","campaign",7,0.5665,0.8361
"COVID-19","Eastern and Southern Europe","routine",7,0.5721,0.5841
"COVID-19","Central and Southern Asia","routine",1,0.574,0.5892
"COVID-19","Oceania","routine",6,0.5768,0.5914
"Cholera","Western Africa","campaign",6,0.5798,0.6136
"Cholera","Central and Southern Asia","campaign",1,0.5835,0.5965
"COVID-19","Eastern and Southern Europe","routine",4,0.5841,0.596
"COVID-19","Eastern and South-Eastern Asia","routine",1,0.5867,0.5943
"Cholera","Middle Africa","campaign",5,0.5899,0.6394
"COVID-19","Oceania","routine",10,0.5914,0.606
"COVID-19","Eastern and Southern Europe","routine",17,0.596,0.608
"Cholera","Central and Southern Asia","campaign",15,0.5965,0.6094
"COVID-19","Central and Southern Asia","routine",1,0.602,0.6147
"COVID-19","Oceania","routine",5,0.606,0.6206
"COVID-19","Eastern and Southern Europe","routine",12,0.608,0.62
"Cholera","Central and Southern Asia","campaign",40,0.6094,0.6224
"Rubella","Northern Africa and Western Asia","campaign",6,0.6115,1.033
"Cholera","Western Africa","campaign",7,0.6136,0.6473
"JE","Central and Southern Asia","campaign",40,0.6173,0.7612
"COVID-19","Eastern and Southern Europe","routine",9,0.62,0.6319
"COVID-19","Oceania","routine",6,0.6206,0.6352
"Typhoid","Central and Southern Asia","campaign",6,0.6207,0.7472
"Typhoid","Central and Southern Asia","routine",6,0.622,1.09
"Cholera","Central and Southern Asia","campaign",3,0.6224,0.6354
"COVID-19","Eastern and South-Eastern Asia","routine",1,0.6261,0.6325
"COVID-19","Eastern and Southern Europe","routine",12,0.6319,0.6439
"COVID-19","Oceania","routine",10,0.6352,0.6498
"Cholera","Central and Southern Asia","campaign",4,0.6354,0.6483
"COVID-19","Eastern and South-Eastern Asia","routine",1,0.6389,0.6452
"Cholera","Middle Africa","campaign",1,0.6394,0.6889
"Typhoid","Oceania","routine",78,0.6425,10.04
"COVID-19","Eastern and Southern Europe","routine",7,0.6439,0.6558
"COVID-19","Eastern and South-Eastern Asia","routine",1,0.6452,0.6516
"Cholera","Western Africa","campaign",15,0.6473,0.6811
"Cholera","Central and Southern Asia","campaign",2,0.6483,0.6613
"COVID-19","Oceania","routine",15,0.6498,0.6644
"COVID-19","Eastern and Southern Europe","routine",5,0.6558,0.6678
"COVID-19","Eastern and South-Eastern Asia","routine",2,0.6579,0.6643
"Cholera","Central and Southern Asia","campaign",1,0.6613,0.6742
"COVID-19","Eastern and South-Eastern Asia","routine",1,0.6643,0.6707
"COVID-19","Oceania","routine",14,0.6644,0.679
"COVID-19","Eastern and Southern Europe","routine",5,0.6678,0.6798
"COVID-19","Southern Africa","routine",1,0.6679,0.7146
"JE","Oceania","campaign",10,0.6691,0.777
