"disease","subregion","Counts","lower_bound","upper_bound"
"Cholera","Central and Southern Asia",3,-3.53,-3.505
"Cholera","Central and Southern Asia",1,-3.402,-3.381
"Cholera","Central and Southern Asia",2,-3.381,-3.36
"Cholera","Central and Southern Asia",2,-3.36,-3.339
"Cholera","Central and Southern Asia",2,-3.298,-3.277
"Cholera","Central and Southern Asia",1,-3.277,-3.256
"Cholera","Central and Southern Asia",1,-3.256,-3.235
"Cholera","Central and Southern Asia",4,-3.235,-3.215
"Cholera","Central and Southern Asia",2,-3.215,-3.194
"Cholera","Central and Southern Asia",6,-3.173,-3.152
"Cholera","Central and Southern Asia",4,-3.152,-3.131
"Cholera","Central and Southern Asia",7,-3.111,-3.09
"Cholera","Central and Southern Asia",5,-3.069,-3.048
"Cholera","Western Africa",5,-3.028,-3.004
"Cholera","Central and Southern Asia",4,-3.007,-2.986
"Cholera","Central and Southern Asia",4,-2.986,-2.965
"Cholera","Western Africa",4,-2.983,-2.963
"Cholera","Central and Southern Asia",6,-2.965,-2.944
"Cholera","Western Africa",6,-2.963,-2.942
"Cholera","Central and Southern Asia",1,-2.944,-2.924
"Cholera","Central and Southern Asia",6,-2.924,-2.903
"Cholera","Central and Southern Asia",3,-2.903,-2.882
"Cholera","Central and Southern Asia",10,-2.882,-2.861
"Typhoid","Eastern and Southern Europe",1,-2.88,-2.853
"Cholera","Central and Southern Asia",7,-2.861,-2.84
"Cholera","Central and Southern Asia",1,-2.82,-2.799
"Cholera","Western Africa",4,-2.799,-2.778
"Cholera","Central and Southern Asia",4,-2.799,-2.778
"Typhoid","Eastern and Southern Europe",4,-2.786,-2.764
"Cholera","Central and Southern Asia",4,-2.778,-2.757
"Cholera","Central and Southern Asia",9,-2.757,-2.737
"Cholera","Central and Southern Asia",4,-2.737,-2.716
"Cholera","Western Africa",2,-2.717,-2.696
"Cholera","Central and Southern Asia",4,-2.716,-2.695
"Typhoid","Eastern and Southern Europe",6,-2.697,-2.675
"Cholera","Western Africa",2,-2.696,-2.676
"Cholera","Central and Southern Asia",8,-2.695,-2.674
"Cholera","Central and Southern Asia",13,-2.674,-2.653
"Cholera","Western Africa",2,-2.655,-2.635
"Cholera","Central and Southern Asia",9,-2.653,-2.633
"Cholera","Central and Southern Asia",8,-2.612,-2.591
"Cholera","Central and Southern Asia",12,-2.591,-2.57
"Cholera","Central and Southern Asia",4,-2.57,-2.55
"Cholera","Central and Southern Asia",6,-2.55,-2.529
"Cholera","Central and Southern Asia",9,-2.529,-2.508
"Cholera","Western Africa",2,-2.512,-2.491
"Cholera","Central and Southern Asia",6,-2.508,-2.487
"Typhoid","Eastern and Southern Europe",2,-2.496,-2.474
"Cholera","Central and Southern Asia",11,-2.487,-2.466
"Cholera","Central and Southern Asia",9,-2.466,-2.446
