"disease","Counts","lower_bound","upper_bound"
"Cholera",3,0.02717,0.03549
"Cholera",8,0.03549,0.04242
"Cholera",4,0.04242,0.04935
"Cholera",1,0.04935,0.05628
"Cholera",6,0.05628,0.06321
"Cholera",5,0.06321,0.07014
"JE",1,0.06862,0.07084
"Cholera",4,0.07014,0.07707
"JE",1,0.07084,0.07269
"JE",1,0.07269,0.07454
"JE",1,0.07454,0.07639
"JE",1,0.07639,0.07824
"Cholera",13,0.07707,0.084
"JE",1,0.07824,0.08009
"JE",3,0.08009,0.08194
"JE",2,0.08194,0.08379
"JE",3,0.08379,0.08564
"Cholera",9,0.084,0.09093
"JE",2,0.08564,0.0875
"JE",5,0.0875,0.08935
"JE",3,0.08935,0.0912
"Cholera",9,0.09093,0.09786
"JE",4,0.0912,0.09305
"JE",6,0.09305,0.0949
"JE",10,0.0949,0.09675
"JE",5,0.09675,0.0986
"Cholera",16,0.09786,0.1048
"JE",4,0.0986,0.1004
"COVID-19",1,0.09882,0.1
"COVID-19",1,0.1,0.101
"JE",4,0.1004,0.1023
"COVID-19",2,0.102,0.103
"JE",4,0.1023,0.1041
"COVID-19",1,0.103,0.104
"COVID-19",1,0.104,0.105
"JE",4,0.1041,0.106
"Cholera",12,0.1048,0.1117
"COVID-19",1,0.106,0.107
"JE",9,0.106,0.1078
"COVID-19",3,0.107,0.108
"JE",6,0.1078,0.1097
"COVID-19",1,0.109,0.11
"JE",8,0.1097,0.1115
"COVID-19",1,0.111,0.112
"JE",9,0.1115,0.1134
"Cholera",14,0.1117,0.1187
"COVID-19",2,0.112,0.113
"COVID-19",3,0.113,0.114
"JE",5,0.1134,0.1152
"COVID-19",1,0.114,0.115
"COVID-19",3,0.115,0.116
"JE",14,0.1152,0.1171
"COVID-19",2,0.116,0.117
"COVID-19",2,0.117,0.118
"JE",10,0.1171,0.1189
"COVID-19",1,0.118,0.119
"Cholera",17,0.1187,0.1256
"JE",6,0.1189,0.1208
"COVID-19",1,0.119,0.12
"COVID-19",2,0.12,0.121
"JE",11,0.1208,0.1226
"COVID-19",2,0.121,0.122
"COVID-19",2,0.122,0.123
"JE",9,0.1226,0.1245
"COVID-19",2,0.123,0.124
"COVID-19",4,0.124,0.125
"JE",10,0.1245,0.1263
"COVID-19",5,0.125,0.126
"Cholera",21,0.1256,0.1325
"COVID-19",5,0.126,0.127
"JE",13,0.1263,0.1282
"COVID-19",3,0.127,0.128
"COVID-19",4,0.128,0.129
"JE",12,0.1282,0.13
"COVID-19",3,0.129,0.13
"COVID-19",1,0.13,0.131
"JE",13,0.13,0.1319
"COVID-19",1,0.131,0.132
"JE",12,0.1319,0.1337
"COVID-19",5,0.132,0.133
"Cholera",17,0.1325,0.1394
"COVID-19",6,0.133,0.134
"JE",14,0.1337,0.1356
"COVID-19",1,0.134,0.135
