"disease","activity_type","Counts","lower_bound","upper_bound"
"JE","campaign",15,0.0002683,0.002086
"JE","campaign",19,0.002086,0.0036
"JE","campaign",15,0.0036,0.005115
"JE","campaign",18,0.005115,0.006629
"JE","campaign",27,0.006629,0.008144
"JE","campaign",18,0.008144,0.009658
"JE","campaign",16,0.009658,0.01117
"JE","campaign",16,0.01117,0.01269
"JE","campaign",11,0.01269,0.0142
"JE","campaign",21,0.0142,0.01572
"JE","campaign",10,0.01572,0.01723
"JE","campaign",20,0.01723,0.01875
"JE","campaign",17,0.01875,0.02026
"JE","campaign",20,0.02026,0.02177
"JE","campaign",10,0.02177,0.02329
"JE","campaign",19,0.02329,0.0248
"COVID-19","routine",1,0.02366,0.02399
"JE","campaign",25,0.0248,0.02632
"COVID-19","routine",1,0.02533,0.0256
"COVID-19","routine",1,0.02587,0.02614
"JE","campaign",13,0.02632,0.02783
"COVID-19","routine",1,0.02695,0.02721
"COVID-19","routine",1,0.02721,0.02748
"COVID-19","routine",2,0.02775,0.02802
"JE","campaign",16,0.02783,0.02935
"COVID-19","routine",2,0.02829,0.02856
"COVID-19","routine",2,0.02856,0.02883
"JE","campaign",10,0.02935,0.03086
"COVID-19","routine",1,0.02937,0.02964
"COVID-19","routine",3,0.02964,0.02991
"COVID-19","routine",6,0.02991,0.03017
"COVID-19","routine",1,0.03017,0.03044
"COVID-19","routine",3,0.03044,0.03071
"COVID-19","routine",4,0.03071,0.03098
"JE","campaign",20,0.03086,0.03238
"COVID-19","routine",1,0.03098,0.03125
"COVID-19","routine",6,0.03125,0.03152
"COVID-19","routine",4,0.03152,0.03179
"COVID-19","routine",6,0.03179,0.03206
"COVID-19","routine",4,0.03206,0.03233
"COVID-19","routine",9,0.03233,0.0326
"JE","campaign",18,0.03238,0.03389
"COVID-19","routine",8,0.0326,0.03286
"COVID-19","routine",7,0.03286,0.03313
"COVID-19","routine",3,0.03313,0.0334
"COVID-19","routine",8,0.0334,0.03367
"COVID-19","routine",12,0.03367,0.03394
"JE","campaign",15,0.03389,0.0354
"COVID-19","routine",3,0.03394,0.03421
"COVID-19","routine",9,0.03421,0.03448
"COVID-19","routine",13,0.03448,0.03475
"COVID-19","routine",12,0.03475,0.03502
"COVID-19","routine",15,0.03502,0.03529
"COVID-19","routine",18,0.03529,0.03555
"JE","campaign",11,0.0354,0.03692
"COVID-19","routine",18,0.03555,0.03582
"COVID-19","routine",7,0.03582,0.03609
"COVID-19","routine",9,0.03609,0.03636
"COVID-19","routine",16,0.03636,0.03663
"COVID-19","routine",18,0.03663,0.0369
"COVID-19","routine",15,0.0369,0.03717
"JE","campaign",12,0.03692,0.03843
"COVID-19","routine",14,0.03717,0.03744
"COVID-19","routine",17,0.03744,0.03771
"COVID-19","routine",14,0.03771,0.03798
"COVID-19","routine",15,0.03798,0.03825
"COVID-19","routine",26,0.03825,0.03851
"JE","campaign",22,0.03843,0.03995
"COVID-19","routine",19,0.03851,0.03878
"COVID-19","routine",11,0.03878,0.03905
"COVID-19","routine",24,0.03905,0.03932
"COVID-19","routine",16,0.03932,0.03959
"COVID-19","routine",15,0.03959,0.03986
"COVID-19","routine",24,0.03986,0.04013
"JE","campaign",30,0.03995,0.04146
"COVID-19","routine",14,0.04013,0.0404
"COVID-19","routine",10,0.0404,0.04067
"COVID-19","routine",19,0.04067,0.04094
"COVID-19","routine",13,0.04094,0.0412
"COVID-19","routine",16,0.0412,0.04147
"JE","campaign",14,0.04146,0.04298
"COVID-19","routine",13,0.04147,0.04174
"COVID-19","routine",17,0.04174,0.04201
"COVID-19","routine",25,0.04201,0.04228
"COVID-19","routine",13,0.04228,0.04255
"COVID-19","routine",16,0.04255,0.04282
"COVID-19","routine",15,0.04282,0.04309
"JE","campaign",11,0.04298,0.04449
"COVID-19","routine",16,0.04309,0.04336
"COVID-19","routine",19,0.04336,0.04363
"COVID-19","routine",13,0.04363,0.04389
"COVID-19","routine",16,0.04389,0.04416
"COVID-19","routine",17,0.04416,0.04443
"COVID-19","routine",12,0.04443,0.0447
"JE","campaign",16,0.04449,0.04601
"COVID-19","routine",6,0.0447,0.04497
"COVID-19","routine",10,0.04497,0.04524
"COVID-19","routine",16,0.04524,0.04551
"COVID-19","routine",14,0.04551,0.04578
"COVID-19","routine",14,0.04578,0.04605
"JE","campaign",17,0.04601,0.04752
"COVID-19","routine",9,0.04605,0.04632
"COVID-19","routine",14,0.04632,0.04658
"COVID-19","routine",16,0.04658,0.04685
"COVID-19","routine",6,0.04685,0.04712
"COVID-19","routine",7,0.04712,0.04739
"COVID-19","routine",8,0.04739,0.04766
"JE","campaign",19,0.04752,0.04904
"COVID-19","routine",6,0.04766,0.04793
"COVID-19","routine",7,0.04793,0.0482
"COVID-19","routine",10,0.0482,0.04847
"COVID-19","routine",10,0.04847,0.04874
"COVID-19","routine",4,0.04874,0.04901
"COVID-19","routine",4,0.04901,0.04928
"JE","campaign",19,0.04904,0.05055
"COVID-19","routine",6,0.04928,0.04954
"COVID-19","routine",1,0.04954,0.04981
"COVID-19","routine",2,0.04981,0.05008
"COVID-19","routine",7,0.05008,0.05035
"COVID-19","routine",7,0.05035,0.05062
"JE","campaign",16,0.05055,0.05206
"COVID-19","routine",1,0.05062,0.05089
"COVID-19","routine",3,0.05089,0.05116
"COVID-19","routine",4,0.05116,0.05143
"COVID-19","routine",7,0.05143,0.0517
"COVID-19","routine",4,0.0517,0.05197
"COVID-19","routine",2,0.05197,0.05223
"JE","campaign",12,0.05206,0.05358
"COVID-19","routine",5,0.05223,0.0525
"COVID-19","routine",3,0.0525,0.05277
"COVID-19","routine",7,0.05277,0.05304
"COVID-19","routine",1,0.05304,0.05331
"COVID-19","routine",3,0.05331,0.05358
"COVID-19","routine",2,0.05358,0.05385
"JE","campaign",11,0.05358,0.05509
"Cholera","campaign",2,0.05361,0.05712
"COVID-19","routine",4,0.05385,0.05412
"COVID-19","routine",1,0.05412,0.05439
"COVID-19","routine",1,0.05439,0.05466
"COVID-19","routine",3,0.05492,0.05519
"JE","campaign",13,0.05509,0.05661
"COVID-19","routine",2,0.05519,0.05546
"COVID-19","routine",2,0.05546,0.05573
"COVID-19","routine",4,0.05573,0.056
"COVID-19","routine",1,0.056,0.05627
"COVID-19","routine",1,0.05627,0.05654
"COVID-19","routine",4,0.05654,0.05681
"JE","campaign",15,0.05661,0.05812
