"disease","activity_type","country","Counts","lower_bound","upper_bound"
"HPV","campaign","STP",733,-4.82,24.15
"HPV","routine","STP",710,-4.206,21.59
"HPV","campaign","XK",482,-0.7455,9.088
"Rubella","campaign","VCT",167,-0.2566,1.304
"Typhoid","routine","BEN",219,-0.1933,1.014
"Typhoid","routine","COD",181,-0.1589,0.8087
"Typhoid","routine","ETH",581,-0.1492,0.7767
"Typhoid","routine","LBR",278,-0.1306,0.6796
"Typhoid","routine","SLE",221,-0.129,0.6906
"Typhoid","routine","BDI",284,-0.125,0.7717
"Typhoid","campaign","PNG",344,-0.1249,0.6337
"Typhoid","campaign","BDI",317,-0.116,0.5908
"Typhoid","routine","YEM",210,-0.1066,0.5355
"Typhoid","routine","MDG",305,-0.0908,0.5161
"Typhoid","routine","COG",99,-0.08698,0.4443
"Typhoid","routine","BFA",170,-0.08639,0.4354
"Typhoid","routine","TCD",75,-0.0714,0.3648
"Typhoid","campaign","SLE",241,-0.07024,0.3555
"Typhoid","routine","PNG",146,-0.06845,0.3911
"Typhoid","routine","UGA",509,-0.06603,0.3443
"Typhoid","campaign","COD",206,-0.06518,0.3297
"Typhoid","routine","ERI",294,-0.06259,0.3496
"Typhoid","campaign","LBR",210,-0.06161,0.3131
"Rubella","campaign","GUY",103,-0.05888,0.2995
"Typhoid","routine","CAF",85,-0.0523,0.3273
"Typhoid","routine","MLI",160,-0.05044,0.2604
"Typhoid","routine","TZA",266,-0.0503,0.2536
"Typhoid","routine","MOZ",293,-0.05007,0.2585
"HPV","campaign","VUT",471,-0.04702,0.248
"Typhoid","routine","MRT",128,-0.04641,0.2407
"Typhoid","routine","CIV",155,-0.04585,0.2964
"Typhoid","routine","TGO",96,-0.04527,0.2594
"PCV","routine","GIN",127,-0.04303,0.3253
"Typhoid","routine","RWA",395,-0.04218,0.2423
"Typhoid","routine","ZAF",427,-0.04014,0.2358
"Typhoid","campaign","TCD",175,-0.03991,0.2039
"Typhoid","routine","MWI",406,-0.03882,0.2088
"YF","routine","SSD",140,-0.03827,0.3182
"Typhoid","routine","NGA",152,-0.03792,0.218
"Typhoid","routine","SDN",264,-0.03728,0.195
"Typhoid","routine","AFG",319,-0.03233,0.1632
"Typhoid","campaign","AGO",200,-0.03196,0.17
"Typhoid","routine","BOL",172,-0.0314,0.1788
"Typhoid","routine","CMR",90,-0.03109,0.1704
"YF","routine","SLE",73,-0.03053,0.3569
"Typhoid","routine","UZB",338,-0.02947,0.1583
"Typhoid","campaign","MDG",176,-0.02913,0.1492
"Typhoid","campaign","TZA",233,-0.02847,0.143
"Typhoid","routine","KEN",227,-0.02842,0.2998
"Typhoid","routine","SWZ",173,-0.0263,0.178
"Typhoid","campaign","KEN",116,-0.02495,0.1288
"YF","routine","ETH",138,-0.02444,0.1498
"Typhoid","routine","GHA",77,-0.02398,0.1325
"Typhoid","routine","ZMB",158,-0.02322,0.1246
"Typhoid","campaign","MRT",129,-0.02308,0.1188
"Typhoid","routine","GTM",248,-0.02306,0.1248
"Rota","routine","GIN",6,-0.02264,0.1709
"Typhoid","routine","GUY",273,-0.02208,0.1217
"Typhoid","routine","SEN",80,-0.02203,0.1147
"Typhoid","routine","MNG",373,-0.02193,0.1168
"Typhoid","campaign","CAF",111,-0.02171,0.114
"Typhoid","campaign","SLB",79,-0.02129,0.1344
"Typhoid","campaign","BFA",154,-0.02026,0.1047
"Typhoid","routine","GMB",40,-0.02025,0.1155
"Typhoid","campaign","YEM",206,-0.01969,0.1004
"Typhoid","routine","AGO",93,-0.01964,0.1102
"Typhoid","campaign","BEN",132,-0.01912,0.1355
"YF","routine","SDN",205,-0.01876,0.2611
"Typhoid","routine","GNB",107,-0.01839,0.238
"Typhoid","routine","CPV",151,-0.018,0.312
"Typhoid","routine","NPL",395,-0.01738,0.0956
"Typhoid","campaign","CMR",183,-0.01731,0.08787
"Typhoid","routine","DJI",244,-0.01731,0.1892
"Typhoid","campaign","ETH",197,-0.01656,0.08308
"Typhoid","routine","NER",110,-0.01627,0.1204
"Typhoid","routine","STP",10,-0.01611,0.3003
"Typhoid","campaign","TGO",137,-0.01555,0.08306
"Typhoid","routine","PHL",295,-0.01526,0.07891
"HepB","routine","DZA",2,-0.01522,0.07742
"Typhoid","routine","KHM",252,-0.0147,0.08381
"Typhoid","campaign","NER",140,-0.01469,0.07393
"Typhoid","routine","PER",191,-0.01441,0.07691
"Typhoid","routine","THA",613,-0.01405,0.07254
"Typhoid","campaign","CIV",123,-0.01381,0.07008
"Typhoid","routine","LAO",183,-0.0129,0.07573
"HepB","routine","WSM",8,-0.01215,0.1059
"YF","campaign","SLE",53,-0.01152,0.1519
"Typhoid","campaign","BOL",199,-0.01096,0.07229
"Typhoid","campaign","MOZ",118,-0.01089,0.05729
"Typhoid","campaign","MLI",152,-0.01049,0.06448
"Rubella","routine","LBR",18,-0.01003,0.05187
"Typhoid","campaign","NGA",92,-0.01002,0.05475
"Typhoid","campaign","GHA",115,-0.009998,0.0505
"Rubella","routine","SDN",74,-0.009856,0.04974
"Typhoid","routine","ALB",420,-0.009561,0.04788
"Typhoid","routine","ZWE",161,-0.009452,0.05423
"Rubella","routine","NER",58,-0.009428,0.0473
"Typhoid","campaign","ERI",65,-0.0089,0.04862
"Cholera","campaign","HTI",123,-0.008873,0.04447
"Rubella","routine","DJI",52,-0.008645,0.04412
"Rubella","routine","GNB",13,-0.008526,0.044
"Typhoid","campaign","SEN",59,-0.008439,0.04306
"Typhoid","campaign","ZMB",108,-0.00824,0.04411
"Typhoid","campaign","COG",56,-0.008158,0.04365
"Typhoid","campaign","ZWE",163,-0.007795,0.0415
"Rubella","routine","ETH",33,-0.007593,0.03804
"Rubella","routine","COD",99,-0.00749,0.03753
"Rubella","routine","MLI",31,-0.007289,0.037
"Rubella","campaign","STP",81,-0.007225,0.03626
"Typhoid","campaign","UGA",96,-0.007148,0.03663
"Rubella","campaign","LCA",33,-0.007099,0.03584
"Rubella","routine","PRK",24,-0.006998,0.03515
"Rubella","campaign","MWI",60,-0.006797,0.03481
"Measles","campaign","BEN",7,-0.006451,0.03241
"Typhoid","routine","MMR",351,-0.006336,0.05159
"Rubella","routine","AFG",26,-0.006299,0.03156
"Rota","routine","IDN",4,-0.006285,0.03294
"Typhoid","campaign","AFG",152,-0.006243,0.03399
"Rubella","campaign","DMA",14,-0.006194,0.03158
"Rubella","routine","CAF",26,-0.006165,0.03276
"Typhoid","routine","HTI",45,-0.005915,0.05025
"Rubella","campaign","NER",45,-0.005859,0.03986
"Typhoid","campaign","ZAF",187,-0.00572,0.03159
"Rubella","campaign","TGO",41,-0.005552,0.02908
"Rubella","routine","SSD",26,-0.005517,0.02767
"Rubella","campaign","GRD",6,-0.005516,0.02794
"Rubella","routine","TCD",85,-0.005157,0.0265
"Rubella","routine","SOM",69,-0.005153,0.03051
"Typhoid","routine","LKA",230,-0.005109,0.03716
"Rubella","campaign","TJK",177,-0.005037,0.02894
"PCV","routine","SYR",489,-0.00503,0.03552
"Measles","campaign","GMB",59,-0.004951,0.02483
"Typhoid","routine","HND",109,-0.004949,0.04452
"Measles","campaign","GNB",78,-0.004943,0.02478
"Rubella","campaign","ZWE",25,-0.004713,0.02388
"Rota","routine","BTN",6,-0.004674,0.03003
"Typhoid","routine","NAM",93,-0.004639,0.06131
"Typhoid","campaign","RWA",62,-0.00458,0.02405
"Rubella","routine","GIN",54,-0.004498,0.02257
"Rubella","campaign","NGA",43,-0.004492,0.02282
"Measles","campaign","CIV",46,-0.004447,0.0223
"PCV","routine","MDG",2,-0.004422,0.04279
"Rubella","campaign","ERI",96,-0.00438,0.02235
"Rubella","campaign","LBR",46,-0.004379,0.02387
"Rubella","campaign","SLB",35,-0.004244,0.02135
"YF","routine","KEN",137,-0.004239,0.1969
"Cholera","campaign","YEM",31,-0.004223,0.02118
"Rubella","campaign","MHL",4,-0.004211,0.02209
"Rubella","campaign","MRT",32,-0.004211,0.02332
"Rubella","routine","STP",85,-0.004162,0.02088
"Rubella","campaign","SSD",20,-0.004159,0.02239
"Rubella","campaign","CAF",34,-0.004099,0.02128
"Typhoid","campaign","SDN",158,-0.004065,0.02134
"Rubella","campaign","SLE",109,-0.003995,0.02231
"Rubella","routine","NGA",21,-0.003985,0.02361
"Typhoid","campaign","GMB",39,-0.003984,0.02598
"Rubella","campaign","LSO",57,-0.003964,0.02239
