"disease","activity_type","country","Counts","lower_bound","upper_bound"
"JE","campaign","BGD",20,-5.004,-4.973
"JE","campaign","PRK",17,-5.004,-4.974
"Measles","campaign","BLR",3,-5.004,-4.975
"Measles","campaign","DMA",16,-5.004,-4.975
"Measles","campaign","MAR",5,-5.004,-4.973
"Rubella","routine","PER",1,-5.004,-4.977
"Measles","campaign","GUY",5,-5.003,-4.973
"Measles","campaign","KGZ",8,-5.002,-4.976
"Measles","campaign","UZB",1,-5.002,-4.975
"Measles","campaign","GRD",3,-5,-4.969
"Measles","campaign","GNB",2,-4.999,-4.965
"Rubella","routine","GTM",3,-4.999,-4.971
"Measles","campaign","TUN",1,-4.998,-4.968
"Rubella","campaign","BLZ",2,-4.998,-4.966
"Measles","campaign","CHN",1,-4.997,-4.969
"Rubella","routine","HTI",2,-4.997,-4.968
"Measles","campaign","MKD",3,-4.995,-4.965
"Measles","campaign","GTM",2,-4.993,-4.962
"Measles","campaign","TON",1,-4.99,-4.967
"Rubella","routine","BFA",3,-4.99,-4.959
"Rubella","routine","PHL",1,-4.99,-4.961
"Rubella","routine","TZA",3,-4.988,-4.957
"Measles","campaign","ZAF",4,-4.987,-4.957
"Measles","campaign","TKM",1,-4.986,-4.959
"Rubella","routine","CHN",2,-4.985,-4.959
"Rubella","routine","ECU",1,-4.985,-4.956
"Rubella","routine","COD",1,-4.983,-4.948
"Measles","campaign","HND",2,-4.982,-4.95
"Measles","campaign","THA",5,-4.982,-4.958
"Rubella","routine","GEO",1,-4.981,-4.95
"Measles","campaign","CUB",1,-4.98,-4.951
"Measles","campaign","HTI",2,-4.98,-4.947
"Rubella","routine","PRY",1,-4.979,-4.951
"Rubella","routine","SEN",3,-4.979,-4.948
"Measles","campaign","GHA",4,-4.978,-4.946
"Measles","campaign","MDV",10,-4.978,-4.95
"Rubella","routine","SLV",3,-4.978,-4.948
"Measles","campaign","IRN",8,-4.977,-4.952
"Measles","campaign","IRQ",5,-4.976,-4.946
"Measles","campaign","KGZ",9,-4.976,-4.954
"Measles","campaign","BLR",2,-4.975,-4.951
"Measles","campaign","DMA",2,-4.975,-4.95
"Rubella","routine","CAF",1,-4.975,-4.941
"JE","campaign","PRK",32,-4.974,-4.948
"JE","campaign","BGD",19,-4.973,-4.947
"Rubella","routine","FJI",3,-4.973,-4.944
"Measles","campaign","CIV",1,-4.972,-4.939
"Measles","campaign","ARM",2,-4.971,-4.946
"Rubella","routine","BOL",1,-4.971,-4.942
"Rubella","routine","GTM",1,-4.971,-4.948
"Rubella","routine","VEN",1,-4.971,-4.94
"Measles","campaign","GRD",4,-4.969,-4.944
"Measles","campaign","VCT",8,-4.969,-4.938
"Measles","campaign","TUV",5,-4.967,-4.938
"Measles","campaign","FJI",4,-4.966,-4.938
"Measles","campaign","VNM",4,-4.965,-4.938
"Rubella","campaign","VUT",4,-4.964,-4.931
"Measles","campaign","LCA",1,-4.96,-4.931
"Measles","campaign","SRB",5,-4.959,-4.93
"Measles","campaign","TKM",1,-4.959,-4.937
"Measles","campaign","JOR",4,-4.958,-4.928
"Measles","campaign","ZAF",2,-4.957,-4.933
"Rubella","routine","COL",3,-4.957,-4.932
"Rubella","routine","HND",1,-4.956,-4.929
"Cholera","campaign","AFG",1,-4.955,-4.93
"Measles","campaign","TZA",2,-4.955,-4.925
