"disease","activity_type","Counts","lower_bound","upper_bound"
"JE","campaign",1,-3.701,-3.685
"JE","campaign",3,-3.644,-3.631
"JE","campaign",2,-3.631,-3.617
"JE","campaign",1,-3.617,-3.604
"JE","campaign",2,-3.604,-3.59
"JE","campaign",1,-3.59,-3.577
"JE","campaign",4,-3.577,-3.563
"JE","campaign",1,-3.563,-3.55
"JE","campaign",1,-3.55,-3.536
"JE","campaign",2,-3.536,-3.523
"JE","campaign",2,-3.523,-3.509
"JE","campaign",4,-3.509,-3.496
"JE","campaign",3,-3.496,-3.482
"JE","campaign",2,-3.482,-3.469
"JE","campaign",2,-3.469,-3.455
"JE","campaign",4,-3.455,-3.442
"JE","campaign",1,-3.442,-3.428
"JE","campaign",2,-3.428,-3.415
"JE","campaign",2,-3.415,-3.401
"JE","campaign",3,-3.401,-3.388
"JE","campaign",3,-3.388,-3.374
"JE","campaign",1,-3.374,-3.361
"JE","campaign",3,-3.361,-3.347
"JE","campaign",1,-3.334,-3.32
"JE","campaign",2,-3.32,-3.307
"JE","campaign",1,-3.307,-3.293
"JE","campaign",2,-3.28,-3.266
"JE","campaign",2,-3.266,-3.253
"JE","campaign",2,-3.253,-3.239
"JE","campaign",2,-3.239,-3.226
"JE","campaign",4,-3.212,-3.199
"JE","campaign",4,-3.199,-3.185
"JE","campaign",5,-3.185,-3.172
"JE","campaign",2,-3.172,-3.159
"JE","campaign",11,-3.159,-3.145
"JE","campaign",2,-3.145,-3.132
"JE","campaign",5,-3.132,-3.118
"JE","campaign",3,-3.118,-3.105
"JE","campaign",5,-3.105,-3.091
"JE","campaign",7,-3.091,-3.078
"JE","campaign",3,-3.078,-3.064
"JE","campaign",3,-3.064,-3.051
"JE","campaign",3,-3.051,-3.037
"JE","campaign",8,-3.037,-3.024
"JE","campaign",5,-3.024,-3.01
"JE","campaign",3,-3.01,-2.997
"JE","campaign",7,-2.997,-2.983
"JE","campaign",5,-2.983,-2.97
"JE","campaign",8,-2.97,-2.956
"JE","campaign",5,-2.956,-2.943
"JE","campaign",4,-2.943,-2.929
"JE","campaign",5,-2.929,-2.916
"JE","campaign",1,-2.916,-2.902
"JE","campaign",8,-2.902,-2.889
"JE","campaign",6,-2.889,-2.875
"JE","campaign",4,-2.875,-2.862
"JE","campaign",12,-2.862,-2.848
"JE","campaign",11,-2.848,-2.835
"JE","campaign",14,-2.835,-2.821
"JE","campaign",10,-2.821,-2.808
"JE","campaign",10,-2.808,-2.794
"JE","campaign",6,-2.794,-2.781
"JE","campaign",13,-2.781,-2.767
"JE","campaign",6,-2.767,-2.754
"JE","campaign",12,-2.754,-2.74
"JE","campaign",11,-2.74,-2.727
"JE","campaign",9,-2.727,-2.713
"JE","campaign",15,-2.713,-2.7
"JE","campaign",5,-2.7,-2.686
"JE","campaign",6,-2.686,-2.673
"JE","campaign",8,-2.673,-2.659
"JE","campaign",6,-2.659,-2.646
"JE","campaign",8,-2.646,-2.632
"JE","campaign",2,-2.632,-2.619
"JE","campaign",3,-2.619,-2.605
"JE","campaign",6,-2.605,-2.592
"JE","campaign",6,-2.592,-2.578
"JE","campaign",3,-2.578,-2.565
"JE","campaign",2,-2.565,-2.551
"JE","campaign",10,-2.551,-2.538
