"disease","country","Counts","lower_bound","upper_bound"
"Cholera","MOZ",1,-5.002,-4.976
"Rubella","CHN",3,-5.002,-4.977
"Cholera","SOM",5,-5,-4.965
"Cholera","YEM",3,-4.998,-4.963
"Cholera","MOZ",2,-4.976,-4.955
"Rubella","LCA",13,-4.941,-4.91
"Cholera","MOZ",3,-4.933,-4.911
"Rubella","MMR",3,-4.931,-4.902
"Rubella","GRD",5,-4.891,-4.861
"Rubella","FSM",1,-4.878,-4.849
"Cholera","HTI",2,-4.871,-4.833
"Rubella","VUT",2,-4.855,-4.824
"Cholera","AFG",1,-4.839,-4.816
"Cholera","MWI",1,-4.802,-4.777
"Typhoid","ALB",5,-4.793,-4.762
"Rubella","CAF",3,-4.771,-4.74
"Cholera","SOM",3,-4.763,-4.734
"Rubella","CUB",2,-4.76,-4.732
"Cholera","MOZ",3,-4.759,-4.738
"Rubella","MHL",5,-4.754,-4.725
"Rubella","CHN",2,-4.748,-4.727
"Cholera","HTI",6,-4.739,-4.707
"Rubella","VCT",9,-4.734,-4.705
"Rubella","TON",3,-4.728,-4.699
"Cholera","CMR",3,-4.717,-4.685
"Cholera","MOZ",6,-4.716,-4.694
"Cholera","MWI",3,-4.692,-4.671
"Cholera","HTI",4,-4.676,-4.644
"Cholera","MWI",4,-4.671,-4.65
"Rubella","LCA",2,-4.655,-4.63
"Cholera","AFG",4,-4.644,-4.624
"HepB","DZA",2,-4.638,-4.604
"Rubella","CUB",2,-4.636,-4.613
"Rubella","DMA",17,-4.611,-4.583
"Typhoid","ALB",3,-4.61,-4.584
"Cholera","MWI",1,-4.608,-4.587
"Cholera","CMR",2,-4.605,-4.579
"Cholera","AFG",2,-4.586,-4.567
"Cholera","MOZ",5,-4.586,-4.564
"Rubella","TCD",1,-4.583,-4.552
"Rubella","KIR",1,-4.573,-4.544
"Rubella","VUT",2,-4.565,-4.539
"Cholera","HTI",8,-4.549,-4.518
"Cholera","MOZ",2,-4.542,-4.521
"Cholera","HTI",1,-4.518,-4.486
"Cholera","YEM",3,-4.517,-4.487
"Cholera","SOM",5,-4.502,-4.473
"Rubella","VUT",4,-4.487,-4.461
"Cholera","HTI",4,-4.486,-4.454
"Rubella","SLB",2,-4.486,-4.456
"Cholera","MOZ",4,-4.477,-4.456
"Cholera","NGA",2,-4.466,-4.44
"Cholera","AFG",4,-4.452,-4.432
"Cholera","MOZ",5,-4.434,-4.412
"Cholera","HTI",6,-4.423,-4.391
"Cholera","MOZ",6,-4.412,-4.391
"Typhoid","ALB",7,-4.406,-4.38
"Cholera","MWI",2,-4.377,-4.355
"Cholera","AFG",2,-4.375,-4.356
"Rubella","CHN",2,-4.373,-4.352
"Cholera","MOZ",2,-4.369,-4.347
"Rubella","TON",4,-4.363,-4.339
"Cholera","HTI",2,-4.36,-4.328
"Rubella","LCA",2,-4.349,-4.324
"Cholera","MWI",7,-4.334,-4.313
"Cholera","SOM",4,-4.328,-4.299
"Cholera","MWI",1,-4.313,-4.292
"Rubella","UGA",3,-4.31,-4.281
"Rubella","DMA",5,-4.307,-4.284
"Rubella","GRD",4,-4.306,-4.281
"Cholera","MOZ",4,-4.304,-4.282
"Typhoid","NER",1,-4.299,-4.266
"Rubella","MHL",4,-4.285,-4.261
"Cholera","MOZ",4,-4.282,-4.26
"Typhoid","ALB",1,-4.278,-4.253
"Rubella","MKD",3,-4.273,-4.247
"Rubella","GIN",3,-4.272,-4.244
"Cholera","SOM",1,-4.27,-4.241
"Rubella","SLB",2,-4.261,-4.237
"Cholera","HTI",5,-4.233,-4.202
"Cholera","AFG",3,-4.221,-4.202
"Rubella","NGA",3,-4.221,-4.192
"Cholera","MWI",6,-4.208,-4.187
