"disease","Counts","lower_bound","upper_bound"
"Cholera",1,-2.309,-2.297
"Cholera",1,-2.245,-2.235
"Cholera",1,-2.11,-2.1
"Cholera",1,-2.079,-2.069
"Cholera",1,-2.027,-2.017
"Cholera",2,-1.986,-1.975
"Cholera",1,-1.975,-1.965
"Cholera",1,-1.913,-1.903
"Cholera",1,-1.882,-1.872
"Cholera",1,-1.872,-1.861
"Cholera",3,-1.861,-1.851
"Cholera",1,-1.851,-1.841
"Cholera",3,-1.82,-1.809
"Cholera",1,-1.809,-1.799
"Cholera",1,-1.799,-1.789
"Cholera",1,-1.789,-1.778
"Cholera",1,-1.778,-1.768
"Cholera",5,-1.768,-1.758
"Cholera",1,-1.747,-1.737
"Cholera",1,-1.737,-1.726
"Cholera",5,-1.726,-1.716
"Cholera",3,-1.716,-1.706
"Cholera",1,-1.706,-1.695
"Cholera",1,-1.685,-1.675
"Cholera",2,-1.675,-1.664
"Cholera",5,-1.664,-1.654
"Cholera",4,-1.654,-1.643
"Cholera",1,-1.643,-1.633
"Cholera",1,-1.633,-1.623
"Cholera",5,-1.623,-1.612
"Cholera",3,-1.612,-1.602
"Cholera",2,-1.602,-1.592
"Cholera",4,-1.592,-1.581
"Cholera",6,-1.581,-1.571
"Cholera",6,-1.571,-1.56
"Cholera",1,-1.56,-1.55
"Cholera",3,-1.55,-1.54
"Cholera",2,-1.54,-1.529
"Cholera",4,-1.529,-1.519
"Cholera",5,-1.519,-1.509
"Cholera",3,-1.509,-1.498
"Cholera",6,-1.498,-1.488
"Typhoid",1,-1.495,-1.488
"Cholera",4,-1.488,-1.477
"Cholera",3,-1.477,-1.467
"Cholera",7,-1.467,-1.457
"Typhoid",1,-1.465,-1.46
"Typhoid",1,-1.46,-1.454
"Cholera",6,-1.457,-1.446
"Typhoid",1,-1.454,-1.448
"Cholera",6,-1.446,-1.436
"Cholera",5,-1.436,-1.426
"Cholera",4,-1.426,-1.415
"Cholera",4,-1.415,-1.405
"Cholera",4,-1.405,-1.394
"Cholera",8,-1.394,-1.384
"Cholera",6,-1.384,-1.374
"Cholera",11,-1.374,-1.363
"Cholera",9,-1.363,-1.353
"Cholera",6,-1.353,-1.343
"JE",1,-1.352,-1.347
"Typhoid",1,-1.351,-1.345
"JE",1,-1.347,-1.342
"Typhoid",1,-1.345,-1.34
"Cholera",6,-1.343,-1.332
"JE",1,-1.342,-1.338
"JE",1,-1.338,-1.334
"Typhoid",1,-1.334,-1.328
"Cholera",8,-1.332,-1.322
"JE",1,-1.325,-1.32
"Cholera",6,-1.322,-1.312
"Typhoid",2,-1.322,-1.317
"Typhoid",1,-1.317,-1.311
"Cholera",10,-1.312,-1.301
"JE",1,-1.311,-1.307
"Rubella",2,-1.308,-1.303
"JE",1,-1.307,-1.302
"JE",1,-1.302,-1.298
"Cholera",6,-1.301,-1.291
"JE",1,-1.298,-1.293
"Rubella",1,-1.296,-1.292
"Cholera",11,-1.291,-1.28
"Typhoid",1,-1.288,-1.282
"JE",1,-1.284,-1.28
"Typhoid",1,-1.282,-1.277
"Cholera",9,-1.28,-1.27
"JE",1,-1.28,-1.275
"Typhoid",1,-1.277,-1.271
"Rubella",1,-1.274,-1.27
"JE",1,-1.271,-1.266
"Cholera",6,-1.27,-1.26
"JE",1,-1.266,-1.262
"JE",1,-1.262,-1.257
"Cholera",9,-1.26,-1.249
"JE",2,-1.257,-1.253
"JE",1,-1.253,-1.248
"Rubella",1,-1.252,-1.248
"Cholera",12,-1.249,-1.239
"JE",2,-1.248,-1.244
"Cholera",16,-1.239,-1.229
"JE",3,-1.239,-1.235
"JE",2,-1.235,-1.23
"Rubella",1,-1.233,-1.229
"JE",1,-1.23,-1.226
"Cholera",4,-1.229,-1.218
"Rubella",1,-1.229,-1.226
"JE",1,-1.226,-1.221
"Typhoid",1,-1.225,-1.219
"Rubella",2,-1.222,-1.218
"Typhoid",1,-1.219,-1.214
"Cholera",10,-1.218,-1.208
"Rubella",1,-1.218,-1.215
"Rubella",1,-1.215,-1.211
"Typhoid",1,-1.214,-1.208
"JE",1,-1.212,-1.208
"Cholera",3,-1.208,-1.197
"JE",2,-1.208,-1.203
"Typhoid",1,-1.208,-1.202
"JE",1,-1.203,-1.199
"JE",4,-1.199,-1.194
"Cholera",10,-1.197,-1.187
"Typhoid",1,-1.197,-1.191
"JE",1,-1.194,-1.19
"Typhoid",1,-1.191,-1.185
"JE",5,-1.19,-1.185
"Cholera",8,-1.187,-1.177
"JE",2,-1.185,-1.181
"Typhoid",2,-1.185,-1.179
"JE",4,-1.181,-1.176
"Rubella",1,-1.181,-1.178
"Typhoid",1,-1.179,-1.174
"Cholera",11,-1.177,-1.166
"JE",7,-1.176,-1.172
