"disease","subregion","Counts","lower_bound","upper_bound"
"Typhoid","Oceania",202,-0.0645,0.4985
"Cholera","Latin America and the Caribbean",322,-0.02827,0.1414
"Typhoid","Northern Africa and Western Asia",44,-0.01106,0.07683
"Cholera","Northern Africa and Western Asia",37,-0.008967,0.04489
"Typhoid","Southern Africa",134,-0.006923,0.05128
"Cholera","Eastern Africa",140,-0.004335,0.02289
"Rubella","Southern Africa",10,-0.002224,0.01495
"Typhoid","Eastern and Southern Europe",269,-0.002024,0.01022
"Cholera","Western Africa",171,-0.0006903,0.003659
"Cholera","Central and Southern Asia",22,-7.782e-05,0.0005281
"JE","Oceania",6,-9.556e-06,0.001897
"Cholera","Central and Southern Asia",14,0.0005281,0.001033
"Cholera","Central and Southern Asia",3,0.001538,0.002043
"COVID-19","Middle Africa",1,0.001838,0.002489
"Cholera","Central and Southern Asia",11,0.002043,0.002548
"COVID-19","Middle Africa",1,0.003031,0.003573
"Cholera","Central and Southern Asia",2,0.003053,0.003557
"JE","Oceania",5,0.003486,0.005076
"Cholera","Western Africa",67,0.003659,0.007283
"Cholera","Middle Africa",5,0.003783,0.012
"Typhoid","Eastern and South-Eastern Asia",1,0.004357,0.02011
"Rota","Eastern and Southern Europe",4,0.004415,0.006567
"YF","Northern Africa and Western Asia",89,0.004789,0.07733
"Cholera","Central and Southern Asia",2,0.005072,0.005577
"JE","Oceania",8,0.005076,0.006665
"COVID-19","Middle Africa",1,0.005741,0.006283
"Typhoid","Central and Southern Asia",1,0.006278,0.01061
"Rota","Eastern and Southern Europe",13,0.006567,0.008361
"Cholera","Western Africa",34,0.007283,0.01091
"JE","Oceania",3,0.008254,0.009843
"Rota","Eastern and Southern Europe",70,0.008361,0.01015
"Rubella","Middle Africa",1,0.008918,0.02261
"COVID-19","Middle Africa",1,0.008993,0.009535
"Cholera","Central and Southern Asia",2,0.009111,0.009616
"Cholera","Central and Southern Asia",4,0.009616,0.01012
"JE","Oceania",7,0.009843,0.01143
"COVID-19","Middle Africa",1,0.01008,0.01062
"Rota","Eastern and Southern Europe",77,0.01015,0.01195
"Typhoid","Eastern and Southern Europe",76,0.01022,0.02041
"Typhoid","Central and Southern Asia",1,0.01061,0.01423
"COVID-19","Middle Africa",2,0.01062,0.01116
"Cholera","Western Africa",28,0.01091,0.01453
"COVID-19","Middle Africa",1,0.01116,0.0117
"JE","Oceania",7,0.01143,0.01302
"Cholera","Central and Southern Asia",1,0.01164,0.01214
"COVID-19","Middle Africa",1,0.0117,0.01225
"Rota","Eastern and Southern Europe",66,0.01195,0.01374
"Cholera","Middle Africa",28,0.012,0.01884
"COVID-19","Middle Africa",1,0.01225,0.01279
"Cholera","Central and Southern Asia",2,0.01265,0.01315
"JE","Oceania",18,0.01302,0.01461
"COVID-19","Middle Africa",1,0.01333,0.01387
"Rota","Eastern and Southern Europe",60,0.01374,0.01554
"COVID-19","Middle Africa",1,0.01387,0.01441
"Typhoid","Central and Southern Asia",1,0.01423,0.01784
"COVID-19","Middle Africa",1,0.01441,0.01496
"Cholera","Western Africa",24,0.01453,0.01816
"JE","Oceania",4,0.01461,0.0162
"Rubella","Southern Africa",20,0.01495,0.02927
"COVID-19","Middle Africa",2,0.01496,0.0155
"COVID-19","Middle Africa",2,0.0155,0.01604
"Rota","Eastern and Southern Europe",46,0.01554,0.01733
"COVID-19","Middle Africa",2,0.01604,0.01658
"JE","Oceania",16,0.0162,0.01779
"COVID-19","Middle Africa",1,0.01658,0.01712
"Cholera","Central and Southern Asia",3,0.01668,0.01719
"Rota","Eastern and Southern Europe",37,0.01733,0.01912
"COVID-19","Middle Africa",3,0.01767,0.01821
"JE","Oceania",13,0.01779,0.01938
"Typhoid","Central and Southern Asia",5,0.01784,0.02145
"Cholera","Western Africa",8,0.01816,0.02178
"COVID-19","Middle Africa",1,0.01821,0.01875
"COVID-19","Middle Africa",5,0.01875,0.01929
"Cholera","Middle Africa",21,0.01884,0.02569
"Rota","Eastern and Southern Europe",31,0.01912,0.02092
"JE","Oceania",8,0.01938,0.02097
"Cholera","Central and Southern Asia",3,0.01971,0.02022
"COVID-19","Middle Africa",2,0.01983,0.02038
"COVID-19","Western Africa",1,0.01983,0.02028
"Typhoid","Eastern and South-Eastern Asia",14,0.02011,0.03324
"COVID-19","Middle Africa",5,0.02038,0.02092
"Typhoid","Eastern and Southern Europe",29,0.02041,0.03061
"COVID-19","Middle Africa",8,0.02092,0.02146
"Rota","Eastern and Southern Europe",43,0.02092,0.02271
"JE","Oceania",14,0.02097,0.02256
"Typhoid","Central and Southern Asia",7,0.02145,0.02507
"COVID-19","Middle Africa",7,0.02146,0.022
"Cholera","Western Africa",29,0.02178,0.0254
"COVID-19","Western Africa",1,0.0218,0.02218
"COVID-19","Eastern Africa",1,0.02191,0.02231
"COVID-19","Middle Africa",5,0.022,0.02254
"COVID-19","Middle Africa",5,0.02254,0.02309
"COVID-19","Western Africa",2,0.02256,0.02294
"JE","Oceania",12,0.02256,0.02414
"Rubella","Middle Africa",3,0.02261,0.03402
"Rota","Eastern and Southern Europe",31,0.02271,0.0245
"Cholera","Eastern Africa",129,0.02289,0.04558
"COVID-19","Western Africa",3,0.02294,0.02332
"COVID-19","Eastern Africa",1,0.02299,0.02333
"COVID-19","Middle Africa",1,0.02309,0.02363
"COVID-19","Western Africa",1,0.02332,0.0237
"COVID-19","Middle Africa",10,0.02363,0.02417
"COVID-19","Western Africa",1,0.0237,0.02408
"COVID-19","Eastern Africa",3,0.024,0.02434
"JE","Oceania",18,0.02414,0.02573
"COVID-19","Middle Africa",7,0.02417,0.02471
"Typhoid","Latin America and the Caribbean",2,0.02433,0.03575
"COVID-19","Eastern Africa",1,0.02434,0.02468
"COVID-19","Western Africa",2,0.02445,0.02483
"Rota","Eastern and Southern Europe",29,0.0245,0.0263
"COVID-19","Middle Africa",7,0.02471,0.02525
"Rubella","Oceania",1,0.02471,0.03302
"COVID-19","Western Africa",1,0.02483,0.02521
"COVID-19","Eastern Africa",1,0.02502,0.02536
"Typhoid","Central and Southern Asia",8,0.02507,0.02868
