"disease","subregion","Counts","lower_bound","upper_bound"
"Typhoid","Eastern and Southern Europe",8,-5.628,-5.594
"Typhoid","Eastern and Southern Europe",3,-5.397,-5.369
"Typhoid","Eastern and Southern Europe",1,-5.369,-5.34
"Typhoid","Eastern and Southern Europe",5,-5.115,-5.087
"Typhoid","Eastern and Southern Europe",3,-4.918,-4.89
"Typhoid","Eastern and Southern Europe",3,-4.693,-4.664
"Typhoid","Eastern and Southern Europe",7,-4.58,-4.552
"Typhoid","Eastern and Southern Europe",5,-4.467,-4.439
"Typhoid","Eastern and Southern Europe",6,-4.439,-4.411
"Typhoid","Eastern and Southern Europe",2,-4.411,-4.383
"Typhoid","Eastern and Southern Europe",5,-4.383,-4.355
"Typhoid","Eastern and Southern Europe",2,-4.298,-4.27
"Typhoid","Eastern and Southern Europe",7,-4.242,-4.214
"Typhoid","Eastern and Southern Europe",7,-4.186,-4.157
"Typhoid","Eastern and Southern Europe",16,-4.157,-4.129
"Rota","Eastern and Southern Europe",1,-4.133,-4.114
"Typhoid","Eastern and Southern Europe",4,-4.073,-4.045
"Typhoid","Eastern and Southern Europe",2,-4.017,-3.988
"Rubella","Southern Africa",1,-3.943,-3.921
"Rota","Eastern and Southern Europe",1,-3.936,-3.92
"PCV","Eastern and Southern Europe",1,-3.923,-3.901
"Typhoid","Eastern and Southern Europe",6,-3.819,-3.791
"Typhoid","Eastern and Southern Europe",5,-3.791,-3.763
"Rota","Eastern and South-Eastern Asia",1,-3.764,-3.742
"Typhoid","Eastern and Southern Europe",13,-3.763,-3.735
"Typhoid","Eastern and Southern Europe",3,-3.735,-3.707
"Typhoid","Eastern and Southern Europe",11,-3.707,-3.678
"Typhoid","Eastern and Southern Europe",9,-3.678,-3.65
"Typhoid","Eastern and Southern Europe",5,-3.65,-3.622
"Rota","Eastern and Southern Europe",1,-3.646,-3.63
"Typhoid","Eastern and Southern Europe",12,-3.622,-3.594
"Typhoid","Eastern and Southern Europe",16,-3.594,-3.566
"Rota","Eastern and Southern Europe",1,-3.566,-3.55
"Typhoid","Eastern and Southern Europe",1,-3.566,-3.538
"Typhoid","Eastern and Southern Europe",3,-3.538,-3.509
"Typhoid","Eastern and Southern Europe",17,-3.453,-3.425
"Typhoid","Eastern and Southern Europe",7,-3.425,-3.397
"Typhoid","Eastern and Southern Europe",4,-3.397,-3.369
"Rota","Oceania",1,-3.366,-3.342
"Typhoid","Eastern and Southern Europe",13,-3.34,-3.312
"COVID-19","Middle Africa",28,-3.338,-3.324
"Typhoid","Eastern and Southern Europe",9,-3.312,-3.284
"Rota","Eastern and Southern Europe",1,-3.308,-3.292
"Typhoid","Central and Southern Asia",1,-3.291,-3.273
"Rota","Eastern and Southern Europe",1,-3.26,-3.244
"Typhoid","Eastern and Southern Europe",8,-3.256,-3.228
"Rota","Eastern and Southern Europe",1,-3.228,-3.211
"Typhoid","Eastern and Southern Europe",6,-3.228,-3.2
"PCV","Eastern and South-Eastern Asia",1,-3.223,-3.202
"PCV","Eastern and Southern Europe",1,-3.207,-3.189
"Typhoid","Eastern and Southern Europe",6,-3.2,-3.171
"Rubella","Southern Africa",1,-3.177,-3.159
"Typhoid","Eastern and Southern Europe",13,-3.171,-3.143
"Rota","Eastern and Southern Europe",1,-3.147,-3.131
"Typhoid","Eastern and Southern Europe",4,-3.143,-3.115
"Rota","Eastern and Southern Europe",1,-3.131,-3.115
"Typhoid","Eastern and Southern Europe",3,-3.115,-3.087
"Typhoid","Eastern and Southern Europe",3,-3.087,-3.059
"Rota","Eastern and Southern Europe",1,-3.066,-3.05
"Typhoid","Eastern and Southern Europe",10,-3.059,-3.031
"Rubella","Southern Africa",1,-3.047,-3.029
"Typhoid","Eastern and Southern Europe",10,-3.031,-3.002
"Rota","Oceania",1,-3.024,-3.004
"COVID-19","Oceania",22,-3.009,-2.996
"Rota","Eastern and Southern Europe",1,-3.002,-2.986
"Typhoid","Eastern and Southern Europe",16,-3.002,-2.974
"Rota","Eastern and Southern Europe",2,-2.986,-2.97
"Typhoid","Eastern and Southern Europe",17,-2.974,-2.946
"Rota","Eastern and Southern Europe",1,-2.97,-2.954
"Rota","Eastern and Southern Europe",1,-2.954,-2.938
"Typhoid","Eastern and Southern Europe",7,-2.946,-2.918
"PCV","Eastern and South-Eastern Asia",1,-2.939,-2.922
"Rota","Eastern and Southern Europe",2,-2.938,-2.921
"Rota","Eastern and Southern Europe",1,-2.921,-2.905
"COVID-19","Middle Africa",16,-2.908,-2.897
"Typhoid","Eastern and Southern Europe",8,-2.89,-2.862
"Rota","Eastern and Southern Europe",3,-2.889,-2.873
"Rota","Eastern and Southern Europe",2,-2.873,-2.857
"Typhoid","Eastern and Southern Europe",9,-2.862,-2.833
"Rota","Eastern and Southern Europe",1,-2.857,-2.841
"Rota","Eastern and Southern Europe",1,-2.841,-2.825
"Typhoid","Eastern and Southern Europe",7,-2.833,-2.805
"Rota","Eastern and Southern Europe",1,-2.825,-2.809
"Typhoid","Eastern and South-Eastern Asia",1,-2.812,-2.794
"Rota","Eastern and Southern Europe",1,-2.809,-2.793
"PCV","Oceania",2,-2.799,-2.779
"Rota","Eastern and Southern Europe",2,-2.793,-2.776
"Typhoid","Eastern and Southern Europe",19,-2.777,-2.749
"PCV","Eastern and Southern Europe",1,-2.75,-2.732
"Typhoid","Eastern and Southern Europe",13,-2.749,-2.721
"Rota","Eastern and Southern Europe",1,-2.744,-2.728
"Rota","Eastern and Southern Europe",1,-2.728,-2.712
"Typhoid","Eastern and Southern Europe",10,-2.721,-2.693
"Rubella","Middle Africa",1,-2.716,-2.699
"PCV","Eastern and Southern Europe",1,-2.714,-2.696
"Rota","Eastern and Southern Europe",2,-2.712,-2.696
"PCV","Eastern and Southern Europe",1,-2.696,-2.677
"Rota","Eastern and Southern Europe",1,-2.696,-2.68
"Typhoid","Eastern and Southern Europe",21,-2.693,-2.664
"COVID-19","Oceania",23,-2.69,-2.68
"Typhoid","Eastern and Southern Europe",3,-2.664,-2.636
"Rubella","Southern Africa",1,-2.657,-2.638
"Typhoid","Eastern and Southern Europe",8,-2.636,-2.608
"Rota","Eastern and Southern Europe",1,-2.631,-2.615
"Typhoid","Eastern and Southern Europe",6,-2.608,-2.58
"Rubella","Southern Africa",1,-2.601,-2.582
"Rota","Eastern and Southern Europe",2,-2.599,-2.583
"Rubella","Middle Africa",1,-2.587,-2.573
"PCV","Eastern and Southern Europe",1,-2.586,-2.568
"Rota","Eastern and Southern Europe",2,-2.583,-2.567
"Rubella","Southern Africa",2,-2.582,-2.564
"Typhoid","Eastern and Southern Europe",10,-2.58,-2.552
"Rota","Eastern and Southern Europe",2,-2.567,-2.551
"PCV","Eastern and South-Eastern Asia",1,-2.553,-2.536
"Typhoid","Eastern and Southern Europe",8,-2.552,-2.524
"Rota","Eastern and Southern Europe",2,-2.551,-2.535
"Rota","Eastern and Southern Europe",2,-2.535,-2.519
"PCV","Eastern and Southern Europe",1,-2.531,-2.513
"Typhoid","Eastern and Southern Europe",12,-2.524,-2.495
"Rota","Eastern and Southern Europe",1,-2.519,-2.503
"PCV","Eastern and South-Eastern Asia",1,-2.501,-2.483
"Typhoid","Eastern and Southern Europe",31,-2.495,-2.467
"Rota","Eastern and South-Eastern Asia",1,-2.486,-2.468
"Rota","Eastern and Southern Europe",2,-2.486,-2.47
"Rubella","Middle Africa",1,-2.476,-2.462
"Rota","Eastern and Southern Europe",1,-2.47,-2.454
"Typhoid","Eastern and Southern Europe",10,-2.467,-2.439
"Rubella","Southern Africa",1,-2.452,-2.434
