"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","AFG",0.061759,-0.031256,0.165935,0.056061
"COVID-19","routine","AFG",0.180029,-0.085866,0.475683,0.15805
"Cholera","campaign","AFG",0.026059,0.019631,0.034733,0.029838
"HPV","campaign","AFG",5.526686,4.54676,6.598143,5.512016
"HPV","routine","AFG",5.379338,4.417755,6.400088,5.367168
"HepB","routine","AFG",7.541993,5.93016,9.182954,7.55921
"Hib","routine","AFG",4.045078,2.205302,6.966734,4.012023
"Measles","campaign","AFG",3.890216,2.829042,4.574306,3.979108
"Measles","routine","AFG",24.259111,21.481938,27.133996,24.322163
"PCV","routine","AFG",2.481461,-0.348175,5.358519,2.493023
"Rota","routine","AFG",1.377896,-0.412532,3.315006,1.34857
"Rubella","campaign","AFG",-0.008211,-0.133007,0.279961,-0.036749
"Rubella","routine","AFG",0.776451,0.165201,1.587392,0.728087
"Typhoid","campaign","AFG",0.351079,0.035308,1.420304,0.234959
"Typhoid","routine","AFG",0.943778,-0.15664,4.82794,0.313518
