"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","AGO",4.552961,1.715323,8.406993,4.248658
"COVID-19","routine","AGO",1.883753,1.394806,2.517094,1.898846
"HPV","campaign","AGO",266.056322,220.691345,313.280014,265.131068
"HPV","routine","AGO",280.776325,233.601174,331.690176,279.903898
"HepB","routine","AGO",129.762403,103.33015,162.636023,128.908906
"Hib","routine","AGO",546.405455,276.859428,893.318393,540.553433
"Measles","campaign","AGO",359.344681,256.48551,409.411096,367.41315
"Measles","routine","AGO",2106.576333,1823.655667,2391.787341,2114.69344
"PCV","routine","AGO",354.638537,9.436612,741.396055,352.768575
"Rota","routine","AGO",166.18925,-2.375558,299.990198,170.800764
"Rubella","campaign","AGO",5.632487,-20.148764,85.112918,-3.670376
"Rubella","routine","AGO",22.533009,-0.821792,54.940025,19.326084
"Typhoid","campaign","AGO",111.574149,30.506624,272.976524,97.141203
"Typhoid","routine","AGO",92.159374,19.67545,314.823801,70.090907
"YF","routine","AGO",31.939839,9.772754,69.756626,29.086719
