"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","AGO",2.747172,1.842578,3.88741,2.690414
"HPV","AGO",273.198748,226.997051,322.222802,272.414248
"HepB","AGO",129.762403,103.33015,162.636023,128.908906
"Hib","AGO",546.405455,276.859428,893.318393,540.553433
"Measles","AGO",802.166473,681.261836,890.589273,810.317641
"PCV","AGO",354.638537,9.436612,741.396055,352.768575
"Rota","AGO",166.18925,-2.375558,299.990198,170.800764
"Rubella","AGO",9.636857,-12.992615,69.337632,2.811649
"Typhoid","AGO",105.771687,27.894938,282.2254,91.313411
"YF","AGO",31.939839,9.772754,69.756626,29.086719
