"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","AGO",0.113966,0.026235,0.244335,0.109341
"COVID-19","routine","AGO",0.002123,-0.021104,0.029601,0.002108
"HPV","campaign","AGO",11.149598,9.143614,13.416496,11.096896
"HPV","routine","AGO",11.312991,9.276502,13.616953,11.260875
"HepB","routine","AGO",5.418209,4.302144,6.805423,5.359414
"Hib","routine","AGO",8.627626,4.288788,14.260958,8.536713
"Measles","campaign","AGO",5.685165,4.03108,6.545958,5.806552
"Measles","routine","AGO",33.911013,29.085382,38.982101,34.094427
"PCV","routine","AGO",5.48383,-0.180437,11.896353,5.451575
"Rota","routine","AGO",2.822593,0.054799,5.013567,2.901021
"Rubella","campaign","AGO",0.081429,-0.274953,1.283146,-0.039013
"Rubella","routine","AGO",0.335321,-0.023429,0.914222,0.278429
"Typhoid","campaign","AGO",3.985366,1.15224,8.354452,3.628252
"Typhoid","routine","AGO",3.256097,0.78875,9.207757,2.800852
"YF","routine","AGO",0.863839,0.263077,1.910205,0.784986
