"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","ARM",4.278405,0.059599,9.403765,4.692203
"COVID-19","routine","ARM",1.831169,0.71401,2.695253,1.893909
"HPV","routine","ARM",1768.750929,1476.164798,2023.884678,1781.672403
"HepB","routine","ARM",78.39252,63.082493,96.510382,78.017055
"Hib","routine","ARM",48.206444,22.335089,78.516549,46.426059
"Measles","campaign","ARM",3.825213,0.497437,9.241242,3.370079
"Measles","routine","ARM",230.839985,173.916722,282.046672,231.299421
"PCV","routine","ARM",38.417889,0.45086,77.225543,37.703132
"Rota","routine","ARM",8.185426,-3.610833,21.495424,7.624611
"Rubella","campaign","ARM",3.450857,-17.218962,29.266724,2.483743
"Rubella","routine","ARM",18.425128,2.469798,36.436019,17.74946
"Typhoid","campaign","ARM",0.242389,0.009422,1.386518,0.110653
"Typhoid","routine","ARM",1.100164,0.008366,9.6304,0.147919
