"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","BDI",0.205646,-1.049087,1.305082,0.284773
"HPV","BDI",372.581729,226.404864,573.699448,362.04618
"HepB","BDI",112.872586,91.148011,137.77971,112.08145
"Hib","BDI",276.24319,194.535608,374.520702,274.2605
"Measles","BDI",450.842815,369.144516,522.779921,451.751068
"Meningitis","BDI",40.734074,26.809227,53.115095,41.002112
"PCV","BDI",171.577471,45.520842,299.369513,167.952092
"Rota","BDI",72.945731,30.098179,114.894638,74.667089
"Rubella","BDI",14.445321,-2.172296,66.199441,9.013185
"Typhoid","BDI",126.877247,7.430078,651.313939,58.33492
"YF","BDI",26.018811,9.169174,50.761482,24.656728
