"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","BDI",4.003698,-22.630212,31.171184,5.447391
"COVID-19","routine","BDI",-0.001752,-0.047434,0.032648,0.002944
"HPV","campaign","BDI",16.31218,9.131214,25.849951,15.805511
"HPV","routine","BDI",16.048265,8.968065,25.44951,15.554195
"HepB","routine","BDI",4.486991,3.628095,5.482581,4.45368
"Hib","routine","BDI",4.355552,3.039495,5.909981,4.321903
"Measles","campaign","BDI",1.015501,0.596932,1.536703,0.977106
"Measles","routine","BDI",14.478347,11.976078,16.926638,14.45424
"MenA","campaign","BDI",0.347679,0.223032,0.470907,0.339132
"MenA","routine","BDI",7.991061,3.078896,11.898171,8.329652
"MenACWYX","campaign","BDI",0.887086,0.316184,1.389991,0.868124
"MenACWYX","routine","BDI",0.682712,0.368882,0.984723,0.689555
"PCV","routine","BDI",2.630938,0.591448,4.718642,2.569162
"Rota","routine","BDI",1.290588,0.588715,1.979069,1.319811
"Rubella","campaign","BDI",0.118559,-0.215667,1.524945,-0.033719
"Rubella","routine","BDI",0.294589,0.062537,0.60137,0.287242
"Typhoid","campaign","BDI",2.371389,0.206442,7.881754,1.656652
"Typhoid","routine","BDI",4.960423,-0.360336,30.079232,1.930744
"YF","routine","BDI",0.754023,0.258221,1.502069,0.70812
