"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","BEN",1.524319,0.206775,3.235296,1.423368
"COVID-19","routine","BEN",4.045621,0.311275,6.969069,3.913032
"HPV","campaign","BEN",298.46004,253.775334,348.416523,297.49479
"HPV","routine","BEN",298.47997,254.372154,350.25208,297.472609
"HepB","routine","BEN",207.978055,163.720658,272.92861,203.624652
"Hib","routine","BEN",272.806658,184.355175,369.113742,271.682669
"Measles","campaign","BEN",193.07759,84.706909,261.048517,202.086093
"Measles","routine","BEN",2365.072036,1997.696517,2792.230155,2372.180029
"MenA","campaign","BEN",33.966998,23.589388,44.216805,33.771349
"MenA","routine","BEN",54.707402,29.445103,80.717514,55.839619
"MenACWYX","campaign","BEN",53.684863,-7.909124,111.253605,55.650628
"MenACWYX","routine","BEN",43.252331,24.663677,61.038745,43.76311
"PCV","routine","BEN",186.964193,24.160542,333.794581,184.66862
"Rota","routine","BEN",74.215754,-7.601861,169.092285,74.906642
"Rubella","campaign","BEN",47.441881,28.071026,78.844488,45.476107
"Rubella","routine","BEN",17.702885,8.413817,24.798522,18.294266
"Typhoid","campaign","BEN",116.35243,12.957589,406.811441,79.606221
"Typhoid","routine","BEN",341.405406,11.601201,2421.037295,113.75432
"YF","campaign","BEN",42.325562,12.511787,91.295289,39.381844
"YF","routine","BEN",233.184567,59.397555,543.48539,203.281904
