"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","BEN",2.214717,1.025171,3.604711,2.110115
"HPV","BEN",298.470639,254.327219,349.507615,297.577165
"HepB","BEN",207.978055,163.720658,272.92861,203.624652
"Hib","BEN",272.806658,184.355175,369.113742,271.682669
"Measles","BEN",896.158427,725.196599,1038.284837,897.867362
"Meningitis","BEN",42.471108,22.999967,65.50457,42.530818
"PCV","BEN",186.964193,24.160542,333.794581,184.66862
"Rota","BEN",74.215754,-7.601861,169.092285,74.906642
"Rubella","BEN",36.636543,23.717283,56.161763,35.643877
"Typhoid","BEN",168.2215,15.0469,898.722842,91.37472
"YF","BEN",154.218922,39.483265,354.420182,135.199204
