"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","BEN",0.034708,-0.013183,0.091104,0.032279
"HPV","BEN",7.093326,5.479458,9.176217,7.027578
"HepB","BEN",9.086831,6.962898,12.409075,8.81971
"Hib","BEN",4.271809,2.874597,5.804412,4.253105
"Measles","BEN",14.4146,11.546614,16.792863,14.427299
"Meningitis","BEN",0.639404,0.34992,0.978472,0.645129
"PCV","BEN",2.885742,0.29816,5.226976,2.851773
"Rota","BEN",1.393827,0.090209,2.914287,1.404842
"Rubella","BEN",0.420941,0.18484,0.745239,0.411674
"Typhoid","BEN",4.303001,0.405481,15.82924,3.023512
"YF","BEN",3.902251,1.024856,8.951217,3.437545
