"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","BGD",4.702958,2.444198,7.930308,4.364129
"COVID-19","routine","BGD",1.317403,0.591447,2.174879,1.271074
"HPV","campaign","BGD",564.555271,426.160614,704.163367,564.544898
"HPV","routine","BGD",474.77796,357.011716,595.762401,473.314771
"HepB","routine","BGD",106.968584,86.991994,129.519163,106.303727
"Hib","routine","BGD",136.521642,71.784846,228.524834,130.236422
"JE","campaign","BGD",14.306559,2.933153,40.121751,11.329405
"JE","routine","BGD",125.638339,76.196252,201.734602,121.649234
"Measles","campaign","BGD",34.815042,16.702128,52.396382,34.739969
"Measles","routine","BGD",642.277186,516.716732,784.439714,638.482051
"PCV","routine","BGD",87.16141,-25.182877,188.720687,90.364247
"Rota","routine","BGD",16.763567,-80.759108,98.571028,19.742957
"Rubella","campaign","BGD",5.443632,-0.471391,17.065958,4.127413
"Rubella","routine","BGD",32.303807,21.270096,44.299157,32.236585
"Typhoid","campaign","BGD",6.892603,2.149651,16.061474,6.090743
"Typhoid","routine","BGD",8.18069,1.777548,20.647423,7.242137
