"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","BGD",3.368437,1.916356,5.49792,3.103482
"HPV","BGD",526.001165,395.193279,659.848822,524.142187
"HepB","BGD",106.968584,86.991994,129.519163,106.303727
"Hib","BGD",136.521642,71.784846,228.524834,130.236422
"JE","BGD",53.479168,29.884085,100.000061,49.307664
"Measles","BGD",344.147546,271.165267,418.93884,343.154799
"PCV","BGD",87.16141,-25.182877,188.720687,90.364247
"Rota","BGD",16.763567,-80.759108,98.571028,19.742957
"Rubella","BGD",16.857415,9.423499,27.729381,16.375965
"Typhoid","BGD",7.223342,2.196005,17.097261,6.352601
