"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","BGD",0.096044,0.036512,0.17727,0.087376
"HPV","BGD",8.924026,7.005604,10.946839,8.928956
"HepB","BGD",3.285979,2.674751,3.987705,3.265329
"Hib","BGD",1.813695,0.912132,3.091971,1.728595
"JE","BGD",0.412523,0.15379,0.957486,0.361119
"Measles","BGD",4.747797,3.746652,5.781653,4.726067
"PCV","BGD",1.148112,-0.42037,2.566885,1.192654
"Rota","BGD",0.237606,-1.131912,1.385177,0.280223
"Rubella","BGD",0.216664,0.101648,0.427086,0.204176
"Typhoid","BGD",0.242586,0.056544,0.598851,0.209582
