"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","BLR",0.895953,0.472827,1.377584,0.901166
"COVID-19","routine","BLR",0.003952,-0.056961,0.049701,0.009494
"HPV","campaign","BLR",6.394969,5.002864,7.735512,6.430615
"HPV","routine","BLR",6.041733,4.623922,7.362498,6.063697
"HepB","routine","BLR",1.872571,1.499687,2.347161,1.857083
"Hib","routine","BLR",0.137759,0.00723,0.281838,0.131849
"Measles","campaign","BLR",-0.461399,-0.81033,-0.112602,-0.482046
"Measles","routine","BLR",3.210792,2.407312,3.934949,3.232252
"PCV","routine","BLR",0.112008,-0.194999,0.398069,0.121503
"Rota","routine","BLR",0.010925,-0.059015,0.093611,0.010548
"Rubella","routine","BLR",0.22606,0.051671,0.528862,0.19743
