"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","BOL",0.179308,0.05597,0.390911,0.163128
"COVID-19","routine","BOL",0.040649,-0.012354,0.079728,0.046899
"HPV","campaign","BOL",9.125482,8.110559,10.356295,9.10517
"HPV","routine","BOL",12.6803,11.284518,14.368215,12.680897
"HepB","routine","BOL",1.188572,0.947473,1.557758,1.17027
"Hib","routine","BOL",2.929424,2.117848,3.863983,2.906266
"Measles","campaign","BOL",0.767348,0.219948,1.118497,0.835377
"Measles","routine","BOL",12.604587,10.382492,14.988987,12.640937
"PCV","routine","BOL",2.73734,0.43312,5.775771,2.783149
"Rota","routine","BOL",1.038302,0.509256,1.763556,0.996931
"Rubella","campaign","BOL",0.183126,-0.004546,0.686633,0.119114
"Rubella","routine","BOL",0.145908,0.042364,0.298502,0.135675
"Typhoid","campaign","BOL",0.375716,0.016728,1.314969,0.26399
"Typhoid","routine","BOL",0.659417,0.005809,4.013292,0.289146
