"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","CAF",2.586567,0.974404,4.220061,2.506767
"HPV","CAF",1393.706505,1194.606231,1609.781774,1387.298312
"HepB","CAF",127.652545,98.0949,170.533269,124.697165
"Hib","CAF",260.086227,20.713281,470.017411,263.380988
"Measles","CAF",713.091966,599.40848,806.988348,716.358321
"Meningitis","CAF",45.516323,30.996168,62.03404,46.169119
"PCV","CAF",184.034096,-95.882319,450.661153,180.183226
"Rota","CAF",354.344077,-38.883199,698.576709,375.321809
"Rubella","CAF",23.592917,-1.141177,77.83969,16.480888
"Typhoid","CAF",133.914042,24.802433,453.579901,105.464972
"YF","CAF",127.950456,36.837991,284.569662,113.972727
