"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","CAF",0.059062,0.008592,0.11422,0.05711
"HPV","CAF",23.392763,19.970892,27.308894,23.326828
"HepB","CAF",5.7428,4.301314,7.977405,5.542398
"Hib","CAF",4.655476,0.117966,8.564745,4.716914
"Measles","CAF",12.451506,10.247185,14.256744,12.518674
"Meningitis","CAF",0.727182,0.49019,1.003008,0.740511
"PCV","CAF",3.244645,-2.083102,8.319679,3.173203
"Rota","CAF",8.16347,0.617463,14.656443,8.572435
"Rubella","CAF",0.273452,-0.021117,1.138968,0.181513
"Typhoid","CAF",4.620015,0.96547,12.037711,4.079102
"YF","CAF",3.473694,1.007086,7.718602,3.093907
