"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","CHN",0,0,0,0
"COVID-19","routine","CHN",0,0,0,0
"HPV","campaign","CHN",296.545999,231.556144,361.502706,295.907363
"HPV","routine","CHN",614.052087,442.440275,769.699414,618.150272
"HepB","routine","CHN",202.410854,163.136834,246.279715,201.182529
"Hib","routine","CHN",49.745405,-4.371622,113.983361,50.090677
"JE","routine","CHN",116.522583,80.072793,154.018059,114.936805
"Measles","campaign","CHN",8.920397,0.983336,14.993134,9.245185
"Measles","routine","CHN",366.259658,270.227133,454.791205,366.946616
"PCV","routine","CHN",44.335651,-52.652016,153.356437,43.894685
"Rota","routine","CHN",14.079017,-24.625203,63.094715,12.311264
"Rubella","routine","CHN",1.839798,1.027141,2.684696,1.815269
