"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","CIV",2.381496,1.266555,4.260838,2.243236
"HPV","CIV",533.127829,458.68815,613.408297,533.182428
"HepB","CIV",133.239825,102.887948,179.420054,130.775466
"Hib","CIV",127.51847,50.920062,207.97688,127.938299
"Measles","CIV",691.000436,546.797938,819.791279,690.959685
"Meningitis","CIV",43.026166,24.207944,59.072428,43.790314
"PCV","CIV",59.645675,-28.629689,145.589801,61.470256
"Rota","CIV",27.834837,7.995048,50.394753,27.77956
"Rubella","CIV",4.539097,-16.374907,20.23616,8.795747
"Typhoid","CIV",52.541716,6.574633,210.281144,33.636731
"YF","CIV",304.452196,77.704104,713.173387,268.47245
