"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","CIV",0.058068,-0.007628,0.137686,0.052625
"COVID-19","routine","CIV",0.027272,-0.041588,0.106425,0.024454
"HPV","campaign","CIV",16.024467,13.698467,18.494152,16.012698
"HPV","routine","CIV",14.434579,12.5742,16.601856,14.391081
"HepB","routine","CIV",5.659485,4.318359,7.767726,5.529535
"Hib","routine","CIV",2.111904,0.796258,3.486555,2.113069
"Measles","campaign","CIV",1.803076,0.683523,2.877097,1.797382
"Measles","routine","CIV",32.60733,26.843012,39.681726,32.68407
"MenA","campaign","CIV",0.675835,0.433321,0.911205,0.677283
"MenA","routine","CIV",0.29175,0.126219,0.444915,0.297145
"MenACWYX","campaign","CIV",0.91186,0.169486,1.594016,0.923863
"MenACWYX","routine","CIV",0.608489,0.296464,0.903894,0.633301
"PCV","routine","CIV",0.96404,-0.565027,2.453859,0.999881
"Rota","routine","CIV",0.525484,0.175589,0.927609,0.526587
"Rubella","campaign","CIV",0.027299,-0.413215,0.337242,0.076004
"Rubella","routine","CIV",0.174982,0.089645,0.272689,0.170695
"Typhoid","campaign","CIV",1.181146,0.222583,3.442794,0.952306
"Typhoid","routine","CIV",2.132916,-0.239416,9.857212,1.252749
"YF","campaign","CIV",1.035626,0.307632,2.206787,0.963845
"YF","routine","CIV",12.866207,3.263191,30.293604,11.271773
