"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","CMR",1.585272,0.132004,4.225219,1.429474
"COVID-19","routine","CMR",2.552208,0.879549,4.248712,2.48832
"Cholera","campaign","CMR",1.311884,0.387897,5.321882,0.698221
"HPV","routine","CMR",931.366585,798.667975,1067.513573,934.651433
"HepB","routine","CMR",155.091677,131.786444,181.404738,154.595608
"Hib","routine","CMR",263.541246,168.684494,418.332372,258.388461
"Measles","campaign","CMR",151.200842,92.262508,182.501251,157.157541
"Measles","routine","CMR",1170.878176,992.526259,1372.50269,1173.713919
"MenA","campaign","CMR",23.918181,16.703971,31.271462,24.141554
"MenA","routine","CMR",56.413613,23.469633,87.987475,57.935312
"MenACWYX","campaign","CMR",57.045245,4.49295,100.865423,56.970924
"MenACWYX","routine","CMR",46.067838,24.963525,67.107791,47.321912
"PCV","routine","CMR",192.712659,41.63497,339.917449,197.415899
"Rota","routine","CMR",109.227537,28.36101,182.708394,108.15882
"Rubella","campaign","CMR",-2.878918,-27.586938,42.181295,-2.818754
"Rubella","routine","CMR",18.148077,0.913601,33.111375,17.661871
"Typhoid","campaign","CMR",103.202422,39.971604,295.527387,88.504415
"Typhoid","routine","CMR",113.195728,25.679058,505.529065,73.221924
"YF","campaign","CMR",89.8885,25.050487,201.212638,80.267349
"YF","routine","CMR",683.787068,162.36499,1604.988783,586.715985
