"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","CMR",2.02609,0.677519,3.457601,2.005094
"Cholera","CMR",2.108385,0.623406,8.553024,1.122141
"HPV","CMR",931.366585,798.667975,1067.513573,934.651433
"HepB","CMR",155.091677,131.786444,181.404738,154.595608
"Hib","CMR",263.541246,168.684494,418.332372,258.388461
"Measles","CMR",500.039437,408.046222,575.228401,502.41821
"Meningitis","CMR",35.437932,21.106971,48.874165,35.681451
"PCV","CMR",192.712659,41.63497,339.917449,197.415899
"Rota","CMR",109.227537,28.36101,182.708394,108.15882
"Rubella","CMR",4.023391,-12.953648,37.068969,2.014314
"Typhoid","CMR",106.289114,37.225772,352.942375,86.270173
"YF","CMR",428.965594,103.588118,1002.709962,370.182651
