"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","CMR",0.02982,-0.071871,0.119815,0.032956
"COVID-19","routine","CMR",0.030394,-0.041596,0.097632,0.031897
"Cholera","campaign","CMR",0.063038,0.01035,0.295304,0.026924
"HPV","routine","CMR",18.75826,16.176545,21.576961,18.688453
"HepB","routine","CMR",6.365666,5.35636,7.474688,6.338243
"Hib","routine","CMR",4.290282,2.700116,6.860092,4.21046
"Measles","campaign","CMR",2.462183,1.505256,2.972931,2.55569
"Measles","routine","CMR",18.9452,15.942456,22.409031,18.983101
"MenA","campaign","CMR",0.368685,0.260972,0.474519,0.370081
"MenA","routine","CMR",1.053816,0.401884,1.66705,1.087874
"MenACWYX","campaign","CMR",0.817538,0.076327,1.441951,0.814386
"MenACWYX","routine","CMR",0.771629,0.407548,1.1661,0.793034
"PCV","routine","CMR",3.10699,0.556733,5.579932,3.186649
"Rota","routine","CMR",2.048399,0.696797,3.294484,2.027977
"Rubella","campaign","CMR",-0.020749,-0.348411,0.541167,-0.036242
"Rubella","routine","CMR",0.261664,0.007329,0.547005,0.263737
"Typhoid","campaign","CMR",3.685806,1.570804,7.565026,3.47998
"Typhoid","routine","CMR",3.593754,0.971479,13.885205,2.871726
"YF","campaign","CMR",2.192887,0.636295,4.852034,1.975258
"YF","routine","CMR",16.064032,3.839869,37.898044,13.863251
