"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","COD",0.148989,-6.429874,5.606182,0.289246
"COVID-19","routine","COD",6.325181,-1.842858,15.249984,6.965441
"Cholera","campaign","COD",4.261573,3.29593,6.846176,4.072404
"HPV","campaign","COD",620.130499,474.77562,791.133543,616.829803
"HPV","routine","COD",615.314384,467.993573,784.994154,612.986142
"HepB","routine","COD",125.72117,101.482925,158.553695,124.524782
"Hib","routine","COD",320.907873,168.188577,497.499857,319.204867
"Measles","campaign","COD",164.145829,117.248412,192.254699,169.066331
"Measles","routine","COD",1386.911647,1203.361936,1581.605436,1390.137333
"MenA","campaign","COD",29.2481,19.839785,43.087159,28.002999
"MenA","routine","COD",57.343403,24.268421,89.467902,58.405362
"MenACWYX","campaign","COD",68.107234,29.085901,126.982833,66.330972
"MenACWYX","routine","COD",49.845055,24.499014,73.580278,51.473175
"PCV","routine","COD",221.321871,17.32028,411.310485,219.772077
"Rota","routine","COD",93.27436,-87.693137,298.824555,89.444706
"Rubella","campaign","COD",3.217678,-9.220487,50.012103,-2.733617
"Rubella","routine","COD",79.000619,2.193255,173.422969,76.22951
"Typhoid","campaign","COD",65.322266,0.269207,547.504915,16.424479
"Typhoid","routine","COD",152.331831,0.923547,1210.999961,30.19883
"YF","campaign","COD",9.326749,2.732611,20.192708,8.615915
"YF","routine","COD",327.511811,86.238409,758.173692,271.444926
