"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","COD",2.706555,-1.562571,7.402374,2.395538
"Cholera","COD",6.866985,5.310973,11.031745,6.562163
"HPV","COD",617.478507,471.101737,790.403435,614.013332
"HepB","COD",125.72117,101.482925,158.553695,124.524782
"Hib","COD",320.907873,168.188577,497.499857,319.204867
"Measles","COD",510.5917,438.509995,570.199642,513.48476
"Meningitis","COD",46.693252,29.326016,67.40699,46.140869
"PCV","COD",221.321871,17.32028,411.310485,219.772077
"Rota","COD",93.27436,-87.693137,298.824555,89.444706
"Rubella","COD",34.63223,-0.533578,96.646124,29.67761
"Typhoid","COD",89.758002,0.541554,813.567495,20.764029
"YF","COD",78.389716,21.020989,179.862668,66.765258
