"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","COD",-0.058577,-0.33514,0.143424,-0.060209
"COVID-19","routine","COD",0.188564,-0.137102,0.546125,0.201646
"Cholera","campaign","COD",0.136937,0.091238,0.283376,0.121132
"HPV","campaign","COD",15.645717,11.685606,20.631275,15.517832
"HPV","routine","COD",15.637158,11.554837,20.624756,15.52376
"HepB","routine","COD",5.378967,4.348193,6.834115,5.323412
"Hib","routine","COD",5.077531,2.607381,7.929224,5.04686
"Measles","campaign","COD",2.474438,1.676507,2.932595,2.562296
"Measles","routine","COD",22.442411,19.393666,25.738803,22.523031
"MenA","campaign","COD",0.448091,0.312664,0.649665,0.427938
"MenA","routine","COD",1.061843,0.424522,1.63091,1.055526
"MenACWYX","campaign","COD",0.971585,0.409879,1.804548,0.93684
"MenACWYX","routine","COD",0.827488,0.3738,1.276721,0.840089
"PCV","routine","COD",3.465749,0.176812,6.562175,3.442921
"Rota","routine","COD",1.71878,-1.273451,5.075014,1.652626
"Rubella","campaign","COD",0.011653,-0.147942,0.57588,-0.044638
"Rubella","routine","COD",0.964231,0.027618,2.262195,0.867799
"Typhoid","campaign","COD",1.050632,0.000702,9.397605,0.200317
"Typhoid","routine","COD",3.462504,-0.049667,28.697153,0.596493
"YF","campaign","COD",0.251234,0.072631,0.561868,0.230437
"YF","routine","COD",8.059817,2.121809,18.474125,6.715768
